postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
NR103AA,NR10 3AA,NR,23.7,25.3,41.98,5,21.7,41,41,,6.8,6.3,9.56,1,6.3,9,9,,0,1,0,3,2,0,2,136,72,6,123,221,221,
NR103AB,NR10 3AB,NR,31.1,34.4,107,8,21.5,47.4,47.4,,7.3,7.8,20,2.5,5,10.6,10.6,,0,0,2,4,8,0,8,723,610,304,1106,637,637,
NR103AD,NR10 3AD,NR,36.2,36.3,78.7,6.7,19.2,48.8,48.8,,10,9.9,20,1.6,4.7,13.6,13.6,,0,1,6,23,48,0,48,453,319,184,447,496,496,
NR103AE,NR10 3AE,NR,58.6,52.5,73.94,,20,61.9,61.9,,14.6,13.9,20,,4,16.9,16.9,,0,0,0,2,7,0,7,631,484,,58,795,795,
NR103AF,NR10 3AF,NR,44.3,37.8,79.01,1.3,,59.8,59.8,,13.5,11.1,20,0.7,,17.4,17.4,,2,1,0,0,5,0,5,33,16,9,,48,48,
NR103AG,NR10 3AG,NR,30.1,32.1,40,,27,37,37,,6.4,6.9,10,,5.3,8.3,8.3,,0,0,0,3,3,0,3,661,351,,965,356,356,
NR103AN,NR10 3AN,NR,76.8,61.7,79.66,8,,75.3,75.3,,20,16.1,20,1,,20,20,,0,0,1,0,4,0,4,261,244,22,,320,320,
NR103AT,NR10 3AT,NR,39.4,35.5,79.67,4.8,,57.5,57.5,,9.9,8.9,20,0.8,,14.7,14.7,,1,3,6,0,14,0,14,225,127,70,,320,320,
NR103AX,NR10 3AX,NR,14.9,102.4,1000,4.4,14.2,133.3,224.9,775,1.2,15.8,115,0.8,1,25,35,95,2,6,5,5,12,2,14,322,175,120,584,400,392,343
NR103AY,NR10 3AY,NR,55,108.1,550,7.3,,98.2,183.6,440,5.6,16.5,75,0.8,,16.7,28.1,62.5,0,1,5,0,6,2,8,276,167,198,,207,334,714
NR103BA,NR10 3BA,NR,40,40.7,45.35,,,40.6,40.6,,8.3,8.3,9.32,,,8.4,8.4,,0,0,0,0,5,0,5,282,198,,,282,282,
NR103BB,NR10 3BB,NR,55.8,52.6,156.2,4,10.5,65.4,65.4,,13.8,13.2,29.31,1,1.5,16.4,16.4,,1,1,1,2,18,0,18,567,313,56,123,701,701,
NR103BE,NR10 3BE,NR,80,142.5,1000,6.4,10,112.4,190.2,553.3,20,23,115,0.8,1,22.1,30.9,71.7,0,1,4,1,14,3,17,500,342,253,0,587,572,503
NR103BF,NR10 3BF,NR,29.1,30.3,39.41,,25,35.8,35.8,,5.3,5.4,8.07,,4.5,6.3,6.3,,0,0,0,4,4,0,4,557,431,,748,367,367,
NR103BH,NR10 3BH,NR,21.7,26.4,46.59,,21.5,47,47,,4.2,4.6,7.96,,3.8,8,8,,0,0,0,4,1,0,1,177,239,,162,239,239,
NR103BJ,NR10 3BJ,NR,23.8,24.5,38.41,2,21.8,34.2,34.2,,5.1,5.4,8.85,1,4.8,7.3,7.3,,0,1,0,13,6,0,6,281,258,67,239,406,406,
NR103BQ,NR10 3BQ,NR,12.8,39,160,4,14.7,98.3,98.3,,1.1,7.3,30,0.7,1,20,20,,1,1,1,3,3,0,3,186,137,32,124,403,403,
NR103BT,NR10 3BT,NR,32.1,187.7,593,5,,58,370.3,526.5,5,14.5,39,1,,9,28,37.5,0,2,1,0,1,2,3,267,58,51,,58,394,562
NR103BU,NR10 3BU,NR,61.5,51.9,71.38,6,,61.2,61.2,,19.1,14.7,20,0,,17.6,17.6,,0,0,1,0,5,0,5,518,456,24,,616,616,
NR103BX,NR10 3BX,NR,50.2,50.5,78.12,,16,55.4,55.4,,9.5,11.4,20,,3,12.6,12.6,,0,0,0,1,7,0,7,350,227,,203,370,370,
NR103BY,NR10 3BY,NR,23.3,31.1,55.05,,21.8,50,50,,4.1,6.8,17.36,,2.5,15,15,,0,0,0,4,2,0,2,196,142,,195,197,197,
NR103BZ,NR10 3BZ,NR,53,45.7,66.65,,27,58,58,,10,11.6,19.95,,5,16,16,,0,0,0,2,3,0,3,70,47,,64,75,75,
NR103DA,NR10 3DA,NR,33.8,36.2,48.99,,23,40,40,,6.7,7,13.49,,1.5,8.6,8.6,,0,0,0,2,7,0,7,323,128,,94,343,343,
NR103DB,NR10 3DB,NR,61.2,58.2,78.79,,,58.2,58.2,,19.3,15.4,20,,,15.4,15.4,,0,0,0,0,24,0,24,658,328,,,631,631,
