postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
OL101AA,OL10 1AA,OL,23.4,54.5,205,,20.7,156,156,,1.3,4.7,21,,1.2,15.5,15.5,,0,0,0,6,2,0,2,616,505,,634,566,566,
OL101AB,OL10 1AB,OL,23.2,22.3,24.38,,22.3,,,,1.2,1.2,1.26,,1.2,,,,0,0,0,6,0,0,0,213,133,,213,,,
OL101AD,OL10 1AD,OL,70.5,65.7,107,,20,70.3,70.3,,10,13.6,20,,1,14.8,14.8,,0,0,0,1,10,0,10,1473,900,,0,1473,1473,
OL101AE,OL10 1AE,OL,59.1,62.2,105.81,,,62.2,62.2,,17.7,16.4,20,,,16.4,16.4,,0,0,0,0,9,0,9,1126,1122,,,1126,1126,
OL101AH,OL10 1AH,OL,77.6,56.7,79.76,,20.7,78.2,78.2,,19.5,12.8,20,,1.3,19.8,19.8,,0,0,0,3,5,0,5,686,267,,952,527,527,
OL101AN,OL10 1AN,OL,73.1,115.8,593,8,19,91.5,132.4,418.3,19.4,17.1,39,1,2,17.1,19.6,37,0,0,1,3,21,3,24,733,596,15,824,787,752,504
OL101AP,OL10 1AP,OL,107,138.4,331,,,90.3,138.4,331,10,15.2,36,,,10,15.2,36,0,0,0,0,4,1,5,557,670,,,355,446,811
OL101AQ,OL10 1AQ,OL,38.2,60.2,205,,21.4,99,99,,3.1,7.8,21,,1.1,14.5,14.5,,0,0,0,8,8,0,8,431,302,,421,441,441,
OL101AR,OL10 1AR,OL,70.3,64,107,,19,73,73,,18.7,14.6,19.53,,1,17.2,17.2,,0,0,0,1,5,0,5,36,30,,0,43,43,
OL101AS,OL10 1AS,OL,79,92.1,205,,18,98.8,98.8,,10,13.1,21,,1,14.2,14.2,,0,0,0,2,22,0,22,589,505,,263,592,592,
OL101AU,OL10 1AU,OL,40,149.4,593,,,38.5,149.4,593,7.1,13.4,39,,,7,13.4,39,0,0,0,0,4,1,5,194,86,,,194,155,0
OL101AX,OL10 1AX,OL,107,104.1,331,,20,101.5,111.1,331,10,14.2,36,,1,14.4,15.3,36,0,0,0,2,23,1,24,565,415,,422,576,577,587
OL101AZ,OL10 1AZ,OL,80,105,593,,20,87.3,113.9,593,10,13.7,39,,4.5,13.3,14.7,39,0,0,0,2,18,1,19,346,215,,18,344,326,0
OL101BA,OL10 1BA,OL,78.9,110.1,593,,22.5,89.8,116.4,462,19.5,16.6,39,,1,16.2,17.7,37.5,0,0,0,2,26,2,28,514,342,,82,477,508,903
OL101BB,OL10 1BB,OL,107,159,593,,23,100.1,172.5,462,10,16.3,39,,1,12.9,17.8,37.5,0,0,0,1,8,2,10,432,441,,14,365,388,477
OL101BD,OL10 1BD,OL,76.9,72.6,107,,20,81.5,81.5,,10,9.3,19.53,,1,10.7,10.7,,0,0,0,1,6,0,6,589,254,,173,659,659,
OL101BH,OL10 1BH,OL,107,108.8,331,,22,128.6,141.3,331,14.8,14.7,36,,1.2,18.7,19.8,36,0,0,0,6,15,1,16,667,267,,447,769,750,467
OL101BL,OL10 1BL,OL,22.5,28.8,107,8,20.6,107,107,,1.2,2.1,10,1,1.1,10,10,,0,0,1,7,1,0,1,301,139,139,253,802,802,
OL101BN,OL10 1BN,OL,78.1,97.8,331,,,84.1,97.8,331,18.3,18.6,36,,,17.6,18.6,36,0,0,0,0,17,1,18,341,223,,,348,341,210
OL101BP,OL10 1BP,OL,75.4,103.2,331,,22.8,110.4,126.1,331,19.5,15.6,36,,1.3,18.5,19.7,36,0,0,0,4,13,1,14,908,553,,457,1089,1037,363
OL101BS,OL10 1BS,OL,107,99.2,157.39,,,99.2,99.2,,10,14.9,30.01,,,15,15,,0,0,0,0,6,0,6,245,228,,,245,245,
OL101BT,OL10 1BT,OL,31.2,37.5,67.83,,21,54.3,54.3,,5.6,7.3,20,,1.3,13.3,13.3,,0,0,0,3,3,0,3,276,252,,215,337,337,
OL101BU,OL10 1BU,OL,68.8,98.4,460,,21,88.5,115.1,460,10,14.2,36,,1,15.5,17,36,0,0,0,3,13,1,14,503,354,,302,520,511,389
OL101BW,OL10 1BW,OL,58,80.2,331,,18.5,80.1,90.1,331,12,13.4,36,,1,14.5,15.4,36,0,0,0,4,24,1,25,481,294,,223,524,503,0
OL101BX,OL10 1BX,OL,107,92.7,205,,21.7,104.5,104.5,,10,13.5,29.98,,1,15.7,15.7,,0,0,0,3,18,0,18,487,357,,243,500,500,
OL101BY,OL10 1BY,OL,107,124.9,460,,20.5,93.1,133.6,417,10,14.3,36,,1,12.4,15.4,36,0,0,0,2,21,3,24,627,516,,545,609,608,603
OL101BZ,OL10 1BZ,OL,63.3,122.3,593,,23,68,155.5,593,13.7,14.7,39,,1,15.2,19.2,39,0,0,0,2,5,1,6,431,356,,401,444,370,0
OL101DA,OL10 1DA,OL,92.6,140.4,593,,23.5,95.8,146.6,417.7,16.1,17.4,39,,1,14.9,18.3,36.5,0,0,0,2,32,6,38,588,331,,558,565,528,330
OL101DB,OL10 1DB,OL,93.5,111.5,593,,23,99.8,140.9,593,10,12.4,39,,2.3,13.6,15.8,39,0,0,0,4,11,1,12,302,344,,472,240,220,0
OL101DD,OL10 1DD,OL,45.2,43.6,71.74,,20,55.3,55.3,,10.4,10.6,17.63,,6,12.8,12.8,,0,0,0,2,4,0,4,26,13,,63,8,8,
OL101DF,OL10 1DF,OL,70.9,73.2,123.54,,16,81.3,81.3,,11,13.7,30,,1,15.6,15.6,,0,0,0,1,7,0,7,678,483,,52,768,768,
OL101DJ,OL10 1DJ,OL,23.4,34.5,78.12,,21.8,66.5,66.5,,1.2,5,19.53,,1.2,15,15,,0,0,0,5,2,0,2,327,42,,118,851,851,
OL101DL,OL10 1DL,OL,61.3,81.7,593,,22.1,80.5,97,593,16,14.1,39,,1,16.8,17.5,39,0,0,0,8,30,1,31,528,374,,190,600,581,0
OL101DQ,OL10 1DQ,OL,80,155.8,593,1,23,82.4,177.9,392.8,19.5,20.7,49.91,1,1,16.6,23.8,40.3,1,0,0,1,9,4,13,462,418,142,0,497,486,462
OL101DR,OL10 1DR,OL,61.3,93.5,593,,20,89.6,121.1,593,10,10.9,39,,1.3,12.8,14.4,39,0,0,0,6,15,1,16,294,188,,294,294,275,0
OL101DT,OL10 1DT,OL,23.4,35.2,107,,23.3,107,107,,1.2,2.4,10,,1.2,10,10,,0,0,0,6,1,0,1,452,592,,498,179,179,
OL101DW,OL10 1DW,OL,49.5,44.5,79.98,5,22,78.3,78.3,,8.6,9.6,20,0.5,1,18.3,18.3,,1,0,1,1,3,0,3,99,89,45,50,119,119,
OL101EF,OL10 1EF,OL,107,101.1,159.31,,,101,101,,19.7,17.9,29.96,,,18,18,,0,0,0,0,5,0,5,663,393,,,663,663,
OL101EG,OL10 1EG,OL,57.6,71.6,205,,19,77.5,77.5,,18.8,15.5,25.14,,1,17.1,17.1,,0,0,0,2,18,0,18,648,571,,169,702,702,
OL101EH,OL10 1EH,OL,65.4,72.1,205,,18.7,79.8,79.8,,10,12.1,21,,1,13.7,13.7,,0,0,0,3,21,0,21,557,334,,530,561,561,
OL101EQ,OL10 1EQ,OL,58.4,53.6,79.9,,22.5,69.3,69.3,,19.1,13.5,20,,1,19.5,19.5,,0,0,0,2,4,0,4,100,67,,34,109,109,
OL101FH,OL10 1FH,OL,73.1,56.2,78.12,,17,67.4,67.4,,18.6,13.2,19.98,,1,16.9,16.9,,0,0,0,2,7,0,7,212,125,,270,195,195,
OL101FL,OL10 1FL,OL,74,65,79.91,,23,71,71,,19.5,16.2,20,,1,18.4,18.4,,0,0,0,1,7,0,7,548,330,,231,593,593,
OL101FP,OL10 1FP,OL,19.1,18.3,22.04,,18.3,,,,1.1,1.1,1.28,,1.1,,,,0,0,0,53,0,0,0,674,583,,674,,,
OL101FQ,OL10 1FQ,OL,18,17.8,21.44,8,17.9,,,,1.2,1.1,1.29,1,1.1,,,,0,0,1,53,0,0,0,658,598,0,658,,,
OL101FR,OL10 1FR,OL,70.2,69.2,156.2,,20.5,85.3,85.3,,19.8,15.9,29.32,,1,20.8,20.8,,0,0,0,2,6,0,6,751,484,,242,921,921,
OL101FS,OL10 1FS,OL,69.8,146.2,593,,,83,146.2,462,15.8,17.9,39,,,14,17.9,37.5,0,0,0,0,10,2,12,641,480,,,644,588,308
