postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
PA102AE,PA10 2AE,PA,128.1,142.8,331,,21,126.3,167.2,331,15.3,16.1,36,,1,14.8,19,36,0,0,0,1,4,1,5,505,403,,395,399,527,1039
PA102AL,PA10 2AL,PA,33.3,50.7,205,,21.3,63.7,63.7,,5.6,6.5,21,,2,8.6,8.6,,0,0,0,4,9,0,9,599,319,,205,707,707,
PA102AN,PA10 2AN,PA,65.8,77.9,107,,,77.8,77.8,,10,9.9,12.02,,,10,10,,0,0,0,0,5,0,5,514,455,,,514,514,
PA102AP,PA10 2AP,PA,41.5,80.6,331,6,22.3,84.2,98.7,331,10,10.8,36,6,3.5,11.4,12.9,36,0,0,1,4,16,1,17,360,268,88,185,399,417,693
PA102AQ,PA10 2AQ,PA,48.8,86.1,593,,22.8,71.7,99.8,418.3,8.8,10.3,39,,3.3,9.7,11.9,37,0,0,0,8,34,3,37,404,254,,176,429,432,467
PA102AR,PA10 2AR,PA,107,125.2,205,,20,146.2,146.2,,10,12.2,21,,1,14.4,14.4,,0,0,0,1,5,0,5,344,177,,805,251,251,
PA102AS,PA10 2AS,PA,107,110.5,593,7,21.5,92.3,134,593,10,11,39,3,5,10.3,12.7,39,0,0,1,2,11,1,12,264,158,29,161,327,301,13
PA102AT,PA10 2AT,PA,107,187.6,593,,20.9,127.9,222.7,488.2,10,16.8,39,,2,13.5,19.9,37.8,0,0,0,8,28,10,38,229,123,,162,267,225,110
PA102AU,PA10 2AU,PA,107,187.6,593,1,20,125.8,221.6,473.9,10,16.4,39,0,1.9,12.4,19.4,37.6,1,0,0,7,29,11,40,325,155,113,409,317,275,164
PA102AW,PA10 2AW,PA,92.5,108.8,593,,22.4,88.1,127.8,494.3,10,11.1,39,,2.3,10.4,13,37.5,0,0,0,9,37,4,41,224,148,,131,240,218,11
