postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
PE100AB,PE10 0AB,PE,9.8,13.6,52.46,7.5,13,52,52,,0.6,1.6,10,0.8,0.8,10,10,,0,0,6,4,1,0,1,448,316,265,353,1479,1479,
PE100AE,PE10 0AE,PE,54.7,52.1,75.42,,22,55.9,55.9,,10,12.8,20,,1,14.3,14.3,,0,0,0,1,8,0,8,342,244,,0,385,385,
PE100AF,PE10 0AF,PE,68.3,60,80,3.8,,63.7,63.7,,19.2,15.4,20,0.8,,16.4,16.4,,0,3,1,0,61,0,61,457,253,157,,477,477,
PE100AG,PE10 0AG,PE,33.4,35.5,59.32,2,25,43.6,43.6,,6.7,7,12.1,1,5.2,8.5,8.5,,1,0,0,6,12,0,12,559,245,209,832,451,451,
PE100AN,PE10 0AN,PE,59.1,63.4,78.12,,,63.4,63.4,,19.5,17.6,20,,,17.6,17.6,,0,0,0,0,5,0,5,768,630,,,768,768,
PE100AT,PE10 0AT,PE,49.5,47.8,79.98,,16,67.8,67.8,,10,10.7,20,,1.6,16.5,16.5,,0,0,0,5,8,0,8,502,367,,352,595,595,
PE100AU,PE10 0AU,PE,16.3,26.6,79.67,3,16.3,62.4,62.4,,1.1,5.4,20,0.6,1,15.4,15.4,,2,2,1,6,5,0,5,472,249,337,418,482,482,
PE100AZ,PE10 0AZ,PE,78.1,67.8,79.66,,,67.9,67.9,,19.5,17.7,20,,,17.7,17.7,,0,0,0,0,7,0,7,859,1078,,,859,859,
PE100BB,PE10 0BB,PE,74.5,67.1,79.67,9,,71.6,71.6,,19.9,17.5,20,1,,18.8,18.8,,0,0,1,0,13,0,13,506,523,26,,543,543,
PE100BE,PE10 0BE,PE,77.2,65.9,79.67,3,,71.6,71.6,,19.8,16.5,20,1,,17.9,17.9,,0,1,0,0,11,0,11,427,489,0,,466,466,
