postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
PH106AB,PH10 6AB,PH,41.9,46.5,80,8,23.5,68,68,,8.7,10,20,1,1.2,17.2,17.2,,0,0,2,6,10,0,10,463,323,7,88,733,733,
PH106AD,PH10 6AD,PH,78,59.7,79.91,8,19,69.9,69.9,,20,14.4,20,0,0.5,17.6,17.6,,0,0,1,2,13,0,13,197,74,0,7,241,241,
PH106AE,PH10 6AE,PH,54.8,52.9,79.67,2,21.5,64.6,64.6,,10,11.5,20,1,1.3,14.9,14.9,,0,1,0,4,15,0,15,106,60,29,99,114,114,
PH106AH,PH10 6AH,PH,40,48,79.67,8,23.5,65.3,65.3,,10,10.4,20,1,1.3,16.3,16.3,,0,0,1,4,8,0,8,373,23,264,239,406,406,
PH106AS,PH10 6AS,PH,78.1,67.4,79.67,,21,72,72,,19.5,16.3,20,,1,17.8,17.8,,0,0,0,1,10,0,10,487,354,,0,487,487,
PH106AW,PH10 6AW,PH,69.5,68.6,78.12,,,68.5,68.5,,18,17.5,20,,,17.5,17.5,,0,0,0,0,6,0,6,283,144,,,284,284,
PH106BB,PH10 6BB,PH,51.9,48.9,71.2,,21.5,55.4,55.4,,12,11.2,19.26,,1.3,13.5,13.5,,0,0,0,4,17,0,17,364,292,,401,334,334,
PH106BD,PH10 6BD,PH,33,35.1,79.67,,20.5,49.8,49.8,,10,9.3,20,,6.3,12.5,12.5,,0,0,0,4,4,0,4,255,164,,193,317,317,
PH106BF,PH10 6BF,PH,68.9,55.5,78.12,,23.3,66.2,66.2,,17.4,12.9,19.56,,1.3,16.8,16.8,,0,0,0,3,9,0,9,559,319,,399,613,613,
PH106BG,PH10 6BG,PH,40.1,43.7,78.12,,24,47.6,47.6,,12.5,11.4,18.85,,1,13.4,13.4,,0,0,0,1,5,0,5,525,110,,0,525,525,
