postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
PL101AA,PL10 1AA,PL,36.5,35.6,66.12,8,22,48.2,48.2,,5.1,6.7,19.28,1,3.3,9.8,9.8,,0,0,1,9,12,0,12,654,521,0,755,633,633,
PL101AB,PL10 1AB,PL,20.1,19.8,22.97,,19.8,,,,1.1,1.1,1.25,,1.1,,,,0,0,0,10,0,0,0,221,104,,199,,,
PL101AD,PL10 1AD,PL,48.5,45.8,73.79,,19.3,53.8,53.8,,10,10.8,18.38,,1.3,13.6,13.6,,0,0,0,3,10,0,10,432,451,,559,394,394,
PL101AE,PL10 1AE,PL,40,38.9,74.39,7,20.5,56.5,56.5,,10,7.7,20,1,1,13.3,13.3,,0,0,1,4,6,0,6,272,254,448,232,225,225,
PL101AF,PL10 1AF,PL,27.5,30.1,71.61,7,21,41.3,41.3,,2.9,4.4,20,1,1.8,7.3,7.3,,0,0,1,12,12,0,12,554,290,0,674,435,435,
PL101AH,PL10 1AH,PL,19.4,16.7,20.78,9,19.8,,,,1.1,1.1,1.26,1,1.2,,,,0,0,2,5,0,0,0,220,212,29,297,,,
PL101AJ,PL10 1AJ,PL,19.7,23.2,39.04,,19.3,39,39,,1.3,2.2,6.57,,1.3,7,7,,0,0,0,4,1,0,1,84,73,,103,11,11,
PL101AL,PL10 1AL,PL,20,20.2,23.25,,20.2,,,,1.2,1.2,1.25,,1.2,,,,0,0,0,5,0,0,0,232,198,,232,,,
PL101AN,PL10 1AN,PL,30.8,31.4,55.32,,18.3,44.5,44.5,,3.3,5.9,15.86,,1.2,10.7,10.7,,0,0,0,6,6,0,6,184,177,,170,198,198,
PL101AU,PL10 1AU,PL,59,50.6,79.76,2,24,69.5,69.5,,14.8,11.8,20,0,1,17.3,17.3,,1,0,0,1,4,0,4,608,642,6,84,890,890,
PL101AW,PL10 1AW,PL,45.8,49,78.11,,20.7,62.2,62.2,,15,12.4,20,,2.2,17.2,17.2,,0,0,0,6,13,0,13,464,379,,273,553,553,
PL101AX,PL10 1AX,PL,43.5,50,79.98,8,20,57.2,57.2,,10.2,12,20,1,1,14.2,14.2,,0,0,1,1,10,0,10,169,106,4,24,200,200,
PL101BA,PL10 1BA,PL,29.1,33.7,68.4,5,22.6,49.9,49.9,,4,7.6,20,0.5,1.8,13.7,13.7,,1,0,1,5,7,0,7,416,209,2,235,663,663,
PL101BE,PL10 1BE,PL,29.5,39.3,79.74,,19.5,59.1,59.1,,6.5,8.4,20,,2.3,14.6,14.6,,0,0,0,19,19,0,19,284,208,,303,250,250,
PL101BG,PL10 1BG,PL,20.8,21.5,45.89,,19.7,46,46,,1.2,1.7,9.07,,1.2,9,9,,0,0,0,13,1,0,1,376,164,,366,122,122,
PL101BL,PL10 1BL,PL,18.7,18.1,20.02,,18,,,,1.2,1.1,1.25,,1.2,,,,0,0,0,5,0,0,0,209,169,,209,,,
PL101BW,PL10 1BW,PL,30.1,32.5,77.88,6,22.7,44.8,44.8,,3.7,5.5,20,1,2.2,9,9,,0,0,2,11,13,0,13,314,199,12,427,264,264,
