postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
PO107AA,PO10 7AA,PO,107,120.8,593,,19,99.1,126.5,593,10,14,39,,1,13.3,14.7,39,0,0,0,1,17,1,18,163,78,,26,161,152,0
PO107AL,PO10 7AL,PO,80,80.5,107,,22,90.2,90.2,,10,12.6,20,,1,14.5,14.5,,0,0,0,1,6,0,6,124,116,,5,144,144,
PO107AQ,PO10 7AQ,PO,52,49.1,107,,19.9,70.3,70.3,,10,8.2,20,,1,13.4,13.4,,0,0,0,8,11,0,11,172,37,,13,256,256,
PO107AS,PO10 7AS,PO,59.8,72.3,205,7,16.5,107.8,107.8,,10,9.7,21,1,3,14.2,14.2,,0,0,1,2,5,0,5,175,124,15,32,264,264,
PO107AU,PO10 7AU,PO,67.1,61.7,107,,20.3,75.6,75.6,,10,11.8,20,,1,15.3,15.3,,0,0,0,3,9,0,9,296,176,,14,391,391,
PO107AW,PO10 7AW,PO,65.4,54.3,107,4.5,20.2,74.5,74.5,,10,10.5,20,0.5,0.8,15.7,15.7,,1,0,1,6,15,0,15,111,39,8,30,150,150,
PO107AX,PO10 7AX,PO,63.9,97.5,593,,18.7,80.3,112.3,593,10,13,39,,1,13.6,15.2,39,0,0,0,3,15,1,16,135,85,,27,157,147,0
PO107AZ,PO10 7AZ,PO,58,98.8,593,8,17.7,72.8,114,526.5,15.3,14.7,39,1,1.3,15.1,17.1,37.5,0,0,1,3,20,2,22,174,165,22,63,194,188,131
PO107BA,PO10 7BA,PO,54.8,72.9,331,7,20.7,70,90.1,331,10,12.3,36,1,1,14.1,15.8,36,0,0,1,3,12,1,13,163,127,3,184,166,170,216
PO107BD,PO10 7BD,PO,107,90.6,205,,20,98.4,98.4,,10,11,21,,0,12.1,12.1,,0,0,0,1,9,0,9,90,86,,67,82,82,
PO107BE,PO10 7BE,PO,53.7,50.3,79.67,,17,61.3,61.3,,10,10.2,18.76,,1,13.3,13.3,,0,0,0,3,9,0,9,156,103,,11,187,187,
PO107BG,PO10 7BG,PO,43.9,44.4,54.78,,28,48.3,48.3,,10,9.6,10,,9,9.8,9.8,,0,0,0,1,4,0,4,114,45,,131,110,110,
PO107BH,PO10 7BH,PO,59.4,99,460,7,18,87.1,124.4,460,10,12.8,36,1,1,14.1,16.3,36,0,0,1,2,9,1,10,222,120,4,197,148,227,940
PO107BJ,PO10 7BJ,PO,66.9,95.2,331,,20,94.5,111.4,331,10,14.1,36,,1,15.5,16.9,36,0,0,0,3,13,1,14,187,93,,31,194,180,0
PO107BL,PO10 7BL,PO,73.2,94.9,460,,21.3,87.9,121.7,460,10,12.7,36,,1,15.1,17,36,0,0,0,4,10,1,11,328,90,,80,382,389,453
PO107BS,PO10 7BS,PO,54.8,57.1,107,,14,67.8,67.8,,8.2,8.7,20,,1,10.8,10.8,,0,0,0,1,4,0,4,109,81,,168,94,94,
