postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
PR10AA,PR1 0AA,PR,55,155.9,1000,,,71.5,155.9,1000,10,24.1,115,,,15,24.1,115,0,0,0,0,10,1,11,85,47,,,85,85,81
PR10AD,PR1 0AD,PR,58.1,53.8,79.66,,22.5,64.2,64.2,,14.8,12.7,20,,1,16.5,16.5,,0,0,0,2,6,0,6,354,189,,169,416,416,
PR10AE,PR1 0AE,PR,61.2,110.9,460,,23,78.7,116,395.5,10,13.6,36,,1,11.5,14.4,36,0,0,0,1,15,2,17,484,311,,1486,440,425,313
PR10AH,PR1 0AH,PR,35.8,53.3,205,,22,80.1,80.1,,6.6,7.8,21,,3.7,11.3,11.3,,0,0,0,6,7,0,7,249,131,,202,255,255,
PR10AL,PR1 0AL,PR,54.1,118.7,593,,21.6,77.1,144.3,396.5,10,14.5,39,,2,12.7,17.7,36.8,0,0,0,5,15,4,19,286,240,,129,289,283,258
PR10AN,PR1 0AN,PR,54.8,72.3,205,,,72.3,72.3,,11.9,13.1,21,,,13.1,13.1,,0,0,0,0,7,0,7,241,109,,,241,241,
PR10AP,PR1 0AP,PR,74.4,90.2,331,,21,80.9,101.8,331,19.8,17.2,36,,1,18.5,19.9,36,0,0,0,2,11,1,12,338,274,,16,396,363,0
PR10AQ,PR1 0AQ,PR,79.7,86.2,205,,18.3,93.5,93.5,,10,12.9,21,,1,14.2,14.2,,0,0,0,3,28,0,28,323,257,,205,313,313,
PR10AR,PR1 0AR,PR,70.1,63.5,205,,21.6,82.1,82.1,,10,11.5,21,,1,16.2,16.2,,0,0,0,8,18,0,18,316,92,,229,320,320,
PR10AS,PR1 0AS,PR,78.1,119.7,593,,23,82.7,129.3,548.7,19.5,15.8,39,,1.3,14.9,17.2,38,0,0,0,3,27,3,30,437,305,,140,399,365,58
