postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
RG100AA,RG10 0AA,RG,78.9,69,80,,,69.1,69.1,,20,17.4,20,,,17.4,17.4,,0,0,0,0,16,0,16,279,245,,,279,279,
RG100AD,RG10 0AD,RG,78.1,92.2,205,,,92.2,92.2,,19.8,18.8,21,,,18.8,18.8,,0,0,0,0,10,0,10,424,430,,,424,424,
RG100AE,RG10 0AE,RG,78.9,202.7,1096,,16.7,117,229.3,588.8,20,21.3,49,,1,19.4,24.2,39.8,0,0,0,3,16,5,21,652,498,,105,780,668,310
RG100AG,RG10 0AG,RG,79.7,106.2,331,1,,95.3,114.9,331,20,16.4,36,1,,16,17.7,36,1,0,0,0,11,1,12,420,312,6,,445,455,560
RG100AH,RG10 0AH,RG,78.4,113.7,593,,14,99,123.7,593,12.1,14.6,39,,1,14.8,16,39,0,0,0,2,19,1,20,291,207,,44,332,315,0
RG100AL,RG10 0AL,RG,79.7,84.9,107,,,84.8,84.8,,20,17.9,20,,,18,18,,0,0,0,0,5,0,5,719,767,,,719,719,
RG100AN,RG10 0AN,RG,78.9,131,593,9,13.3,95.3,150.8,428.8,10,15.5,39,1,1,14.2,17.9,36.8,0,0,1,3,20,4,24,476,392,2,567,467,464,450
RG100AP,RG10 0AP,RG,76.9,98.6,331,7,18.5,99.6,110.6,331,19.8,15.4,36,1,1,16.5,17.4,36,0,0,1,2,20,1,21,425,293,42,388,431,427,337
RG100AQ,RG10 0AQ,RG,80,207.5,593,,,111,207.4,593,20,24,39,,,20.3,24,39,0,0,0,0,4,1,5,461,388,,,576,461,0
RG100AR,RG10 0AR,RG,62.9,69.9,205,9,21,86.7,86.7,,10.7,12.8,21,4,4.7,15.5,15.5,,0,0,1,6,21,0,21,210,122,506,122,221,221,
RG100AS,RG10 0AS,RG,76.6,110.5,593,,15.3,105.2,129.6,593,13.1,14.1,39,,1,15.6,16.8,39,0,0,0,4,19,1,20,381,386,,56,430,408,0
RG100AT,RG10 0AT,RG,58.8,60.1,205,8,12.5,68.8,68.8,,10.9,12.7,21,1,1,14.8,14.8,,0,0,1,2,17,0,17,224,124,11,62,242,242,
RG100AU,RG10 0AU,RG,40,71.7,331,3,17.4,71.1,91.1,331,10,11.4,36,1,2.9,12.7,14.5,36,0,1,0,8,24,2,26,374,306,62,379,356,371,549
