postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
RH101AE,RH10 1AE,RH,70.6,62.8,80,9,12,68.1,68.1,,19.5,16.2,20,1,1,17.8,17.8,,0,0,1,4,49,0,49,682,554,78,450,714,714,
RH101AH,RH10 1AH,RH,78.1,70.3,205,,12.4,85.1,85.1,,19.5,14.1,21,,1,17.5,17.5,,0,0,0,10,39,0,39,606,346,,173,671,671,
RH101AJ,RH10 1AJ,RH,72.7,88.8,460,,12,84.5,95.8,395.5,18.7,16.7,36,,1,17.4,18.1,36,0,0,0,5,53,2,55,657,576,,95,682,672,418
RH101AL,RH10 1AL,RH,66.3,87.2,331,9.5,11.5,76.9,94.2,331,14,14.8,36,1,1,14.5,16,36,0,0,2,2,41,3,44,558,395,317,153,568,575,663
RH101AN,RH10 1AN,RH,59.7,65.2,205,9.7,11,70.8,70.8,,15,13.9,21,1,1,15.2,15.2,,0,0,3,2,49,0,49,714,560,122,72,733,733,
RH101AP,RH10 1AP,RH,76.3,98.8,593,,13,80.3,104.2,462,19.5,17.4,39,,1,17.1,18.4,37.5,0,0,0,2,30,2,32,647,490,,5,684,647,80
RH101AQ,RH10 1AQ,RH,75.6,92.5,593,9.5,11.5,86.9,102.8,593,19.5,16.5,39,1,1,17.8,18.5,39,0,0,2,2,31,1,32,490,415,183,34,523,507,0
RH101AR,RH10 1AR,RH,57.6,51.8,72.61,8.7,11,57,57,,10.1,12,20,1,1,13.3,13.3,,0,0,3,1,33,0,33,682,549,146,156,747,747,
RH101AT,RH10 1AT,RH,59.5,50.6,76.41,8.4,25,60.1,60.1,,10.6,12,20,1,7,14.3,14.3,,0,0,5,1,25,0,25,587,561,37,270,686,686,
RH101AU,RH10 1AU,RH,60.1,55.9,76.11,8.7,15,61.1,61.1,,13,13.3,20,1,3,14.7,14.7,,0,0,3,4,58,0,58,828,530,99,429,894,894,
RH101AW,RH10 1AW,RH,70.8,62.4,79.91,7,11.3,66.4,66.4,,19.1,15.6,20,1,1,16.7,16.7,,0,0,1,3,52,0,52,664,433,100,117,707,707,
RH101AY,RH10 1AY,RH,54.8,43.2,79.66,7.2,13.2,71.4,71.4,,10,9.6,20,0.8,2,16.6,16.6,,1,0,4,9,16,0,16,102,30,48,46,145,145,
RH101BA,RH10 1BA,RH,28.1,31.4,66.73,8,22,52.5,52.5,,7.3,7.6,20,0,4,15,15,,0,0,1,2,2,0,2,86,78,18,85,78,78,
RH101BE,RH10 1BE,RH,39.1,40.7,64.97,3,,42.2,42.2,,9.1,9,14.97,1,,9.4,9.4,,0,1,0,0,25,0,25,938,767,27,,937,937,
RH101BH,RH10 1BH,RH,76.7,72.8,107,,,72.9,72.9,,19.8,17.2,20,,,17.1,17.1,,0,0,0,0,8,0,8,402,411,,,352,352,
RH101BN,RH10 1BN,RH,69.8,59.7,205,7.3,15.3,84.6,84.6,,17.5,12,21,1,1.2,17.8,17.8,,0,0,3,6,17,0,17,660,353,112,38,899,899,
RH101BQ,RH10 1BQ,RH,77.1,73.2,205,,15,82.9,82.9,,20,15.7,21,,1,18.2,18.2,,0,0,0,2,12,0,12,370,171,,86,387,387,
RH101BU,RH10 1BU,RH,78.1,78.2,331,8.5,14,71.1,103.6,331,10.5,13.4,36,1,1,15.4,18,36,0,0,2,1,7,1,8,596,610,119,0,765,715,362
RH101BY,RH10 1BY,RH,23.9,23.7,69.57,7.7,22.9,50.5,50.5,,3.2,4,19.53,1,3.1,11.5,11.5,,0,0,3,7,2,0,2,719,436,180,439,2151,2151,
RH101BZ,RH10 1BZ,RH,46.5,44.9,79.66,9,14,77.3,77.3,,10.1,10.3,20,1,1,19.7,19.7,,0,0,1,2,3,0,3,564,177,212,107,986,986,
RH101DB,RH10 1DB,RH,77.3,70.2,80,,,70.2,70.2,,19.5,17.8,20,,,17.8,17.8,,0,0,0,0,5,0,5,372,417,,,372,372,
RH101DD,RH10 1DD,RH,46.4,48.3,79.67,,20,62.3,62.3,,14.7,11.8,20,,1,17.3,17.3,,0,0,0,2,4,0,4,193,48,,24,278,278,
RH101DR,RH10 1DR,RH,107,111.7,205,,26,118.8,118.8,,12.1,14.9,21,,12,15.2,15.2,,0,0,0,1,12,0,12,428,283,,430,428,428,
RH101DS,RH10 1DS,RH,18.5,29.5,76.33,,15.3,58,58,,1.1,5.5,19.14,,1,14.5,14.5,,0,0,0,4,2,0,2,62,81,,27,41,41,
RH101EF,RH10 1EF,RH,73.7,65.4,80,,,65.4,65.4,,20,16.6,20,,,16.6,16.6,,0,0,0,0,14,0,14,685,497,,,685,685,
RH101EL,RH10 1EL,RH,26.3,23.5,35.5,9.5,25.3,34,34,,3.9,3.4,6.04,1,3.8,5,5,,0,0,2,4,2,0,2,107,85,129,114,71,71,
RH101ES,RH10 1ES,RH,14.8,29.9,80,,13.3,80,80,,1,4.8,20,,0.8,16.5,16.5,,0,0,0,6,2,0,2,191,130,,24,309,309,
RH101ET,RH10 1ET,RH,8.7,8.8,12.32,7,12,,,,1,1,1.12,1,1,,,,0,1,4,3,0,0,0,221,160,260,82,,,
RH101EU,RH10 1EU,RH,34.5,29.7,45.17,9,22.5,37.6,37.6,,4.8,4.5,8.03,1,3,6,6,,0,0,4,4,14,0,14,610,369,161,862,666,666,
RH101FD,RH10 1FD,RH,70.2,50.9,80,,17,78,78,,20,11.6,20,,1.3,20,20,,0,0,0,4,5,0,5,166,22,,21,216,216,
RH101FF,RH10 1FF,RH,13.7,20.7,79.67,6.4,14.8,64,64,,1,3.9,20,0.8,0.9,17.5,17.5,,1,1,6,10,4,0,4,35,16,10,40,36,36,
RH101GW,RH10 1GW,RH,55,77.1,160,,,77.1,77.1,,10,15.7,30,,,15.7,15.7,,0,0,0,0,7,0,7,546,429,,,546,546,
RH101HA,RH10 1HA,RH,67,57,79.67,,18,68.1,68.1,,16.5,12.7,20,,1,16.1,16.1,,0,0,0,2,7,0,7,704,328,,76,784,784,
RH101HG,RH10 1HG,RH,39.1,40.2,79.91,8,17.3,62.6,62.6,,9.8,9.6,20,1,1,17,17,,0,0,2,4,7,0,7,365,255,94,277,492,492,
RH101HJ,RH10 1HJ,RH,70.4,70.7,205,8,19.5,83.4,83.4,,14.4,13.4,21,1,5.5,15.5,15.5,,0,0,1,2,13,0,13,431,327,6,150,441,441,
RH101HL,RH10 1HL,RH,52,131,460,,30,85.4,147.8,460,7.6,13.4,36,,8,10,14.3,36,0,0,0,1,5,1,6,873,591,,591,715,920,1948
RH101HP,RH10 1HP,RH,10.2,15.2,61.94,7.5,11.3,62,62,,1,2.9,17.93,1,1,18,18,,0,0,4,4,1,0,1,246,132,373,124,227,227,
