postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
RM107AA,RM10 7AA,RM,59.9,85.3,205,9,,89.3,89.3,,10,12.7,21,1,,13.3,13.3,,0,0,1,0,19,0,19,889,531,832,,892,892,
RM107AB,RM10 7AB,RM,58.6,137,593,5.7,,104.9,165.1,526.5,20,17.4,39,1.3,,18.1,20.9,37.5,0,1,2,0,12,2,14,723,507,186,,786,683,67
RM107AD,RM10 7AD,RM,91.1,98.1,205,,,98,98,,16,15.3,21,,,15.3,15.3,,0,0,0,0,8,0,8,545,432,,,545,545,
RM107AE,RM10 7AE,RM,107,107.7,593,6.6,13,127.6,159.5,462,10,10,39,0.9,1,12.3,14.7,37.5,0,1,6,4,19,2,21,447,358,418,438,486,458,193
RM107AF,RM10 7AF,RM,107,151.9,460,7.2,,145.1,184.8,363.3,10,15,36,0.8,,14.3,18.2,36,0,0,5,0,18,4,22,482,471,399,,593,502,89
RM107AG,RM10 7AG,RM,107,110.2,593,7.1,13,146.2,181.7,418.3,10,10.6,39,0.8,1,14.4,17.3,37,0,1,14,1,20,3,23,724,490,622,1955,432,516,1075
RM107AH,RM10 7AH,RM,107,107.8,205,,,107.8,107.8,,10.9,15.1,30,,,15.1,15.1,,0,0,0,0,12,0,12,1182,1037,,,1083,1083,
RM107AJ,RM10 7AJ,RM,58.8,135.7,593,6,,81,154.1,593,19.4,19.6,39,1,,19.5,22.3,39,0,0,1,0,6,1,7,655,680,114,,855,732,0
RM107AL,RM10 7AL,RM,205,320.2,1000,,,131.3,320.2,650.8,21,33.8,115,,,15.3,33.8,66.3,0,0,0,0,7,4,11,1250,1142,,,612,909,1428
RM107AN,RM10 7AN,RM,78.2,91.5,331,,15.3,90.5,110.6,331,10,12.8,36,,2.3,13.5,15.4,36,0,0,0,3,11,1,12,638,649,,346,666,711,1206
RM107AP,RM10 7AP,RM,107,177.3,593,2,,99.4,190.8,396.5,18.4,20.1,39,1,,14.8,21.5,36.8,1,0,0,0,9,4,13,447,276,332,,390,387,381
RM107AQ,RM10 7AQ,RM,107,116.1,331,7,12.8,115.5,160.9,331,10,12.1,36,0.8,1,11.7,16.8,36,0,0,4,4,15,4,19,688,755,347,580,756,782,882
RM107AR,RM10 7AR,RM,59.7,91.8,205,7,,101.2,101.2,,11.7,13.5,30,1,,14.9,14.9,,0,0,1,0,9,0,9,374,288,1,,415,415,
RM107AS,RM10 7AS,RM,52.9,75.5,331,6,,73.5,84.2,331,10.5,13.6,36,1,,14.3,15.2,36,0,1,2,0,23,1,24,512,369,216,,526,527,543
RM107AT,RM10 7AT,RM,107,110.7,331,8,22.3,105.4,133.6,331,10,13.3,36,1,6,12.6,15.5,36,0,0,1,3,14,2,16,541,497,229,438,620,580,298
RM107AU,RM10 7AU,RM,71.6,91.6,331,5,26.3,118.4,130.2,331,8.2,10.1,36,1,4.8,12.2,13.5,36,0,1,1,8,17,1,18,626,559,300,816,541,544,580
RM107AW,RM10 7AW,RM,65.9,64.8,160,,16.2,86.9,86.9,,10,11.5,30,,3.2,15.3,15.3,,0,0,0,5,11,0,11,906,683,,439,954,954,
RM107AX,RM10 7AX,RM,107,100.4,460,1,25.3,117.4,138.8,395.5,10,10.7,36,1,3.9,12.4,14.2,36,1,0,0,12,24,2,26,678,584,301,809,572,580,684
RM107AZ,RM10 7AZ,RM,156,140.2,331,8,13.3,177,211.2,331,15.5,14.4,36,1,1,17.9,21.9,36,0,0,1,4,7,2,9,1032,898,714,933,1118,1112,1091
RM107BA,RM10 7BA,RM,56.7,78,205,4,26.5,96.6,96.6,,10,12.6,30,0.7,6.8,15.1,15.1,,0,2,1,4,23,0,23,738,460,57,500,804,804,
RM107BB,RM10 7BB,RM,55.6,182.7,1096,7.5,23,87.8,207,588.8,14.4,18.2,49,5,2,14.1,20.2,39.8,0,0,2,1,16,5,21,631,544,380,2170,485,432,261
RM107BD,RM10 7BD,RM,62.2,105.1,331,4,30,108.4,121.5,331,14.7,15.8,36,0.5,14,16.6,17.8,36,1,0,1,1,16,1,17,614,584,200,1520,481,501,810
RM107BE,RM10 7BE,RM,55.9,93.1,331,8,,67.7,105.3,331,10,13.3,36,1,,11.5,15,36,0,0,1,0,6,1,7,597,726,27,,662,678,775
RM107BF,RM10 7BF,RM,52.7,109.5,331,6,,70.3,135.5,331,10,13.8,36,1,,10.7,17,36,0,0,1,0,3,1,4,1525,822,323,,2042,1826,1178
RM107BG,RM10 7BG,RM,78.1,109.5,331,3.5,,109,120.1,331,19.5,15.4,36,1,,15.9,16.9,36,0,2,0,0,19,1,20,739,636,441,,767,732,64
RM107BH,RM10 7BH,RM,63.2,81.6,331,8,,67,87.3,331,10,13.5,36,1,,12.7,14.5,36,0,0,1,0,12,1,13,183,168,286,,173,175,198
RM107BL,RM10 7BL,RM,72.3,110.3,331,6.7,,76.6,125,331,14.8,16.2,36,1,,14.3,18.4,36,0,0,3,0,17,4,21,781,607,586,,721,808,1178
RM107BP,RM10 7BP,RM,205,311.6,1096,,,150.8,311.6,713.5,21,26.6,49,,,20.4,26.7,42.5,0,0,0,0,5,2,7,1083,1099,,,1094,928,512
RM107BQ,RM10 7BQ,RM,64.3,74,205,6,17,87.8,87.8,,17,13.9,30,1,1,16.6,16.6,,0,1,1,1,14,0,14,704,809,398,0,748,748,
RM107BS,RM10 7BS,RM,107,123,593,6.5,16,93.7,130.4,374.7,15.6,17,39,1,1,15.3,18.1,36.5,0,0,2,1,40,6,46,622,450,437,4,631,603,416
RM107BT,RM10 7BT,RM,74,112.4,593,6.6,,92.2,134.6,396.2,10,15.2,39,1,,15.2,18.2,36.5,0,1,8,0,37,6,43,469,439,371,,479,457,321
