postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
S101BA,S10 1BA,S,52.5,47.4,73.38,10,,56.8,56.8,,11.9,13.4,20,9,,14.5,14.5,,0,0,1,0,4,0,4,377,41,32,,463,463,
S101BD,S10 1BD,S,40,43,79.66,9,20.4,52.1,52.1,,9.8,10.5,20,1,2.7,13.5,13.5,,0,0,2,9,30,0,30,713,533,21,496,824,824,
S101BE,S10 1BE,S,52,49.8,79.67,10,17.5,53.7,53.7,,9.9,11.4,20,1,1,12.5,12.5,,0,0,1,2,27,0,27,1046,1076,543,376,1114,1114,
S101BH,S10 1BH,S,50.3,48.6,60.01,,,48.7,48.7,,13.4,14.3,20,,,14.3,14.3,,0,0,0,0,6,0,6,889,918,,,889,889,
S101BJ,S10 1BJ,S,39.8,43.2,158.91,,21.7,51.1,51.1,,7.9,8.1,30.01,,2,10.3,10.3,,0,0,0,7,19,0,19,478,290,,175,590,590,
S101BL,S10 1BL,S,39.9,50.3,158.59,,22.5,57.3,57.3,,8.6,10.1,28.46,,6,11.1,11.1,,0,0,0,2,8,0,8,479,435,,435,490,490,
S101BN,S10 1BN,S,47.8,53.9,158.68,1,21.5,59.5,59.5,,11.7,12.7,29.99,0,1.2,14.6,14.6,,1,0,0,6,44,0,44,633,539,94,183,692,692,
S101BP,S10 1BP,S,54.8,51.7,78.12,,19,55.8,55.8,,10,12.3,19.98,,1,13.6,13.6,,0,0,0,1,8,0,8,691,574,,0,691,691,
S101BU,S10 1BU,S,39.8,39.9,77.03,,21.5,49.3,49.3,,10,8.7,19.98,,1,12.5,12.5,,0,0,0,2,4,0,4,84,60,,24,114,114,
S101BX,S10 1BX,S,79.7,76.8,160.01,,23,85.7,85.7,,20,16.6,30.02,,1,19.2,19.2,,0,0,0,3,18,0,18,714,482,,473,754,754,
S101BY,S10 1BY,S,59.9,60.9,158.39,,22.8,68.6,68.6,,13.6,13.2,20,,2.8,15.3,15.3,,0,0,0,5,25,0,25,712,568,,391,719,719,
S101BZ,S10 1BZ,S,60.4,53,79.66,,20.3,61.9,61.9,,13.3,12.8,20,,2,15.7,15.7,,0,0,0,3,11,0,11,623,505,,142,698,698,
S101DA,S10 1DA,S,64.8,63.4,159.92,,21,70.2,70.2,,17.1,15.1,30.04,,3.5,17,17,,0,0,0,4,25,0,25,590,398,,217,650,650,
S101DB,S10 1DB,S,74.3,77.1,158.64,,,77.2,77.2,,20,19.7,29.68,,,19.8,19.8,,0,0,0,0,12,0,12,1121,1018,,,1122,1122,
S101DG,S10 1DG,S,78.9,57.1,80,,14.5,71.3,71.3,,19.8,14.2,20,,1,18.7,18.7,,0,0,0,2,6,0,6,793,482,,299,957,957,
S101DH,S10 1DH,S,77.8,83,159.86,7,19,89.6,89.6,,19.5,18.1,30.04,1,1,19.7,19.7,,0,0,1,2,31,0,31,716,670,100,345,737,737,
S101DJ,S10 1DJ,S,67.2,62.8,159.96,,27,65.9,65.9,,19.1,15.5,30.02,,7.3,16.2,16.2,,0,0,0,3,35,0,35,846,703,,390,861,861,
S101EA,S10 1EA,S,38,38.2,52.17,,25,40.8,40.8,,8.5,8.3,11.04,,5,9,9,,0,0,0,1,5,0,5,854,907,,1642,696,696,
S101EB,S10 1EB,S,107,107.9,331,8,,94.2,117.9,331,10,13.2,36,1,,12,14.4,36,0,0,1,0,9,1,10,680,604,0,,602,680,1379
S101ED,S10 1ED,S,60,107.1,331,8,,78.1,114.2,331,10,13.9,36,0,,11.4,14.9,36,0,0,1,0,12,2,14,590,617,30,,437,546,1200
S101EE,S10 1EE,S,40,100.3,460,,15,61.1,111,460,9.4,11.1,36,,0,9,12.4,36,0,0,0,1,7,1,8,519,528,,3,547,583,835
S101EF,S10 1EF,S,59.9,66.7,158.95,,27,73.3,73.3,,12,14.5,30,,9,15.3,15.3,,0,0,0,1,6,0,6,953,698,,698,996,996,
S101EG,S10 1EG,S,89.2,83.1,205,,27,88.2,88.2,,10,10.8,21,,5,11.3,11.3,,0,0,0,1,11,0,11,573,438,,6,572,572,
S101EH,S10 1EH,S,39.8,43.1,75.71,,17,50.6,50.6,,8.9,8.4,20,,1,10.4,10.4,,0,0,0,2,7,0,7,171,117,,76,199,199,
S101EJ,S10 1EJ,S,40.3,42.9,76.11,8,30,47.3,47.3,,9,9.6,20,1,5,10.8,10.8,,0,0,1,1,11,0,11,1266,997,0,692,1318,1318,
S101EN,S10 1EN,S,59.2,57.2,79.66,,29,59.8,59.8,,14.3,13.7,20,,7,14.4,14.4,,0,0,0,1,11,0,11,1222,933,,867,1143,1143,
S101EP,S10 1EP,S,39.1,44.8,79.66,,29,47.1,47.1,,8.4,9.7,19.98,,4,10.4,10.4,,0,0,0,2,14,0,14,858,657,,333,872,872,
S101EQ,S10 1EQ,S,39.3,36.2,57.24,9,28,42.1,42.1,,8.5,8.5,17,3,8,9.5,9.5,,0,0,2,2,12,0,12,1070,458,59,319,1364,1364,
S101ER,S10 1ER,S,38.9,69.4,331,,22.9,74.5,82.5,331,7.5,10.3,36,,5.7,10.8,11.6,36,0,0,0,9,31,1,32,809,591,,361,868,884,1364
S101ES,S10 1ES,S,38.5,40.8,79.67,,18.5,48.3,48.3,,8.4,9.7,20,,1,12.5,12.5,,0,0,0,4,12,0,12,743,689,,122,889,889,
S101ET,S10 1ET,S,42.6,50.6,80,2,21.3,57.7,57.7,,10,12.8,20,20,3.3,13.9,13.9,,0,1,0,3,19,0,19,438,343,225,124,476,476,
S101EU,S10 1EU,S,45,46.7,79.66,,19,55.9,55.9,,10,11.6,20,,5.3,13.7,13.7,,0,0,0,4,12,0,12,377,377,,148,453,453,
S101EW,S10 1EW,S,65.3,57.5,95.3,8,16.5,62.2,62.2,,18.3,14.6,20,1,1,16,16,,0,0,1,2,28,0,28,556,409,99,9,611,611,
S101EX,S10 1EX,S,79.8,127.4,328.67,6,18,104.8,152.4,319.3,20,23,49.93,1,1.3,22.6,27.8,46,0,0,1,3,14,4,18,393,193,180,90,366,456,772
S101EY,S10 1EY,S,78.1,91.3,327.73,,18,89.7,109.6,328,20,18.8,49.92,,1,20.8,23.3,50,0,0,0,3,11,1,12,379,339,,110,482,447,60
S101EZ,S10 1EZ,S,76.4,65.6,79.67,,,65.6,65.6,,18.9,16,20,,,16,16,,0,0,0,0,8,0,8,272,301,,,272,272,
S101FA,S10 1FA,S,78.9,87.1,160.13,,26,92.6,92.6,,20,19.3,30.03,,18,19.5,19.5,,0,0,0,1,11,0,11,721,756,,526,739,739,
S101FB,S10 1FB,S,73,65.9,159.97,,17,75,75,,19.4,15.5,30.04,,2,18,18,,0,0,0,5,27,0,27,318,231,,139,339,339,
S101FD,S10 1FD,S,41.4,44.6,78.56,8,18.2,55.2,55.2,,10,9.9,20,1,1.9,13.1,13.1,,0,0,1,9,26,0,26,511,392,4,299,604,604,
S101FE,S10 1FE,S,39.8,36.5,76.56,9,17.8,49.9,49.9,,8.7,7.4,19.53,1,2.2,11.1,11.1,,0,0,1,15,23,0,23,349,235,542,214,413,413,
S101FF,S10 1FF,S,40,46.4,79.66,,17.1,57.4,57.4,,10,11,20,,1,14.7,14.7,,0,0,0,9,24,0,24,560,317,,151,690,690,
S101FG,S10 1FG,S,41.4,42.2,79.67,8,18.8,51.6,51.6,,9.3,9.4,20,1,5,11.3,11.3,,0,0,1,5,16,0,16,580,429,44,495,604,604,
S101FH,S10 1FH,S,38,45.8,79.91,,17.6,74,74,,5.6,9.4,20,,1.2,17.6,17.6,,0,0,0,5,5,0,5,249,150,,99,350,350,
S101FJ,S10 1FJ,S,39.8,37.4,78.12,,18.7,53.8,53.8,,8.3,7.5,17.87,,2.1,12.1,12.1,,0,0,0,7,8,0,8,201,125,,220,159,159,
S101GA,S10 1GA,S,78.9,85.5,331,8,11,72,104.4,331,14.8,14.7,36,1,1,15.7,18.3,36,0,0,1,1,7,1,8,470,401,23,336,553,543,470
S101GB,S10 1GB,S,76.3,65.5,80,5,,73.1,73.1,,20,16.7,20,0,,18.8,18.8,,0,0,1,0,8,0,8,339,110,110,,368,368,
S101GF,S10 1GF,S,76.2,68.3,79.91,,,68.3,68.3,,19.5,17.4,20,,,17.4,17.4,,0,0,0,0,13,0,13,620,553,,,620,620,
S101GG,S10 1GG,S,40,45.1,79.67,7,15,53.7,53.7,,10,11.3,20,1,1,13.8,13.8,,0,1,1,2,16,0,16,450,333,15,38,527,527,
S101GJ,S10 1GJ,S,47.3,48.3,78.12,,15.5,56.5,56.5,,9.6,10.5,19.53,,1,12.9,12.9,,0,0,0,2,8,0,8,467,352,,368,434,434,
S101GL,S10 1GL,S,71.2,55.8,79.91,,13.3,64.9,64.9,,19.5,14.1,20,,1,16.9,16.9,,0,0,0,3,14,0,14,762,681,,5,870,870,
S101GN,S10 1GN,S,62.6,53.3,76.33,,17.7,62.3,62.3,,19.1,14.2,20,,3,17.1,17.1,,0,0,0,3,12,0,12,519,440,,503,523,523,
S101GP,S10 1GP,S,71.8,66.2,159.23,,13,70,70,,17.7,15.4,25.42,,1,16.4,16.4,,0,0,0,1,14,0,14,937,680,,317,981,981,
S101GQ,S10 1GQ,S,39.8,67.1,327.74,0.5,18,79.1,95.7,328,10,13.4,49.96,0.5,1.2,17.9,20,50,2,0,0,6,14,1,15,386,274,14,231,423,420,386
S101GR,S10 1GR,S,39.9,50.3,158.9,,19.7,57.4,57.4,,10,11.6,29.97,,2,13.9,13.9,,0,0,0,6,26,0,26,682,647,,94,817,817,
S101GS,S10 1GS,S,39.8,37.5,79.75,7,18.6,44.7,44.7,,7,7.3,20,5,1.9,9.1,9.1,,0,0,1,7,23,0,23,686,550,1038,424,691,691,
S101GT,S10 1GT,S,52.5,44.4,79.67,9,15,55.4,55.4,,16.7,12.5,20,1,1.8,16.4,16.4,,0,0,1,4,14,0,14,532,309,0,118,650,650,
S101GU,S10 1GU,S,46.9,50.8,80,,15,58,58,,12.2,12.6,20,,1.3,14.9,14.9,,0,0,0,3,15,0,15,447,253,,44,527,527,
S101GW,S10 1GW,S,48.8,48.6,80,3,13,58.1,58.1,,10,11.8,20,1,1,14.6,14.6,,0,1,0,3,16,0,16,405,168,11,88,490,490,
S101GX,S10 1GX,S,69.6,64.5,156.27,,19.7,73.5,73.5,,19.8,15.6,29.3,,1.3,18.5,18.5,,0,0,0,3,15,0,15,732,681,,26,776,776,
S101GY,S10 1GY,S,73.6,78.2,160.27,,20.8,104.7,104.7,,20,16.8,30.04,,2.2,23.5,23.5,,0,0,0,6,13,0,13,586,508,,341,700,700,
S101GZ,S10 1GZ,S,60.2,55.3,80,10,13,62.4,62.4,,16.6,13.7,20,1,1,15.7,15.7,,0,0,2,1,19,0,19,633,497,353,54,693,693,
S101HA,S10 1HA,S,38.9,40.1,74.51,6,14,55.3,55.3,,9.1,9.9,20,1,1,14.3,14.3,,0,0,1,1,4,0,4,434,507,198,0,493,493,
S101HB,S10 1HB,S,39.8,43.4,69.99,,14,48.2,48.2,,10,10.3,20,,1,11.8,11.8,,0,0,0,1,6,0,6,401,311,,262,424,424,
S101HD,S10 1HD,S,62.4,52.2,79.67,8.3,13,65,65,,17.5,13.3,20,2,1,16.8,16.8,,0,1,3,2,20,0,20,496,368,141,42,613,613,
S101HE,S10 1HE,S,57,52.3,79.67,,12.5,58,58,,14,13.5,20,,1,15.4,15.4,,0,0,0,4,28,0,28,389,342,,74,434,434,
S101HF,S10 1HF,S,74,63.9,78.13,9,,70,70,,18.3,15.4,20,1,,17,17,,0,0,1,0,9,0,9,430,286,20,,475,475,
S101HG,S10 1HG,S,57,49.5,80,,12.6,59.7,59.7,,14.4,12.6,20,,1.1,15.8,15.8,,0,0,0,8,29,0,29,366,342,,227,379,379,
