postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
SA106AA,SA10 6AA,SA,76.1,146.1,460,,29,82.1,157.7,460,14.3,16.5,36,,5,13,17.6,36,0,0,0,1,8,2,10,725,608,,917,677,633,457
SA106AB,SA10 6AB,SA,78.1,95.6,331,,20.3,97,101.6,331,10,13.7,36,,1,14.3,14.7,36,0,0,0,4,49,1,50,450,271,,70,477,471,175
SA106AD,SA10 6AD,SA,78.1,87.9,205,,23,98.7,98.7,,10,11.7,21,,1,13.5,13.5,,0,0,0,1,6,0,6,317,328,,4,317,317,
SA106AE,SA10 6AE,SA,93.3,100.7,205,,23.3,114.4,114.4,,10,13,21,,1.3,15.1,15.1,,0,0,0,3,17,0,17,545,175,,80,595,595,
SA106AF,SA10 6AF,SA,107,111.6,331,,22.8,119.6,131.3,331,10,12.2,36,,1,13.5,14.7,36,0,0,0,4,17,1,18,312,106,,192,273,321,1144
SA106AG,SA10 6AG,SA,79.7,125,593,,21,117.6,177,593,10,13,39,,1.3,16,18.9,39,0,0,0,4,7,1,8,250,109,,145,275,241,0
SA106AH,SA10 6AH,SA,107,73.2,107,,22.5,107,107,,10,6.5,10,,1,10,10,,0,0,0,2,3,0,3,63,60,,62,63,63,
SA106AJ,SA10 6AJ,SA,78.1,88.6,205,,,88.6,88.6,,19.5,16.1,21,,,16.2,16.2,,0,0,0,0,5,0,5,869,661,,,869,869,
SA106AN,SA10 6AN,SA,23.5,112.8,593,8,23.5,156,301.7,593,1.1,8.4,39,0.5,1.3,15.5,23.3,39,0,0,2,4,2,1,3,361,140,1,167,928,619,0
SA106AQ,SA10 6AQ,SA,107,141.7,593,4,13.3,108.9,171.3,383.4,10,16.1,39,1,2.3,14.2,19.3,36.6,0,1,0,4,17,5,22,645,170,40,420,545,655,1032
