postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
SG106AE,SG10 6AE,SG,23.9,24,33.34,,21.3,32,32,,2.4,2.8,5.02,,2.2,4.5,4.5,,0,0,0,6,2,0,2,164,128,,98,364,364,
SG106AF,SG10 6AF,SG,22.3,22.1,36.92,,19.7,37,37,,1.6,3.2,5.94,,2.7,6,6,,0,0,0,6,1,0,1,569,359,,374,1737,1737,
SG106AJ,SG10 6AJ,SG,66.7,53.6,80,,18,68.3,68.3,,19.5,13.2,20,,1,18.3,18.3,,0,0,0,5,12,0,12,338,213,,64,452,452,
SG106AL,SG10 6AL,SG,65.9,63.2,79.67,,23,66,66,,19.4,15.2,20,,1,16.2,16.2,,0,0,0,1,14,0,14,564,342,,756,550,550,
SG106AN,SG10 6AN,SG,76.7,58.5,79.67,5,22,74.6,74.6,,19.5,14.2,20,0.5,1,18.7,18.7,,1,0,1,1,9,0,9,314,59,25,13,412,412,
SG106AP,SG10 6AP,SG,76.4,67.5,80,,,67.5,67.5,,18.6,16.2,20,,,16.2,16.2,,0,0,0,0,22,0,22,319,140,,,319,319,
SG106AQ,SG10 6AQ,SG,6.9,8,15,6.6,15,,,,1.2,1.1,1.25,1.2,1,,,,0,1,4,1,0,0,0,161,20,126,335,,,
SG106AR,SG10 6AR,SG,52.5,52,79.67,,18.5,59.4,59.4,,10,12.4,20,,1,15,15,,0,0,0,2,9,0,9,683,215,,42,825,825,
SG106AS,SG10 6AS,SG,39.8,39,78.29,8,19,47.8,47.8,,7.8,6.6,11.94,1,1,8.6,8.6,,0,0,1,2,8,0,8,163,108,121,139,175,175,
SG106AT,SG10 6AT,SG,61.9,51,77.18,,20,69.8,69.8,,10,9,20,,1,13.6,13.6,,0,0,0,3,5,0,5,174,119,,77,233,233,
