postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
SK101AA,SK10 1AA,SK,39.1,41,107,8,11,62,62,,9.8,6.3,10,1,1,10,10,,0,0,1,1,3,0,3,64,26,7,6,102,102,
SK101AJ,SK10 1AJ,SK,79.7,83.8,205,,13,93.9,93.9,,10,12.7,21,,1,14.4,14.4,,0,0,0,1,7,0,7,513,139,,20,510,510,
SK101AR,SK10 1AR,SK,73.7,53.9,80,7,18,65.9,65.9,,19.5,13.5,20,1,1,17,17,,0,0,1,1,7,0,7,375,37,737,1,376,376,
SK101AT,SK10 1AT,SK,78.1,67.9,107,,24,78.8,78.8,,16.5,13.4,20,,1,16.5,16.5,,0,0,0,1,4,0,4,413,368,,201,466,466,
SK101AU,SK10 1AU,SK,78.1,89.4,205,8,20.3,97.6,97.6,,19.5,14.3,21,1,1.3,15.8,15.8,,0,0,1,3,35,0,35,406,255,19,58,412,412,
SK101AY,SK10 1AY,SK,107,141.5,460,,23,113,156.4,460,10,15.2,36,,1,14.3,17,36,0,0,0,1,7,1,8,415,454,,96,431,403,206
SK101BA,SK10 1BA,SK,107,139,460,,17,110.6,154.3,460,10,16.3,36,,10,14.4,17.1,36,0,0,0,1,7,1,8,261,211,,197,173,237,685
SK101BD,SK10 1BD,SK,78.1,82.7,107,,,82.7,82.7,,19.5,18.1,20,,,18.2,18.2,,0,0,0,0,6,0,6,784,394,,,784,784,
SK101BE,SK10 1BE,SK,59.7,103.7,593,9,16.5,68.2,116,418.3,18.5,16,39,1,1,15.1,18,37,0,0,1,2,19,3,22,724,454,116,124,794,707,160
SK101BH,SK10 1BH,SK,77.2,79.4,107,,,79.5,79.5,,12.4,14,20,,,14,14,,0,0,0,0,6,0,6,539,495,,,449,449,
SK101BL,SK10 1BL,SK,107,175.4,593,,,97.5,175.4,428.8,19.5,19.8,39,,,14.6,19.8,36.8,0,0,0,0,13,4,17,440,309,,,294,362,584
SK101BN,SK10 1BN,SK,54.8,210,593,,,42,210,462,10,19.6,39,,,7.7,19.6,37.5,0,0,0,0,3,2,5,270,56,,,156,270,441
SK101BQ,SK10 1BQ,SK,65.9,92.3,331,,12,76.5,99.6,331,20,17.2,36,,1,17,18.7,36,0,0,0,1,10,1,11,504,321,,219,533,485,0
SK101BR,SK10 1BR,SK,40,45.7,79.67,,15.9,59.6,59.6,,10,9.8,20,,1.1,13.9,13.9,,0,0,0,8,17,0,17,50,19,,44,52,52,
SK101BT,SK10 1BT,SK,37.2,59.8,205,3,19.8,103.4,103.4,,5.7,8.6,21,1,1.3,16.2,16.2,,0,1,0,4,5,0,5,100,50,9,39,167,167,
SK101BW,SK10 1BW,SK,78.1,128.2,460,0,,94.3,137.4,395.5,19.5,17.6,36,0,,16,18.9,36,1,0,0,0,12,2,14,623,647,0,,605,623,733
SK101DD,SK10 1DD,SK,39.1,77.4,460,,17.7,102.3,132.1,460,10,9.3,36,,0.9,15.3,17,36,0,0,0,11,11,1,12,457,283,,229,366,553,2607
SK101DE,SK10 1DE,SK,39.9,46.1,79.91,,14,52.4,52.4,,10,9.6,20,,1,11.4,11.4,,0,0,0,1,5,0,5,330,237,,56,385,385,
SK101DF,SK10 1DF,SK,107,145.5,593,5,15,131.8,164.8,593,19.8,15.7,39,1,3,16.1,17.7,39,0,0,1,1,13,1,14,369,209,479,56,328,304,0
SK101DG,SK10 1DG,SK,93.5,98.9,205,,,98.9,98.9,,14.8,15,21,,,15,15,,0,0,0,0,10,0,10,306,251,,,306,306,
SK101DH,SK10 1DH,SK,79.5,128.2,331,6,19,98,156.3,331,9.6,14.1,36,0,1,11.3,17.4,36,0,0,1,3,12,4,16,477,256,204,238,306,449,878
SK101DJ,SK10 1DJ,SK,40,95.7,331,,16,44,115.8,331,10,13.3,36,,1,10,16.5,36,0,0,0,1,3,1,4,447,494,,44,566,548,494
SK101DL,SK10 1DL,SK,78.1,88.2,460,,19.7,81.6,96.1,460,10,11.8,36,,3,11.9,12.8,36,0,0,0,3,25,1,26,446,309,,172,477,477,484
SK101DN,SK10 1DN,SK,78.9,101.9,593,,22,90.4,121.8,593,14.8,14.1,39,,2.3,15.6,17.1,39,0,0,0,4,15,1,16,295,206,,102,288,270,0
SK101DQ,SK10 1DQ,SK,22.3,21.1,22.77,,21.2,,,,1.1,1.1,1.24,,1.2,,,,0,0,0,6,0,0,0,208,124,,173,,,
SK101DW,SK10 1DW,SK,78.1,80.6,205,,19.4,92.8,92.8,,10,12.5,21,,1,14.8,14.8,,0,0,0,5,25,0,25,376,243,,338,383,383,
SK101DY,SK10 1DY,SK,17.5,24.5,46.12,,16.4,45,45,,0.9,2.7,7.7,,0.8,7.5,7.5,,0,0,0,5,2,0,2,20,15,,5,28,28,
SK101EB,SK10 1EB,SK,62.2,55.6,80,,22.5,66.7,66.7,,13.7,12.4,20,,1,16.2,16.2,,0,0,0,2,6,0,6,191,63,,221,182,182,
SK101EE,SK10 1EE,SK,76.1,63.7,80,,,63.7,63.7,,20,16.6,20,,,16.5,16.5,,0,0,0,0,6,0,6,452,374,,,376,376,
SK101ER,SK10 1ER,SK,39.8,44.4,66.72,,16,49.2,49.2,,10,10.2,20,,1,11.8,11.8,,0,0,0,1,6,0,6,329,211,,557,291,291,
SK101ET,SK10 1ET,SK,33.4,32.6,40,,21,35.5,35.5,,6.5,5.6,7.61,,1,6.8,6.8,,0,0,0,1,4,0,4,367,574,,1,459,459,
SK101EW,SK10 1EW,SK,46.8,104,331,,21.3,130.3,170.4,331,10,12.1,36,,1,17.3,21,36,0,0,0,4,4,1,5,215,93,,32,135,275,837
SK101FT,SK10 1FT,SK,78.1,65,79.91,,17,73,73,,19.5,15.5,20,,1,17.8,17.8,,0,0,0,1,6,0,6,670,714,,41,775,775,
SK101FW,SK10 1FW,SK,55,101.5,1000,,,62.4,101.5,1000,10,17.3,115,,,13,17.3,115,0,0,0,0,23,1,24,49,32,,,46,49,100
SK101FX,SK10 1FX,SK,20.3,19.6,22.28,,19.6,,,,1.1,1,1.25,,1,,,,0,0,0,7,0,0,0,255,215,,255,,,
SK101GA,SK10 1GA,SK,78.1,65.3,79.76,,18.5,73.1,73.1,,19.5,15.7,20,,1,18.1,18.1,,0,0,0,2,12,0,12,1046,717,,493,1138,1138,
SK101GB,SK10 1GB,SK,74.3,73.7,593,6,16.8,68.9,90.8,593,18.2,13.7,39,1,1.2,16.5,17.4,39,0,0,1,6,23,1,24,755,556,10,274,912,874,0
SK101GD,SK10 1GD,SK,70.4,58,80,8,16.3,67.9,67.9,,19.5,14.5,20,1,1.8,17.5,17.5,,0,0,1,13,60,0,60,387,341,19,118,451,451,
SK101GE,SK10 1GE,SK,78.1,62.1,80,,21.3,70.6,70.6,,19.5,14.9,20,,1,17.8,17.8,,0,0,0,4,19,0,19,824,599,,282,938,938,
SK101GF,SK10 1GF,SK,66.2,63.3,76.55,,,63.3,63.3,,19.5,17.7,20,,,17.7,17.7,,0,0,0,0,6,0,6,256,218,,,257,257,
SK101GG,SK10 1GG,SK,66.9,60.7,79.91,,12.5,64.7,64.7,,19.3,16.2,20,,1,17.5,17.5,,0,0,0,2,24,0,24,612,491,,370,632,632,
SK101JG,SK10 1JG,SK,65.4,59.7,107,8.5,18,69.4,69.4,,14.7,13.4,20,1,1,15.9,15.9,,0,0,2,1,15,0,15,297,266,76,210,332,332,
SK101JH,SK10 1JH,SK,107,114.9,205,,,114.9,114.9,,10,13,21,,,13,13,,0,0,0,0,7,0,7,729,94,,,521,521,
SK101JN,SK10 1JN,SK,70.9,92.3,331,4,16.5,92.4,101.9,331,19.5,16.1,36,1,1,17.1,17.9,36,0,1,0,2,24,1,25,488,337,25,116,508,536,1211
SK101JP,SK10 1JP,SK,77.6,103.2,331,,16,79.8,115.7,331,10,14.6,36,,1,13.3,16.6,36,0,0,0,1,6,1,7,300,356,,124,315,326,391
SK101JQ,SK10 1JQ,SK,60.3,73.5,205,,13,85.6,85.6,,10,10.9,21,,1,12.9,12.9,,0,0,0,2,10,0,10,601,330,,325,657,657,
SK101JS,SK10 1JS,SK,79.7,143.8,593,,,85.9,143.8,462,20,21.7,39,,,18.8,21.7,37.5,0,0,0,0,11,2,13,964,531,,,962,890,496
SK101JU,SK10 1JU,SK,74,85,205,8,16,101.1,101.1,,19.5,14.5,21,1,1,17.6,17.6,,0,0,1,1,9,0,9,538,500,58,219,626,626,
SK101JX,SK10 1JX,SK,46.6,42.6,79.67,10,16,59.8,59.8,,9.3,7.9,19.98,1,1,12,12,,0,0,1,2,5,0,5,419,341,28,77,634,634,
SK101LT,SK10 1LT,SK,78.1,118.9,460,,23,87.5,125.5,363.3,19.5,17.2,36,,3.5,15.3,18.1,36,0,0,0,2,25,4,29,441,272,,21,398,425,589
SK101LX,SK10 1LX,SK,78.8,85.6,205,,11,95,95,,20,14.7,21,,1,16.4,16.4,,0,0,0,1,8,0,8,294,214,,5,330,330,
SK101LZ,SK10 1LZ,SK,79.6,114.6,593,5,18,75.9,140.5,593,19.8,16.9,39,1,1,18.3,20.9,39,0,1,0,1,7,1,8,295,167,10,12,375,329,0
SK101NA,SK10 1NA,SK,29.3,32.2,79.67,7.5,19,53.3,53.3,,5.5,7.1,20,1,1,13.3,13.3,,0,0,2,1,3,0,3,264,123,17,30,507,507,
SK101NB,SK10 1NB,SK,78.1,92.6,460,6.5,13.5,86.5,139.9,460,10,10.8,36,1,1,13.3,16.6,36,0,0,2,2,6,1,7,756,316,181,126,775,1101,3061
SK101ND,SK10 1ND,SK,18.6,38.3,78.12,,15.3,69,69,,1.3,7.8,20,,1.3,16.7,16.7,,0,0,0,4,3,0,3,225,245,,229,221,221,
SK101NF,SK10 1NF,SK,79.7,76.6,107,,11,93,93,,10,12.1,20,,1,15,15,,0,0,0,1,4,0,4,193,68,,28,235,235,
SK101NG,SK10 1NG,SK,79.7,106.4,205,,,106.5,106.5,,20,17.4,21,,,17.5,17.5,,0,0,0,0,24,0,24,509,495,,,467,467,
SK101NH,SK10 1NH,SK,78.1,97.2,331,,18,101.3,112.3,331,10,14,36,,1.3,15.4,16.4,36,0,0,0,4,20,1,21,367,261,,34,384,396,626
SK101NJ,SK10 1NJ,SK,79.7,79.7,205,,20,90.6,90.6,,10,13.2,21,,1,15.5,15.5,,0,0,0,2,11,0,11,225,166,,122,243,243,
SK101NQ,SK10 1NQ,SK,79.9,124.4,460,,,75.1,124.4,395.5,14.1,17.4,36,,,14,17.4,36,0,0,0,0,11,2,13,404,201,,,270,373,942
SK101PY,SK10 1PY,SK,78.9,141.6,593,,12.5,90.4,152.3,462,19.5,18.8,39,,1,16.9,20.3,37.5,0,0,0,2,20,4,24,496,302,,12,545,475,121
SK101PZ,SK10 1PZ,SK,75.9,67.1,107,,22.5,73.5,73.5,,10,13.5,20,,5.5,14.6,14.6,,0,0,0,2,14,0,14,328,221,,54,367,367,
SK101QA,SK10 1QA,SK,72.7,109.7,460,,14,75.6,115.6,395.5,10,13.5,36,,1,11.1,14.3,36,0,0,0,1,14,2,16,178,113,,538,176,155,14
SK101QB,SK10 1QB,SK,40,76.1,593,7,15.3,72.8,92.8,593,10,10.1,39,1,2,11.3,12.3,39,0,0,1,6,25,1,26,101,50,9,96,101,98,0
SK101QD,SK10 1QD,SK,78.1,88.1,331,,13,80,91.5,331,19.5,16.7,36,,1,16.5,17.4,36,0,0,0,1,21,1,22,581,292,,26,579,579,597
SK101QE,SK10 1QE,SK,78.1,195.8,593,,16,83.1,209.6,494.3,18.4,19.9,39,,1,14.1,21.3,37.5,0,0,0,1,9,4,13,871,527,,86,956,797,440
SK101QH,SK10 1QH,SK,75.8,93.3,205,,,93.3,93.3,,19.8,15.4,21,,,15.4,15.4,,0,0,0,0,10,0,10,583,453,,,583,583,
SK101QJ,SK10 1QJ,SK,71.5,66.8,205,,15,75.7,75.7,,18.2,13.8,21,,3.8,15.6,15.6,,0,0,0,4,23,0,23,407,153,,235,402,402,
SK101QL,SK10 1QL,SK,54.3,88.2,331,,12,69.7,95.8,331,10,15.3,36,,1,14.6,16.7,36,0,0,0,1,9,1,10,178,76,,25,174,193,367
SK101QN,SK10 1QN,SK,76.1,171.9,593,8,,86,212.8,593,20,18,39,1,,16.7,22.3,39,0,0,1,0,3,1,4,389,100,52,,502,376,0
SK101QP,SK10 1QP,SK,107,131.1,593,,23,91.8,141.9,593,10,15,39,,6,13.3,15.9,39,0,0,0,1,9,1,10,337,35,,12,336,302,0
SK101QR,SK10 1QR,SK,107,77.4,107,,11,85.8,85.8,,10,9.4,20,,1,10.4,10.4,,0,0,0,1,8,0,8,342,160,,736,293,293,
SK101QS,SK10 1QS,SK,205,184.7,593,6,26,129.6,220.2,383.4,21,18.6,39,1,4,13.9,22,36.6,0,0,1,2,9,5,14,389,284,10,64,391,407,436
SK101QU,SK10 1QU,SK,39.1,64.7,331,7.5,16.8,72.3,84.7,331,9,8.4,36,1,3.8,9.4,10.7,36,0,0,4,4,20,1,21,257,79,12,93,333,322,113
SK101QW,SK10 1QW,SK,46.8,57.4,107,,23,61.8,61.8,,10,9.9,13.62,,8,10.1,10.1,,0,0,0,1,8,0,8,66,29,,133,58,58,
SK101QX,SK10 1QX,SK,107,241.7,593,10,,73,299.8,526.5,10,19.1,39,1,,10,23.8,37.5,0,0,1,0,2,2,4,321,399,1,,447,401,355
SK101QY,SK10 1QY,SK,47.4,96.9,205,,,96.9,96.9,,9.6,12.3,21,,,12.3,12.3,,0,0,0,0,10,0,10,412,380,,,412,412,
SK101QZ,SK10 1QZ,SK,37.8,90.4,205,,12,100.3,100.3,,7.4,10.9,21,,1,12.1,12.1,,0,0,0,1,8,0,8,247,25,,20,276,276,
SK101RA,SK10 1RA,SK,107,190,593,,22,139.1,218,494.3,10,17.2,39,,4,14.1,19.3,37.5,0,0,0,3,14,4,18,302,226,,42,283,295,338
SK101RD,SK10 1RD,SK,39.1,112.7,460,8,22.4,100.5,180.1,352.5,7.5,12.9,36,1,4.9,11,18.9,36,0,0,1,13,13,6,19,312,242,12,244,353,342,319
SK101RE,SK10 1RE,SK,78.9,77.3,107,,,77.4,77.4,,14.8,14.3,20,,,14.4,14.4,,0,0,0,0,8,0,8,138,81,,,138,138,
SK101RF,SK10 1RF,SK,78.1,105.1,331,,,96.7,105.1,331,13.4,15.1,36,,,14.3,15.1,36,0,0,0,0,27,1,28,462,337,,,414,429,834
