postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
SL00AF,SL0 0AF,SL,9.2,9.1,15.47,7.3,12,,,,1.1,1.1,1.22,1,1,,,,0,1,5,4,0,0,0,473,420,484,456,,,
SL00AG,SL0 0AG,SL,73.7,59.2,79.94,,14.5,69.2,69.2,,17.7,14,20,,1,16.9,16.9,,0,0,0,2,9,0,9,165,112,,80,184,184,
SL00AH,SL0 0AH,SL,72.3,122,460,,18.8,111.8,149.6,395.5,10,14.1,36,,1.3,14.6,17.5,36,0,0,0,4,13,2,15,493,295,,204,580,569,499
SL00AJ,SL0 0AJ,SL,77.1,157.4,593,,21.5,107.3,199.2,505.7,19.5,17.7,39,,3,17.6,22.3,38,0,0,0,4,10,3,13,331,131,,102,179,325,814
SL00AL,SL0 0AL,SL,42.2,72.6,331,,15.5,62.7,80,331,8.4,9.5,36,,1,8.8,10.6,36,0,0,0,4,29,2,31,615,549,,521,639,627,455
SL00AN,SL0 0AN,SL,63.4,58,71.39,,,58,58,,14.9,12.3,16.55,,,12.2,12.2,,0,0,0,0,5,0,5,458,416,,,458,458,
SL00AW,SL0 0AW,SL,78.1,91.2,205,,,91.2,91.2,,20,19,21,,,19,19,,0,0,0,0,10,0,10,405,361,,,405,405,
SL00AY,SL0 0AY,SL,28,24.1,40.23,5.7,25,37.3,37.3,,7.7,5.4,9.69,0.7,5.7,8.8,8.8,,0,1,2,3,4,0,4,119,9,155,10,173,173,
SL00BB,SL0 0BB,SL,11.6,26.6,78.12,6.7,12.3,78,78,,1.1,5.6,19.53,1,1,19.5,19.5,,0,1,2,3,2,0,2,370,92,56,326,908,908,
SL00BG,SL0 0BG,SL,66.4,91.3,331,1,27,84.7,102.3,331,19.5,15.8,36,1,8,16,17.4,36,1,0,0,1,13,1,14,614,320,2,61,711,698,520
SL00BN,SL0 0BN,SL,30.8,44.5,107,,19.3,64.6,64.6,,6.9,7.1,10,,4.8,9,9,,0,0,0,4,5,0,5,475,370,,354,476,476,
SL00BQ,SL0 0BQ,SL,45.4,53.6,79.67,,,53.6,53.6,,17.9,16.2,20,,,16.3,16.3,,0,0,0,0,8,0,8,739,219,,,739,739,
SL00BS,SL0 0BS,SL,76.7,110.1,460,6,,79.4,121.7,460,14.8,15.5,36,1,,14.8,17.1,36,0,0,1,0,8,1,9,702,567,14,,788,700,0
SL00BT,SL0 0BT,SL,46.6,45.6,80,2,,52.8,52.8,,15,13.4,20,0,,15.5,15.5,,0,1,0,0,6,0,6,338,198,103,,377,377,
SL00BW,SL0 0BW,SL,40,122,1096,4,22.7,91.1,146.1,586,9.8,13.1,49,0.7,4.3,12.3,15.4,40.3,0,2,1,3,24,3,27,572,482,135,374,570,537,271
SL00BX,SL0 0BX,SL,39.1,75.3,331,8,23,69.7,86.1,331,9.8,11.3,36,1,6,11,12.6,36,0,0,1,2,15,1,16,499,383,240,128,497,531,1033
