postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
SM11AH,SM1 1AH,SM,100,188.3,1000,10,15.9,101.6,209.6,818.2,1.1,1,1.27,1,1,0,0,0,0,0,1,8,62,11,73,346,263,77,380,0,0,0
SM11AJ,SM1 1AJ,SM,100,209.2,1000,,15.9,96.5,234.3,772.7,0.9,0.9,1.17,,0.9,0,0,0,0,0,0,7,43,11,54,636,671,,636,0,0,0
SM11AN,SM1 1AN,SM,75,231.8,1000,,16.2,140,385.7,1000,0.9,0.9,1.09,,0.8,0,0,0,0,0,0,5,5,2,7,312,124,,250,0,0,0
SM11AP,SM1 1AP,SM,100,207,1000,,15,100.9,223,833.3,1.3,5.7,19.53,,1,0.7,0.6,0,0,0,0,3,30,6,36,274,273,,272,9,8,0
SM11AY,SM1 1AY,SM,10.5,11.2,15.26,8,13.3,,,,0.6,0.7,1.08,0.5,1,,,,0,0,2,3,0,0,0,9,9,2,5,,,
SM11BT,SM1 1BT,SM,23.3,66.5,205,,18.3,134,134,,1.1,8.9,30,,0.9,20.2,20.2,,0,0,0,7,5,0,5,427,513,,189,588,588,
SM11DJ,SM1 1DJ,SM,20.8,19.9,23.44,,19.9,,,,0.9,0.9,1.22,,0.9,,,,0,0,0,10,0,0,0,303,244,,243,,,
SM11DT,SM1 1DT,SM,20.3,19.1,24.54,,19,,,,1,0.9,1.2,,1,,,,0,0,0,6,0,0,0,218,216,,146,,,
SM11DZ,SM1 1DZ,SM,22.2,16.4,23.44,6,22.6,,,,1,0.8,1.15,0.7,1,,,,0,1,2,5,0,0,0,432,261,30,588,,,
SM11EZ,SM1 1EZ,SM,20.4,16.6,24.38,5,19.2,,,,1,0.9,1.25,0.5,1,,,,1,0,1,9,0,0,0,380,149,0,337,,,
SM11HF,SM1 1HF,SM,19.7,18.9,23.18,8,19.9,,,,1,1.1,1.91,0,1.1,,,,0,0,1,10,0,0,0,373,268,0,298,,,
SM11HN,SM1 1HN,SM,19.4,18.8,24.38,,18.8,,,,0.9,0.9,1.23,,0.9,,,,0,0,0,10,0,0,0,364,204,,291,,,
SM11JE,SM1 1JE,SM,21.3,37.8,79.67,8,17,67.2,67.2,,1.2,7.7,20,1,1,16.5,16.5,,0,0,1,7,6,0,6,191,44,17,119,271,271,
