postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
SN101AG,SN10 1AG,SN,69.7,54.1,79.67,,22.5,75,75,,18.6,12.6,20,,2.3,19.5,19.5,,0,0,0,4,6,0,6,184,24,,23,229,229,
SN101AH,SN10 1AH,SN,23.5,41.8,79.91,,22.1,68,68,,1.3,8,20,,1.1,17.2,17.2,,0,0,0,8,6,0,6,198,82,,172,234,234,
SN101AJ,SN10 1AJ,SN,39.8,42,79.91,6.8,22.5,61.9,61.9,,9.8,9.3,20,0.8,1,15.4,15.4,,0,1,3,4,11,0,11,243,36,16,7,390,390,
SN101AP,SN10 1AP,SN,55.8,55.7,80,,21,60.7,60.7,,15.7,14,20,,1,15.9,15.9,,0,0,0,1,7,0,7,231,159,,12,230,230,
SN101AQ,SN10 1AQ,SN,39.8,35.2,56.54,,19,41.6,41.6,,8.3,7.1,14.58,,1.5,9.4,9.4,,0,0,0,2,5,0,5,366,127,,171,444,444,
SN101AR,SN10 1AR,SN,30.8,29.8,49.72,,17.2,42.4,42.4,,5.6,7,19.53,,1,13,13,,0,0,0,5,5,0,5,107,55,,40,152,152,
SN101AT,SN10 1AT,SN,44.7,47,80,9,23,61.8,61.8,,8.9,9.5,20,0,1.3,14.1,14.1,,0,0,1,4,9,0,9,253,43,25,370,226,226,
SN101AX,SN10 1AX,SN,40,50.5,79.98,,21.3,61.5,61.5,,10,11.2,20,,1,15,15,,0,0,0,3,8,0,8,464,335,,247,545,545,
SN101BD,SN10 1BD,SN,40,45.6,79.67,,16,55.5,55.5,,10,10.2,20,,1,13.3,13.3,,0,0,0,2,6,0,6,207,198,,23,269,269,
SN101BE,SN10 1BE,SN,79,63.6,80,,23,71.6,71.6,,19.8,15.1,20,,1,18,18,,0,0,0,1,5,0,5,235,239,,4,281,281,
SN101BF,SN10 1BF,SN,57.5,47,79.91,8,15.8,62.1,62.1,,15,12,20,1,1,17.1,17.1,,0,0,1,5,13,0,13,460,346,21,958,303,303,
SN101BG,SN10 1BG,SN,47.4,46.5,78.12,8,20,62.8,62.8,,10,10.2,19.53,1,1,14.8,14.8,,0,0,1,1,4,0,4,167,41,8,36,240,240,
SN101BH,SN10 1BH,SN,39.8,40.1,79.76,5,20.2,54.2,54.2,,10,8.2,20,1,1,12.7,12.7,,0,0,1,6,11,0,11,104,18,3,28,145,145,
SN101BN,SN10 1BN,SN,54.8,58.1,79.67,,24,62.5,62.5,,10,13.3,20,,1,14.9,14.9,,0,0,0,1,8,0,8,316,74,,22,353,353,
SN101BZ,SN10 1BZ,SN,39.9,42.4,79.74,8,18.6,57.4,57.4,,10,9.9,20,1,1.1,15.3,15.3,,0,0,1,8,15,0,15,229,82,6,50,339,339,
SN101DD,SN10 1DD,SN,73.5,60.3,79.46,,10,67.4,67.4,,19.8,15.5,20,,1,17.6,17.6,,0,0,0,1,7,0,7,342,263,,42,384,384,
SN101DG,SN10 1DG,SN,40,41,77.8,,18,59,59,,10,9.4,20,,1,16.1,16.1,,0,0,0,11,14,0,14,395,258,,289,450,450,
SN101DH,SN10 1DH,SN,35.1,32.1,58.48,7.3,19,44.9,44.9,,8.6,7.5,16.7,0.8,3.7,11.2,11.2,,0,0,4,9,17,0,17,464,299,452,221,568,568,
SN101DJ,SN10 1DJ,SN,40,48.8,79.98,,18.7,58.4,58.4,,10,11.1,20,,1,14.3,14.3,,0,0,0,7,22,0,22,414,219,,117,509,509,
SN101DL,SN10 1DL,SN,40,47.6,80,,20.7,57.8,57.8,,10,10.9,20,,1,14.6,14.6,,0,0,0,3,8,0,8,211,113,,118,246,246,
SN101DN,SN10 1DN,SN,63.3,59.6,80,,19,64.1,64.1,,18.9,14.9,20,,1,16.4,16.4,,0,0,0,1,9,0,9,469,440,,0,521,521,
SN101DP,SN10 1DP,SN,53.9,49,79.74,7,19,70.3,70.3,,18.3,11.9,20,5,1.4,18.6,18.6,,0,0,1,5,9,0,9,366,216,495,291,393,393,
SN101DQ,SN10 1DQ,SN,33.4,30.2,54.78,,17.7,39.5,39.5,,6.9,5.3,10,,1,8.5,8.5,,0,0,0,3,4,0,4,218,67,,60,337,337,
SN101DR,SN10 1DR,SN,54.8,57.2,79.76,,18,61.6,61.6,,10.5,11.7,20,,1,12.9,12.9,,0,0,0,1,9,0,9,356,35,,29,392,392,
SN101DT,SN10 1DT,SN,77.1,65.8,79.76,,16,71.3,71.3,,20,16.7,20,,1,18.4,18.4,,0,0,0,1,9,0,9,575,438,,0,575,575,
SN101DX,SN10 1DX,SN,36,42.2,79.14,,19.9,59.4,59.4,,9.2,9.4,20,,1,15.9,15.9,,0,0,0,7,9,0,9,71,10,,15,108,108,
SN101DZ,SN10 1DZ,SN,44.3,40,71.31,,21.3,51.2,51.2,,8.3,8.2,17.05,,1.3,12.4,12.4,,0,0,0,3,5,0,5,294,134,,98,411,411,
SN101EB,SN10 1EB,SN,54.8,49.8,79.99,,19.3,61.3,61.3,,10,11.1,20,,1,15,15,,0,0,0,3,8,0,8,383,95,,20,520,520,
SN101EG,SN10 1EG,SN,39.3,48.2,79.98,,13,55.2,55.2,,9.9,11.5,20,,1,13.6,13.6,,0,0,0,1,5,0,5,226,80,,3,270,270,
SN101EH,SN10 1EH,SN,54.8,52.4,79.98,,21.4,62.1,62.1,,10,12.4,20,,1.2,15.9,15.9,,0,0,0,5,16,0,16,247,124,,267,241,241,
SN101ER,SN10 1ER,SN,54.8,53.6,79.08,,,53.6,53.6,,10,12.8,20,,,12.9,12.9,,0,0,0,0,7,0,7,132,143,,,132,132,
SN101ES,SN10 1ES,SN,39.9,43.6,79.76,,18.4,64.5,64.5,,10,9.3,20,,1,16.3,16.3,,0,0,0,5,6,0,6,73,12,,147,12,12,
SN101ET,SN10 1ET,SN,70.5,56.9,79.98,8,20.1,66.4,66.4,,17,13.5,20,1,1,16.7,16.7,,0,0,1,7,32,0,32,245,139,83,192,262,262,
SN101EU,SN10 1EU,SN,60,50.7,78.11,,18.7,62.6,62.6,,12,11.9,20,,1,16,16,,0,0,0,3,8,0,8,322,78,,28,432,432,
SN101EW,SN10 1EW,SN,47.4,48.8,79.76,,21.7,60.4,60.4,,10,10.4,20,,1,14.4,14.4,,0,0,0,3,7,0,7,150,124,,44,195,195,
SN101EX,SN10 1EX,SN,78.1,68.4,79.66,,,68.3,68.3,,19.5,16.5,20,,,16.5,16.5,,0,0,0,0,6,0,6,501,342,,,501,501,
SN101EZ,SN10 1EZ,SN,35.9,35.7,70.66,8,22.5,43.9,43.9,,6.1,6.6,19.15,0,3,8.8,8.8,,0,0,1,6,13,0,13,840,646,3,338,1136,1136,
SN101FA,SN10 1FA,SN,39.9,37.2,73.04,4.7,16.9,51.7,51.7,,9.8,8.5,20,0.7,1,13.2,13.2,,1,0,2,8,18,0,18,113,60,53,182,79,79,
SN101FD,SN10 1FD,SN,39.9,45.1,79.98,10,16,65.7,65.7,,10,10.3,20,1,1,16.7,16.7,,0,0,1,3,6,0,6,372,209,19,47,593,593,
SN101FE,SN10 1FE,SN,47.3,41.7,66.23,,21,54.1,54.1,,8.6,7.9,18.17,,1.2,12.1,12.1,,0,0,0,6,10,0,10,682,715,,476,805,805,
SN101FG,SN10 1FG,SN,56.3,49.5,68.3,9,23.5,56.5,56.5,,11,11.1,20,1,1,13.5,13.5,,0,0,1,2,13,0,13,442,324,4,1220,356,356,
SN101FH,SN10 1FH,SN,55.4,52.2,79.75,,19.5,64.1,64.1,,19.5,12.8,20,,1,17.1,17.1,,0,0,0,4,11,0,11,280,267,,134,333,333,
SN101GA,SN10 1GA,SN,40,38.6,61.89,,20.3,51.2,51.2,,10,8.4,19.18,,1.8,12.9,12.9,,0,0,0,9,13,0,13,186,16,,9,280,280,
SN101HA,SN10 1HA,SN,34.8,32.7,62.96,,20.1,38.6,38.6,,4.9,5.2,19.53,,1.9,6.8,6.8,,0,0,0,7,15,0,15,599,347,,733,536,536,
SN101HD,SN10 1HD,SN,55.8,51.8,79.74,8,18,62.9,62.9,,19.2,13.9,20,1,1,17.6,17.6,,0,0,1,1,7,0,7,114,50,1,50,140,140,
SN101HE,SN10 1HE,SN,66.6,58.8,75.58,,,58.8,58.8,,19.5,18.1,20,,,18.2,18.2,,0,0,0,0,6,0,6,84,27,,,84,84,
SN101HG,SN10 1HG,SN,56.9,51.3,80,,17,68.3,68.3,,14.8,11.9,20,,1,17.5,17.5,,0,0,0,2,4,0,4,387,128,,797,182,182,
SN101HJ,SN10 1HJ,SN,39.1,47.2,80,,21.7,62.6,62.6,,10,9.7,20,,1,14.8,14.8,,0,0,0,3,5,0,5,71,39,,13,106,106,
SN101HL,SN10 1HL,SN,30.8,35.6,76.56,7,17,57.3,57.3,,5.5,6.5,16.61,0,1,12.3,12.3,,0,0,1,2,3,0,3,374,145,25,146,642,642,
SN101HT,SN10 1HT,SN,71.3,55.3,79.74,8,13,70.3,70.3,,19.5,13.8,20,1,1,18.2,18.2,,0,0,1,1,6,0,6,417,110,0,0,417,417,
SN101HU,SN10 1HU,SN,71.2,60.2,79.76,,14,66.9,66.9,,20,16.3,20,,1,18.6,18.6,,0,0,0,1,7,0,7,605,392,,650,599,599,
SN101JG,SN10 1JG,SN,71.4,57,79.89,9,21.7,71.1,71.1,,18.1,13,20,0,1,17.5,17.5,,0,0,1,3,11,0,11,195,116,187,32,222,222,
SN101JJ,SN10 1JJ,SN,24.4,39.6,78.12,8,22.3,67.3,67.3,,1.3,6.8,19.53,0,1,14.7,14.7,,0,0,1,3,3,0,3,226,55,0,20,432,432,
SN101JL,SN10 1JL,SN,64.6,56.1,79.74,1,20,62.2,62.2,,19.5,14.9,20,4,1,16.5,16.5,,1,0,0,1,15,0,15,259,166,50,87,284,284,
SN101JQ,SN10 1JQ,SN,41.6,43.4,79.75,5.5,21.5,73.3,73.3,,10,10.1,20,0.5,1,19.5,19.5,,0,1,1,2,4,0,4,310,221,0,15,457,457,
SN101JY,SN10 1JY,SN,70.3,59.6,79.74,,21,66.6,66.6,,19.5,13.3,20,,1,15.5,15.5,,0,0,0,2,11,0,11,256,193,,132,279,279,
SN101LD,SN10 1LD,SN,55.4,48.8,79.66,8.5,18.7,63.3,63.3,,16,11.4,19.98,0.5,1,16.1,16.1,,0,0,2,6,18,0,18,270,79,5,71,351,351,
SN101LL,SN10 1LL,SN,77.1,63.1,79.98,,20,68.5,68.5,,20,15.7,20,,1,17.4,17.4,,0,0,0,2,16,0,16,290,189,,285,290,290,
SN101LP,SN10 1LP,SN,53.1,53.6,73.77,,,53.6,53.6,,10,11.3,18.33,,,11.3,11.3,,0,0,0,0,7,0,7,353,182,,,353,353,
SN101LQ,SN10 1LQ,SN,40,41.5,79.76,9,14.8,57.6,57.6,,10,10.3,20,0.5,1.2,15.6,15.6,,0,0,2,6,14,0,14,288,213,141,49,371,371,
SN101LR,SN10 1LR,SN,68.3,58.7,78.11,,19.7,67.8,67.8,,17.8,14.5,20,,6.3,16.4,16.4,,0,0,0,3,13,0,13,452,182,,54,544,544,
SN101LU,SN10 1LU,SN,78.1,63.8,80,,,63.8,63.8,,19.7,15.7,20,,,15.7,15.7,,0,0,0,0,9,0,9,419,370,,,419,419,
SN101LW,SN10 1LW,SN,19.4,39.5,78.5,,16.8,69.7,69.7,,1.2,9.2,20,,1,20,20,,0,0,0,4,3,0,3,221,232,,230,209,209,
SN101LX,SN10 1LX,SN,41.5,40.7,58.74,,15,46.3,46.3,,10.6,8.8,17.46,,1,10.6,10.6,,0,0,0,2,9,0,9,443,389,,328,469,469,
SN101LY,SN10 1LY,SN,40,45.7,79.74,8,17.6,63.6,63.6,,10,10.8,20,1,1.2,16.6,16.6,,0,0,1,5,10,0,10,489,259,0,414,526,526,
SN101LZ,SN10 1LZ,SN,73.7,60.6,80,,22,66.1,66.1,,19.5,14.9,20,,1,16.9,16.9,,0,0,0,2,14,0,14,743,513,,400,792,792,
SN101NA,SN10 1NA,SN,71.7,61.1,79.98,,21,67.7,67.7,,17.4,14.4,20,,1,16.7,16.7,,0,0,0,1,6,0,6,234,94,,146,249,249,
SN101NB,SN10 1NB,SN,54.8,52.7,79.98,,22.5,61.4,61.4,,14.6,13.9,20,,8,15.6,15.6,,0,0,0,2,7,0,7,251,197,,114,291,291,
SN101NE,SN10 1NE,SN,54.8,51.6,79.98,,20.5,69.3,69.3,,13.5,10.9,20,,1,16.4,16.4,,0,0,0,4,7,0,7,327,215,,32,449,449,
SN101NJ,SN10 1NJ,SN,39.8,39,80,8,20,56.3,56.3,,9.1,8.2,20,1,3.5,12.3,12.3,,0,0,1,2,4,0,4,164,33,0,172,161,161,
SN101NN,SN10 1NN,SN,55.2,50.8,79.76,,23,58.4,58.4,,11.8,11.5,20,,3.3,13.7,13.7,,0,0,0,3,11,0,11,198,96,,52,220,220,
SN101NP,SN10 1NP,SN,39.9,47.6,79.66,,22.7,58.3,58.3,,10,10.1,19.98,,1,14,14,,0,0,0,3,7,0,7,162,142,,66,203,203,
SN101NQ,SN10 1NQ,SN,57.3,50.2,79.74,8,20,59.5,59.5,,15.5,12.8,20,1,1,16,16,,0,0,1,2,11,0,11,178,121,6,87,210,210,
SN101NT,SN10 1NT,SN,73.6,69.4,79.74,,,69.3,69.3,,20,18.3,20,,,18.3,18.3,,0,0,0,0,6,0,6,257,117,,,257,257,
SN101NU,SN10 1NU,SN,47.4,49.4,76.33,,15,56.2,56.2,,10,10.6,19.31,,1,12.4,12.4,,0,0,0,1,5,0,5,457,401,,24,544,544,
SN101NW,SN10 1NW,SN,64.3,60.5,79.22,,,60.5,60.5,,12.5,13,17.83,,,13,13,,0,0,0,0,6,0,6,281,240,,,281,281,
SN101PA,SN10 1PA,SN,54,49.3,79.91,,20,54.6,54.6,,10,10.5,20,,3.5,11.8,11.8,,0,0,0,2,11,0,11,71,15,,23,80,80,
SN101PD,SN10 1PD,SN,21.6,36.3,73.97,,19.3,70.5,70.5,,1.2,7.2,20,,1,19.5,19.5,,0,0,0,4,2,0,2,425,423,,328,619,619,
SN101PH,SN10 1PH,SN,48.8,45.1,70.07,,16.5,53.3,53.3,,10,11,20,,1,13.7,13.7,,0,0,0,2,7,0,7,401,355,,362,412,412,
SN101PJ,SN10 1PJ,SN,54.8,44.2,78.12,10,16.3,57.3,57.3,,10,10.2,20,1,2,13.9,13.9,,0,0,1,3,9,0,9,331,214,933,250,292,292,
SN101PL,SN10 1PL,SN,39.9,42.8,77.33,7,18,63,63,,10,10.3,20,1,1,16.7,16.7,,0,0,1,1,3,0,3,423,235,42,286,596,596,
SN101PR,SN10 1PR,SN,49.9,42.5,79.98,5,15.3,60.8,60.8,,13.4,11.2,20,1,1.9,17.2,17.2,,0,1,1,10,19,0,19,474,320,87,226,646,646,
SN101PS,SN10 1PS,SN,55.4,49.7,79.67,4,14.6,61.3,61.3,,18.8,13.2,20,1,1,17.1,17.1,,0,1,0,5,19,0,19,237,116,567,133,247,247,
SN101PT,SN10 1PT,SN,40,33.9,61.97,5,13.5,45.9,45.9,,8.5,7.9,19.53,1,2,11.3,11.3,,0,1,0,11,21,0,21,353,183,27,204,446,446,
SN101PY,SN10 1PY,SN,31.6,26.5,41.15,8,17.3,36.2,36.2,,4.8,4.4,9.04,1,2.8,6.1,6.1,,0,0,3,13,18,0,18,266,166,55,154,367,367,
SN101PZ,SN10 1PZ,SN,47.1,41.8,76.06,5,14,57.8,57.8,,14.1,11.7,20,1,1,17,17,,0,0,1,1,4,0,4,110,19,8,2,162,162,
SN101QA,SN10 1QA,SN,39.4,30.6,45.96,6,12.5,42.8,42.8,,10.4,9.3,20,0,1,14.4,14.4,,0,0,1,2,5,0,5,300,237,33,111,429,429,
SN101QE,SN10 1QE,SN,43.2,45.6,72.62,,,45.6,45.6,,9.8,10.7,19.53,,,10.6,10.6,,0,0,0,0,8,0,8,675,487,,,675,675,
SN101QF,SN10 1QF,SN,39.1,37.4,43.87,,29,39.5,39.5,,6.1,6.2,8.29,,5,6.5,6.5,,0,0,0,1,4,0,4,499,269,,269,556,556,
SN101QG,SN10 1QG,SN,50.2,44.7,72.49,,20.3,52,52,,10,11.4,20,,4,13.6,13.6,,0,0,0,3,10,0,10,387,242,,929,224,224,
SN101QJ,SN10 1QJ,SN,28.8,94,1000,6,19.4,87.1,180.3,553.3,6,14.4,115,1,4.1,15.2,26.5,71.7,0,0,2,15,12,3,15,581,471,41,352,809,843,981
SN101QQ,SN10 1QQ,SN,38.1,31.5,71.18,7.8,13,47.6,47.6,,6.8,7.4,20,1,1,12.5,12.5,,0,0,4,7,14,0,14,484,315,150,263,691,691,
SN101QS,SN10 1QS,SN,16.4,41.4,330,6.5,15,69.7,85.9,330,2.7,7.3,50,0.8,2.1,13.9,16.1,50,0,2,4,19,15,1,16,553,359,107,561,669,677,802
