postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
SO140AA,SO14 0AA,SO,23.2,49.2,205,7.5,21,93.3,93.3,,1.3,6.4,21,0.5,1.1,14.1,14.1,,0,0,2,8,7,0,7,227,217,5,183,308,308,
SO140AE,SO14 0AE,SO,78.1,86,205,,17.3,106.6,106.6,,19.5,14.2,29.97,,1,18.1,18.1,,0,0,0,3,10,0,10,411,370,,294,447,447,
SO140AF,SO14 0AF,SO,360,360,360,,,,360,360,180,180,180,,,,180,180,0,0,0,0,0,31,31,,,,,,0,0
SO140AH,SO14 0AH,SO,54.8,55.1,107,8,13.5,71.3,71.3,,10,9.9,20,0,1,13.4,13.4,,0,0,1,2,8,0,8,514,507,0,334,431,431,
SO140AN,SO14 0AN,SO,67,100.5,331,,20.3,111.8,136.1,331,10,16.8,49.98,,6.5,19.5,21.3,36,0,0,0,4,8,1,9,543,280,,217,488,567,1204
SO140AP,SO14 0AP,SO,37.1,63.9,205,,13.3,78.4,78.4,,5.3,6.6,21,,1,8.2,8.2,,0,0,0,4,14,0,14,574,393,,49,683,683,
SO140AQ,SO14 0AQ,SO,32.7,56.8,205,8,22.4,76.8,76.8,,4.3,5.5,21,1,1.2,7.9,7.9,,0,0,1,5,11,0,11,559,548,108,522,617,617,
SO140AR,SO14 0AR,SO,35,30.2,43.25,4,17,38.2,38.2,,5,4.9,7.02,3,5,5.2,5.2,,0,1,0,1,5,0,5,680,486,226,461,815,815,
SO140AT,SO14 0AT,SO,60.9,67.2,205,6,14.3,82.4,82.4,,10,12.2,21,1,1,15.3,15.3,,0,0,1,4,18,0,18,551,375,72,219,651,651,
SO140AU,SO14 0AU,SO,65.3,89.9,331,7,16.3,108.9,126,331,10,12.9,36,0.7,3,16.6,18.1,36,0,1,2,3,12,1,13,574,563,256,121,718,663,0
SO140AW,SO14 0AW,SO,62.1,65.1,107,,16,67.9,67.9,,17.7,14.2,20,,1,14.9,14.9,,0,0,0,1,18,0,18,620,508,,355,635,635,
SO140AX,SO14 0AX,SO,78.1,107.9,331,,14.3,117.5,148,331,19.5,15.8,36,,1,19.8,22.1,36,0,0,0,3,6,1,7,519,539,,451,544,547,566
SO140AY,SO14 0AY,SO,23.3,21,23.7,8.5,22.4,,,,1.2,1.2,1.29,1,1.2,,,,0,0,2,19,0,0,0,168,41,183,113,,,
SO140AZ,SO14 0AZ,SO,33.4,38.9,107,6,17,50.8,50.8,,4.4,5.7,18.81,1,1.3,7.8,7.8,,0,1,1,3,11,0,11,597,382,77,525,711,711,
