postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
SP101AL,SP10 1AL,SP,73.7,52.3,80,3.7,18.7,67.8,67.8,,19,12.5,20,0.3,0.9,17.3,17.3,,1,1,1,9,29,0,29,66,36,7,63,73,73,
SP101BE,SP10 1BE,SP,22.3,40.7,205,8,20.4,130,130,,1.2,4.2,21,0.5,1.1,17,17,,0,0,2,10,3,0,3,319,202,0,272,370,370,
SP101BG,SP10 1BG,SP,23.4,56.9,107,,23.3,107,107,,1.1,4.6,10,,1,10,10,,0,0,0,3,2,0,2,524,225,,112,1142,1142,
SP101BH,SP10 1BH,SP,24.4,63.2,205,,22.7,124,124,,1.2,6.7,21,,1.2,15.3,15.3,,0,0,0,6,4,0,4,356,34,,309,337,337,
SP101BX,SP10 1BX,SP,38.2,46.5,107,8,21.5,61.2,61.2,,7.1,6.4,10,1,4,8.2,8.2,,0,0,1,2,6,0,6,386,375,0,642,300,300,
SP101DB,SP10 1DB,SP,40,43.6,78.08,,17.8,60.7,60.7,,10,9.8,20,,1,15.7,15.7,,0,0,0,4,6,0,6,426,112,,549,344,344,
SP101DE,SP10 1DE,SP,73.2,73.9,205,,,73.9,73.9,,19.5,16.7,21,,,16.6,16.6,,0,0,0,0,14,0,14,731,621,,,732,732,
SP101DF,SP10 1DF,SP,75.7,100,331,10,,84.3,109,331,19.5,16.9,36,1,,16.6,18.5,36,0,0,1,0,9,1,10,553,394,6,,566,608,990
SP101DG,SP10 1DG,SP,93.2,108.5,205,,,108.5,108.5,,15,15.2,21,,,15.3,15.3,,0,0,0,0,8,0,8,414,315,,,311,311,
SP101DL,SP10 1DL,SP,63.8,55.7,78.12,,12.5,63.5,63.5,,12.4,12.4,19.53,,1,14.5,14.5,,0,0,0,2,11,0,11,1023,753,,24,1205,1205,
