postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
SR11BA,SR1 1BA,SR,77,61.7,79.91,,23,70.6,70.6,,19.5,14.5,20,,1.3,17.5,17.5,,0,0,0,3,13,0,13,903,601,,349,1031,1031,
SR11BH,SR1 1BH,SR,76.4,64.1,79.67,,20.7,70.9,70.9,,19.5,15.5,20,,1.3,17.8,17.8,,0,0,0,3,19,0,19,557,452,,293,599,599,
SR11BL,SR1 1BL,SR,45.6,51.8,79.67,,22,57.8,57.8,,10,11.8,20,,1,14,14,,0,0,0,1,5,0,5,288,252,,0,288,288,
SR11BU,SR1 1BU,SR,40,47.7,80,8,23.5,69.8,69.8,,10,10.4,20,0,1,17.5,17.5,,0,0,1,2,4,0,4,145,54,6,256,89,89,
SR11EA,SR1 1EA,SR,75,59.2,80,8,21.8,71.7,71.7,,19.5,13.8,20,1,0.8,17.9,17.9,,0,0,1,6,22,0,22,351,205,12,117,415,415,
SR11EE,SR1 1EE,SR,78.1,64.9,79.99,,18.5,72.1,72.1,,19.5,14.7,20,,3,16.5,16.5,,0,0,0,2,13,0,13,516,236,,134,575,575,
SR11ER,SR1 1ER,SR,61.1,61.2,79.98,,17,65.7,65.7,,17,15.3,20,,1,16.8,16.8,,0,0,0,1,10,0,10,961,404,,404,1016,1016,
SR11EY,SR1 1EY,SR,73.3,65.4,79.98,,28,69.6,69.6,,19.5,15.7,20,,0,17.3,17.3,,0,0,0,1,9,0,9,497,376,,186,531,531,
SR11JE,SR1 1JE,SR,23.4,21.6,23.44,,21.6,,,,1.3,1.1,1.28,,1.1,,,,0,0,0,9,0,0,0,290,136,,226,,,
SR11LB,SR1 1LB,SR,40,42.3,67.93,,20,46,46,,8.3,8,16.42,,1,9.2,9.2,,0,0,0,1,6,0,6,341,355,,327,343,343,
