postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
SS00AA,SS0 0AA,SS,73.7,67.4,158.39,7,13,76.4,76.4,,19.5,16.4,29.99,0.7,1,18.8,18.8,,0,0,3,1,26,0,26,748,616,243,150,829,829,
SS00AB,SS0 0AB,SS,79.2,133.6,593,5,,95,144.3,391.3,19.8,18.4,48.78,1,,15.8,19.8,40,0,1,1,0,20,4,24,375,342,16,,374,404,556
SS00AD,SS0 0AD,SS,93.3,175.4,593,8,,96,186.5,548.7,19.5,19.4,39,1,,16.3,20.6,38,0,0,1,0,12,3,15,470,458,623,,436,397,244
SS00AE,SS0 0AE,SS,71.9,102.5,331,4,29,76.1,127.1,331,17.3,15.9,36,1,10,15.1,19.3,36,0,2,1,1,12,3,15,642,348,17,368,749,742,716
SS00AF,SS0 0AF,SS,57.2,84.1,205,,25,86.5,86.5,,10,13.3,21,,7,13.5,13.5,,0,0,0,1,25,0,25,272,153,,29,282,282,
SS00AG,SS0 0AG,SS,39.1,96.8,460,,27.5,68.6,112.1,460,8,11.1,36,,5,9.5,12.4,36,0,0,0,2,8,1,9,404,163,,34,416,487,1052
SS00AH,SS0 0AH,SS,107,191.8,593,3,24,118.9,204.5,461.3,20,20.6,48.34,1,1,16.4,22,39,0,1,0,1,21,7,28,422,308,1,572,420,401,345
SS00AJ,SS0 0AJ,SS,78.1,85.6,205,2,,92.6,92.6,,14.5,15.2,29.99,1,,16.4,16.4,,1,0,0,0,12,0,12,344,187,9,,372,372,
SS00AL,SS0 0AL,SS,61.6,80.3,331,7,24,77,89.1,331,10,12.2,36,1,6,12.2,13.3,36,0,0,1,2,20,1,21,586,472,88,1384,495,478,139
SS00AN,SS0 0AN,SS,181.7,209.5,593,,,122.5,209.6,435.8,21,24.5,42.31,,,19.5,24.4,37.2,0,0,0,0,13,5,18,697,512,,,537,619,833
