postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
ST101AA,ST10 1AA,ST,54.8,50.8,79.76,,19.8,66.3,66.3,,10,11.1,20,,1.2,16.2,16.2,,0,0,0,5,10,0,10,507,226,,268,576,576,
ST101AE,ST10 1AE,ST,51.8,47.1,73.69,,19.5,56.2,56.2,,10,9.7,20,,1,12.5,12.5,,0,0,0,2,6,0,6,409,211,,0,409,409,
ST101AF,ST10 1AF,ST,24.4,40.1,77.88,10,21.3,63.8,63.8,,1.2,8.1,20,1,1.2,16.3,16.3,,0,0,1,6,6,0,6,477,70,0,42,991,991,
ST101AJ,ST10 1AJ,ST,61.7,52.4,79.76,,19.4,70.7,70.7,,16.1,11.8,20,,1.6,17.6,17.6,,0,0,0,5,9,0,9,331,199,,201,403,403,
ST101AN,ST10 1AN,ST,59.6,49.5,79.74,,18.8,61.8,61.8,,12.1,12,20,,1.3,16.3,16.3,,0,0,0,4,10,0,10,215,158,,16,252,252,
ST101AP,ST10 1AP,ST,36,30.3,41.22,,18,38.7,38.7,,6.7,6,9.08,,3.5,7.7,7.7,,0,0,0,2,3,0,3,597,582,,716,518,518,
ST101AT,ST10 1AT,ST,22.2,21.6,35.85,8,19.6,32,32,,4,3.2,5.42,1,2.9,4.8,4.8,,0,0,1,14,4,0,4,242,76,52,202,430,430,
ST101AX,ST10 1AX,ST,40,50.4,79.98,,16,54.6,54.6,,10,11.2,20,,1,12.4,12.4,,0,0,0,1,8,0,8,78,36,,4,88,88,
ST101BD,ST10 1BD,ST,53.1,44.1,61.11,,21,55.5,55.5,,8.4,7.8,12.85,,2,10.5,10.5,,0,0,0,2,4,0,4,170,64,,9,250,250,
ST101BE,ST10 1BE,ST,40,38,54.83,,13.7,45.3,45.3,,10,9.9,19.53,,1,12.5,12.5,,0,0,0,3,10,0,10,400,220,,133,440,440,
