postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
SY100AD,SY10 0AD,SY,14.3,15.8,25.79,8,17.2,,,,1,1,1.45,0,1,,,,0,0,1,6,0,0,0,390,292,14,453,,,
SY100AJ,SY10 0AJ,SY,46.8,43.8,79.67,6,,53.3,53.3,,10,8.5,20,0,,10.5,10.5,,0,0,1,0,4,0,4,164,123,95,,182,182,
SY100AN,SY10 0AN,SY,20.9,22.6,40.69,7.3,18,37.6,37.6,,6.2,5.3,10,0.8,4.3,9.4,9.4,,0,0,4,3,5,0,5,302,239,157,344,394,394,
SY100AP,SY10 0AP,SY,3.7,4.1,5.76,4.2,,,,,0.8,0.7,1.03,0.8,,,,,0,3,2,0,0,0,0,65,46,65,,,,
SY100AR,SY10 0AR,SY,1.6,1.5,2.53,1.6,,,,,0.4,0.5,0.76,0.4,,,,,4,1,0,0,0,0,0,90,115,90,,,,
SY100AS,SY10 0AS,SY,2.2,2.3,3.31,2.3,,,,,0.8,0.8,1.04,0.8,,,,,3,3,0,0,0,0,0,59,68,50,,,,
SY100AT,SY10 0AT,SY,8.7,23.4,66.38,8.5,,53,53,,1.2,5.5,18.37,1,,14,14,,0,0,4,0,2,0,2,298,268,130,,484,484,
SY100AU,SY10 0AU,SY,5.6,5.2,6.34,5.1,,,,,0.7,0.6,0.81,0.6,,,,,0,3,4,0,0,0,0,311,272,266,,,,
SY100AW,SY10 0AW,SY,3.6,5.9,18.5,3.4,19,,,,0.9,0.8,1.14,0.8,1,,,,0,5,0,1,0,0,0,143,117,170,4,,,
SY100AY,SY10 0AY,SY,7.5,8.7,12.12,6.3,12,,,,0.8,0.9,0.92,1,1,,,,0,1,2,2,0,0,0,261,183,349,130,,,
