postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
TA100AD,TA10 0AD,TA,32.8,31.1,51.14,1,22.3,38.3,38.3,,8.6,7.1,10.38,0,4.3,9.2,9.2,,1,0,0,4,9,0,9,278,122,2,275,310,310,
TA100AF,TA10 0AF,TA,49,51.4,78.12,,,51.4,51.4,,10,12.3,20,,,12.2,12.2,,0,0,0,0,21,0,21,505,251,,,505,505,
TA100AG,TA10 0AG,TA,55,95.7,330,,,72.3,95.7,330,10,18.2,50,,,15,18.2,50,0,0,0,0,20,2,22,371,259,,,326,371,823
TA100AL,TA10 0AL,TA,45.1,47.4,73.69,,27,52.8,52.8,,11.4,13.2,20,,7,14.8,14.8,,0,0,0,1,4,0,4,411,332,,332,431,431,
TA100AN,TA10 0AN,TA,46.1,45.3,54.78,,,45.4,45.4,,9.9,9,11.35,,,9,9,,0,0,0,0,8,0,8,395,390,,,395,395,
TA100AP,TA10 0AP,TA,56.5,54.7,76.7,1,,57.7,57.7,,10.3,12.8,20,1,,13.4,13.4,,1,0,0,0,18,0,18,197,131,12,,207,207,
TA100AR,TA10 0AR,TA,64.1,57.8,78.98,4.5,,65.5,65.5,,17.7,14.9,20,0.5,,16.9,16.9,,0,2,0,0,14,0,14,206,110,97,,222,222,
TA100AS,TA10 0AS,TA,66.7,62.1,76.64,,,62.1,62.1,,15.7,16,20,,,16,16,,0,0,0,0,10,0,10,376,365,,,376,376,
TA100AT,TA10 0AT,TA,63,55.8,79.67,4,24,64.2,64.2,,19.5,14.9,20,0,10,16.9,16.9,,0,1,0,1,10,0,10,245,182,24,333,259,259,
TA100AU,TA10 0AU,TA,76.3,70.2,79.91,,,70.2,70.2,,19.8,17.5,20,,,17.4,17.4,,0,0,0,0,16,0,16,205,229,,,205,205,
TA100AW,TA10 0AW,TA,57.8,54.5,71.18,,,54.6,54.6,,20,16.2,20,,,16.2,16.2,,0,0,0,0,5,0,5,93,76,,,93,93,
TA100AX,TA10 0AX,TA,10.7,11.1,13.69,9,12.3,,,,0.9,1,1.11,1,1,,,,0,0,2,3,0,0,0,132,78,42,193,,,
TA100BA,TA10 0BA,TA,66.7,56.1,78.12,5,,69,69,,15,13.1,19.98,1,,16,16,,0,1,0,0,4,0,4,355,360,0,,444,444,
TA100BB,TA10 0BB,TA,69,64.4,76.33,,,64.4,64.4,,20,15.7,20,,,15.7,15.7,,0,0,0,0,7,0,7,387,211,,,387,387,
TA100BH,TA10 0BH,TA,39.5,48,79.67,6.5,22,54,54,,10,11,20,1,4.7,12.4,12.4,,0,0,2,3,27,0,27,506,295,22,340,561,561,
TA100BJ,TA10 0BJ,TA,79.2,68.7,79.67,,,68.7,68.7,,20,16.7,20,,,16.7,16.7,,0,0,0,0,6,0,6,94,69,,,94,94,
TA100BN,TA10 0BN,TA,78.1,60.9,79.91,,15.3,70,70,,19.5,15,20,,2.7,17.5,17.5,,0,0,0,3,15,0,15,526,206,,13,628,628,
TA100BP,TA10 0BP,TA,79.7,72.9,79.67,,,72.8,72.8,,20,15,20,,,15,15,,0,0,0,0,6,0,6,197,132,,,164,164,
TA100BW,TA10 0BW,TA,48.1,45.1,79.66,8,,63.8,63.8,,9.2,9.9,19.98,0.5,,14.5,14.5,,0,0,2,0,4,0,4,258,232,26,,374,374,
TA100DD,TA10 0DD,TA,5.5,7.7,24.89,5.8,25,,,,0.8,1.1,3.69,0.8,4,,,,0,5,4,1,0,0,0,216,171,211,258,,,
TA100DH,TA10 0DH,TA,54.8,46.9,73.05,3,,57.8,57.8,,18.5,14.9,20,1,,18.5,18.5,,0,1,0,0,4,0,4,574,529,68,,700,700,
TA100DJ,TA10 0DJ,TA,22,21.4,35.87,6,22,35.5,35.5,,2.9,2.9,6.33,0.5,3,5.5,5.5,,0,1,1,4,2,0,2,143,99,70,151,199,199,
TA100DL,TA10 0DL,TA,76.3,66.3,79.91,4,,70.7,70.7,,19.5,16.4,20,1,,17.5,17.5,,0,1,0,0,14,0,14,203,174,147,,207,207,
TA100DN,TA10 0DN,TA,53.4,50.7,79.67,3.5,,62.5,62.5,,13.9,12.9,20,1,,15.9,15.9,,1,0,1,0,8,0,8,250,128,6,,311,311,
TA100DR,TA10 0DR,TA,15,14.2,21.6,4,15.8,,,,1.1,1,1.68,0.5,1.2,,,,0,1,1,13,0,0,0,383,196,76,430,,,
TA100DT,TA10 0DT,TA,12.5,13,19.79,7,13.6,,,,1.2,1.1,1.22,1,1.1,,,,0,0,1,9,0,0,0,171,136,54,184,,,
TA100DW,TA10 0DW,TA,24.5,24.3,37.62,8,22.1,36.3,36.3,,4.4,4.8,8.65,3,4.1,7.7,7.7,,0,0,1,9,3,0,3,413,386,461,441,314,314,
TA100DZ,TA10 0DZ,TA,79.7,77.5,80,,,77.5,77.5,,20,19.1,20,,,19.2,19.2,,0,0,0,0,12,0,12,277,196,,,277,277,
TA100EA,TA10 0EA,TA,40,42.4,61.54,4,,48.8,48.8,,10,10.2,20,1,,11.7,11.7,,0,1,0,0,6,0,6,169,109,60,,188,188,
TA100EB,TA10 0EB,TA,62.6,59.7,79.67,,,59.7,59.7,,17.7,15.4,20,,,15.4,15.4,,0,0,0,0,10,0,10,630,365,,,630,630,
TA100ED,TA10 0ED,TA,54.8,49.5,75.53,4,,53.3,53.3,,14.2,13.2,20,1,,14.3,14.3,,0,1,0,0,12,0,12,201,87,87,,211,211,
TA100EE,TA10 0EE,TA,65,62.4,79.67,,,62.4,62.4,,16.8,15.7,20,,,15.8,15.8,,0,0,0,0,8,0,8,538,333,,,538,538,
TA100EF,TA10 0EF,TA,39.8,41.5,79.67,6.4,,63.8,63.8,,10,9.7,20,0.6,,15.5,15.5,,0,0,7,0,11,0,11,330,307,171,,431,431,
TA100EG,TA10 0EG,TA,78.1,70.2,80,,,70.2,70.2,,20,17.7,20,,,17.7,17.7,,0,0,0,0,9,0,9,434,364,,,434,434,
TA100EH,TA10 0EH,TA,78.1,61,79.75,5,,66.5,66.5,,19.5,13.7,20,1,,15,15,,0,0,1,0,10,0,10,233,127,170,,239,239,
TA100EJ,TA10 0EJ,TA,74.3,60.8,78.12,6,,71.8,71.8,,19.5,17.7,19.98,9,,19.6,19.6,,0,0,1,0,5,0,5,729,523,327,,809,809,
TA100EL,TA10 0EL,TA,60.1,55.9,79.91,5,,64.1,64.1,,12.6,13,20,0.8,,15,15,,0,2,3,0,31,0,31,302,144,119,,331,331,
TA100EN,TA10 0EN,TA,45.9,57.7,79.67,,,57.7,57.7,,10,13.7,20,,,13.7,13.7,,0,0,0,0,7,0,7,309,201,,,309,309,
TA100EP,TA10 0EP,TA,39.8,43.7,79.66,6.5,,54.3,54.3,,10,10.8,20,1,,13.7,13.7,,0,1,1,0,7,0,7,202,77,29,,252,252,
TA100ER,TA10 0ER,TA,59.3,61.1,78.12,,,61.1,61.1,,13.1,14.3,20,,,14.3,14.3,,0,0,0,0,14,0,14,740,431,,,740,740,
TA100EW,TA10 0EW,TA,52.5,47.3,78.84,5.8,23,61,61,,10,11.7,20,1,10,15.1,15.1,,0,2,4,1,20,0,20,296,103,27,105,386,386,
TA100EY,TA10 0EY,TA,49.2,52.2,80,6,18,59.3,59.3,,10.3,13,20,1,16,14.2,14.2,,0,0,2,1,18,0,18,377,207,11,0,418,418,
TA100EZ,TA10 0EZ,TA,49,48.5,76.56,2,,54.3,54.3,,10,10.5,19.45,1,,11.7,11.7,,1,1,0,0,16,0,16,293,147,7,,329,329,
TA100GZ,TA10 0GZ,TA,77.5,59.4,80,,28,62,62,,19,14.8,20,,5,15.7,15.7,,0,0,0,1,12,0,12,849,545,,522,877,877,
TA100HB,TA10 0HB,TA,38.2,31.8,53.71,3.5,27,42,42,,7.6,6.3,9.77,1,8,7.8,7.8,,0,2,0,1,6,0,6,289,34,2,34,428,428,
TA100HF,TA10 0HF,TA,39.9,40.8,62.89,4,,50,50,,7.9,7.1,10.59,1,,8.5,8.5,,0,1,0,0,4,0,4,87,64,3,,109,109,
TA100HG,TA10 0HG,TA,60,50.5,77.11,,24,57,57,,10.1,11,20,,5,12.5,12.5,,0,0,0,1,4,0,4,281,246,,96,327,327,
TA100HH,TA10 0HH,TA,40,43.2,58.76,,,43.2,43.2,,8.5,7.5,13.16,,,7.5,7.5,,0,0,0,0,11,0,11,240,90,,,240,240,
TA100HL,TA10 0HL,TA,78.1,70.6,79.67,,,70.6,70.6,,19.5,17.2,20,,,17.2,17.2,,0,0,0,0,5,0,5,448,83,,,448,448,
TA100HN,TA10 0HN,TA,78.9,76.4,79.67,,,76.4,76.4,,20,18.9,20,,,18.9,18.9,,0,0,0,0,10,0,10,281,212,,,281,281,
TA100HP,TA10 0HP,TA,78.9,75.9,79.91,,,75.9,75.9,,11.4,12.4,20,,,12.4,12.4,,0,0,0,0,10,0,10,419,324,,,419,419,
TA100HQ,TA10 0HQ,TA,54.8,50,78.55,,24,60.4,60.4,,9.9,11.1,19.75,,9,12,12,,0,0,0,2,5,0,5,428,336,,272,490,490,
TA100HR,TA10 0HR,TA,52.4,52.7,80,4,23.5,58.4,58.4,,7.5,8.2,20,1,5.5,8.8,8.8,,0,1,0,2,19,0,19,786,406,248,551,839,839,
TA100HS,TA10 0HS,TA,69.3,64.1,80,,,64.2,64.2,,10.8,13.6,20,,,13.6,13.6,,0,0,0,0,20,0,20,636,510,,,636,636,
TA100HT,TA10 0HT,TA,54.8,60.5,79.67,,,60.6,60.6,,8.6,10.7,20,,,10.6,10.6,,0,0,0,0,5,0,5,556,652,,,556,556,
