postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
TD106UA,TD10 6UA,TD,42,44.4,60.97,,27,47.2,47.2,,10,10.7,16.79,,11,10.8,10.8,,0,0,0,1,6,0,6,253,317,,18,292,292,
TD106UD,TD10 6UD,TD,45.3,42,66.64,9,22,55,55,,9.5,9.1,18.69,1,1,13,13,,0,0,1,1,4,0,4,555,543,7,280,761,761,
TD106UF,TD10 6UF,TD,29.7,28.2,48.8,9,22.6,35.2,35.2,,6.1,5.5,8.5,4,4.6,6.5,6.5,,0,0,1,9,10,0,10,378,227,153,311,461,461,
TD106UH,TD10 6UH,TD,7.3,7.9,13.45,6.8,13,,,,1.2,1.2,1.22,1.2,1,,,,0,0,5,1,0,0,0,356,247,289,690,,,
TD106UL,TD10 6UL,TD,6.7,12.5,31.83,5.2,21.5,32,32,,0.8,2,6.96,0.7,3.7,5,5,,1,3,6,6,1,0,1,322,175,101,667,147,147,
TD106UN,TD10 6UN,TD,3,7.2,25.52,2.5,26,,,,0.6,1.7,6.01,0.5,6,,,,1,3,0,1,0,0,0,128,124,82,311,,,
TD106UP,TD10 6UP,TD,11.7,9.8,14.61,5,13.5,,,,1.1,1.1,1.21,1,1.3,,,,1,0,2,4,0,0,0,392,185,387,297,,,
TD106UW,TD10 6UW,TD,5.5,36,160,4.1,10,120,120,,1,7.4,30,0.8,1,25,25,,2,9,4,1,6,0,6,198,66,86,710,358,358,
TD106XA,TD10 6XA,TD,54.8,48.8,78.12,4,25,57.1,57.1,,10,12,19.98,0,4,14.6,14.6,,0,1,0,3,14,0,14,557,120,0,52,705,705,
TD106XB,TD10 6XB,TD,38.2,36,57.06,,23,40.7,40.7,,7.5,6.5,11.61,,2.5,7.9,7.9,,0,0,0,4,11,0,11,422,220,,388,434,434,
TD106XD,TD10 6XD,TD,54.8,50.8,79.67,,,50.9,50.9,,10,12.8,20,,,12.7,12.7,,0,0,0,0,7,0,7,290,197,,,249,249,
TD106XE,TD10 6XE,TD,58.6,57.7,78.12,,22,61.5,61.5,,16.7,13.9,20,,1,15.3,15.3,,0,0,0,2,19,0,19,318,198,,329,300,300,
TD106XF,TD10 6XF,TD,78.1,71.9,79.67,,,71.9,71.9,,20,18.7,20,,,18.7,18.7,,0,0,0,0,9,0,9,204,57,,,204,204,
TD106XJ,TD10 6XJ,TD,41.6,44.7,61.83,,24,46.1,46.1,,10,8.7,15.5,,1,9.3,9.3,,0,0,0,1,14,0,14,371,246,,0,398,398,
TD106XL,TD10 6XL,TD,39.1,38.6,40.98,,,38.6,38.6,,7.2,7.6,8.84,,,7.6,7.6,,0,0,0,0,5,0,5,255,206,,,255,255,
