postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
TF107AA,TF10 7AA,TF,25.8,35,76.15,,19,51,51,,3.6,7.3,20,,1.3,13.3,13.3,,0,0,0,3,3,0,3,130,138,,165,95,95,
TF107AB,TF10 7AB,TF,78.9,68.5,107,8,23.7,78.3,78.3,,19.3,14.1,20,0,1,16.7,16.7,,0,0,1,3,20,0,20,228,57,19,22,258,258,
TF107AN,TF10 7AN,TF,77.6,59.9,107,,19.7,77.3,77.3,,13.5,12,20,,1,16.7,16.7,,0,0,0,3,7,0,7,271,23,,29,375,375,
TF107AP,TF10 7AP,TF,74,65.6,107,,18,70,70,,15,14.8,20,,7,15.5,15.5,,0,0,0,1,11,0,11,252,44,,0,252,252,
TF107AQ,TF10 7AQ,TF,21.8,35.6,79.98,8,19.5,73.5,73.5,,1.2,7.8,20,0.5,2.8,19,19,,0,0,2,6,4,0,4,123,66,9,77,249,249,
TF107AR,TF10 7AR,TF,79.8,79.8,107,,,79.8,79.8,,16.7,13.9,20,,,13.8,13.8,,0,0,0,0,6,0,6,102,86,,,85,85,
TF107AT,TF10 7AT,TF,55.3,49.5,79.99,8.5,21,74.3,74.3,,7.9,10.1,20,1,2,16.7,16.7,,0,0,2,5,9,0,9,100,68,3,91,128,128,
TF107AU,TF10 7AU,TF,77.4,67.2,107,8,20.5,77.4,77.4,,13.5,12.9,20,1,1,15.2,15.2,,0,0,1,2,15,0,15,245,138,10,240,229,229,
TF107AW,TF10 7AW,TF,56.8,56.5,107,,18.5,69.2,69.2,,6,8,20,,1,10.3,10.3,,0,0,0,2,6,0,6,86,50,,170,59,59,
TF107AX,TF10 7AX,TF,69.8,108.1,331,,16,75.3,126.4,331,13.6,16.2,36,,4,14.3,18.6,36,0,0,0,1,4,1,5,299,181,,258,123,307,1044
TF107AY,TF10 7AY,TF,72.4,66.6,107,,17,69.7,69.7,,12,13.6,20,,1,14.4,14.4,,0,0,0,1,16,0,16,260,69,,2,276,276,
TF107BF,TF10 7BF,TF,61.5,54.8,74.25,,17,63.2,63.2,,19.5,15.7,20,,1,19,19,,0,0,0,2,9,0,9,809,680,,137,959,959,
TF107BG,TF10 7BG,TF,107,123.7,205,,,123.7,123.7,,14.8,15.3,21,,,15.3,15.3,,0,0,0,0,6,0,6,277,238,,,231,231,
TF107BH,TF10 7BH,TF,75.5,63.1,79.75,,24,70.8,70.8,,19.5,15.7,20,,1,18.6,18.6,,0,0,0,1,5,0,5,422,305,,4,506,506,
TF107BN,TF10 7BN,TF,64.3,75.6,205,10,19,98.7,98.7,,10,10.6,29.99,0,1.1,14.5,14.5,,0,0,1,7,20,0,20,365,176,403,305,366,366,
TF107BP,TF10 7BP,TF,76.1,74.5,331,8,14,79,88.7,331,10,12.8,36,0,1,14.6,15.5,36,0,0,1,5,25,1,26,320,141,0,220,327,352,982
TF107BS,TF10 7BS,TF,59.8,64.9,156.22,,23,68.4,68.4,,19.2,15.3,29.32,,1,16.4,16.4,,0,0,0,1,12,0,12,634,540,,315,608,608,
TF107BT,TF10 7BT,TF,22.3,32.9,71.1,,21.2,47.5,47.5,,3.6,6.5,20,,1.6,12.5,12.5,,0,0,0,5,4,0,4,473,232,,283,711,711,
TF107BU,TF10 7BU,TF,76,63.9,79.98,,12,71.3,71.3,,19.5,15.3,20,,1,17.3,17.3,,0,0,0,1,7,0,7,298,260,,52,334,334,
TF107BX,TF10 7BX,TF,23.5,33.3,79.67,8,21.3,62,62,,2.4,6.7,20,0.5,3,14.7,14.7,,0,0,2,3,3,0,3,82,16,5,166,50,50,
TF107BY,TF10 7BY,TF,107,102.3,331,,21,81.3,112.5,331,10,12.3,36,,1,10.4,13.6,36,0,0,0,1,7,1,8,265,105,,44,320,293,105
TF107DA,TF10 7DA,TF,78.1,108.8,331,,17.5,85.1,122.9,331,10,14.9,36,,1,13.6,17.1,36,0,0,0,2,11,2,13,498,319,,127,533,479,180
TF107DB,TF10 7DB,TF,60.5,83.2,205,,23,98.3,98.3,,10,11.4,21,,1,14,14,,0,0,0,2,8,0,8,610,80,,453,650,650,
TF107DD,TF10 7DD,TF,79.8,88.4,205,,23.3,112.2,112.2,,10,12.5,29.98,,1.3,16.5,16.5,,0,0,0,4,11,0,11,249,172,,140,289,289,
TF107DE,TF10 7DE,TF,73.5,92,331,,21,90.6,102.7,331,18,15,36,,1,16.1,17.1,36,0,0,0,3,19,1,20,327,193,,90,365,347,0
TF107DF,TF10 7DF,TF,107,138.6,460,,23,105.7,144,374,10,15.4,36,,1,12.8,16.1,36,0,0,0,1,18,3,21,357,211,,129,338,368,545
TF107DG,TF10 7DG,TF,70.6,92.7,205,,21.2,109.7,109.7,,12.5,13.2,21,,1.2,16,16,,0,0,0,5,21,0,21,378,236,,377,361,361,
TF107DH,TF10 7DH,TF,66.3,90.4,460,,20,76.9,98.2,460,10,13.4,36,,1,13.5,14.7,36,0,0,0,2,17,1,18,191,51,,106,165,190,618
TF107DL,TF10 7DL,TF,79.7,96,331,8,23,117.2,145.7,331,10,10.3,36,1,1.2,13.3,16.3,36,0,0,1,9,13,2,15,513,413,974,662,270,256,167
TF107DN,TF10 7DN,TF,64.8,157.3,593,,23,90.4,215,526.5,17.9,16.5,39,,1,17.4,23.1,37.5,0,0,0,3,5,2,7,706,371,,1064,308,351,459
TF107DP,TF10 7DP,TF,79.8,141.9,593,,16.5,109.3,153.3,593,19.8,18.4,39,,1,18.1,20,39,0,0,0,2,20,2,22,428,287,,41,445,405,0
TF107DQ,TF10 7DQ,TF,73.8,89.9,331,,18.3,88.1,103.3,331,10,14.1,40.65,,1,15.2,16.5,36,0,0,0,3,15,1,16,196,120,,159,204,191,2
TF107DS,TF10 7DS,TF,107,120.3,331,5,,101.4,139.7,331,10,14.5,36,1,,12.8,16.7,36,0,1,0,0,5,1,6,385,270,0,,456,385,27
TF107DT,TF10 7DT,TF,72.6,68.3,107,,,68.4,68.4,,13.5,14.6,20,,,14.5,14.5,,0,0,0,0,8,0,8,310,294,,,311,311,
TF107DU,TF10 7DU,TF,107,151,331,,,128.5,151,331,20,20.9,36,,,19,20.9,36,0,0,0,0,8,1,9,583,571,,,651,583,35
TF107DX,TF10 7DX,TF,80,111.8,593,,14,95.9,122.1,593,10,14.1,39,,1,14.1,15.4,39,0,0,0,2,18,1,19,329,129,,44,363,359,279
TF107DY,TF10 7DY,TF,78.1,132.8,460,8,24,90.6,161.4,374,10,16.2,36,1,4.5,13.9,19.4,36,0,0,1,2,9,3,12,344,376,0,78,398,417,471
TF107DZ,TF10 7DZ,TF,61.5,131.3,593,,20,72.8,147.1,593,14.8,16.9,39,,1,15.8,19.1,39,0,0,0,1,6,1,7,301,104,,438,278,239,0
TF107EA,TF10 7EA,TF,65.3,121.4,593,,21.7,67.9,137.1,396.5,10,16,39,,1.3,13.5,18.4,36.8,0,0,0,3,15,4,19,371,234,,301,297,343,518
TF107EB,TF10 7EB,TF,78.1,74,159.88,,22.2,86.5,86.5,,17.8,14,30.04,,1.2,17,17,,0,0,0,6,25,0,25,421,280,,367,400,400,
TF107ED,TF10 7ED,TF,55.9,123.9,593,,18.7,91.1,148.2,462,14,15.2,39,,1,14.9,18.4,37.5,0,0,0,3,11,2,13,461,263,,444,503,429,25
TF107EE,TF10 7EE,TF,40,93.2,593,1,17.7,73.1,125.1,593,9.9,10.2,39,1,1.3,11,13.8,39,1,0,0,3,9,1,10,126,53,1,56,164,147,0
TF107EF,TF10 7EF,TF,67.5,90.4,331,,19.8,103.5,118.6,331,10,12,36,,2.1,14.5,16,36,0,0,0,12,28,2,30,447,167,,124,570,561,446
TF107EG,TF10 7EG,TF,52,105.9,593,,20,74.4,121.5,593,10,10.6,39,,1,9.7,12.4,39,0,0,0,2,10,1,11,357,134,,475,334,304,0
TF107EH,TF10 7EH,TF,79.9,144.7,460,,23,97.4,152.7,374,20,19.1,36,,1,16.3,20.3,36,0,0,0,1,12,3,15,241,174,,12,195,224,340
TF107EJ,TF10 7EJ,TF,79.8,118.1,593,,23.5,94.3,132.6,593,20,16.1,39,,1.5,16.7,18.4,39,0,0,0,2,12,1,13,505,259,,812,412,380,0
TF107EN,TF10 7EN,TF,79.7,93.8,205,,20,97.2,97.2,,19.2,16.5,29.33,,1,17.1,17.1,,0,0,0,1,22,0,22,277,231,,208,242,242,
TF107EQ,TF10 7EQ,TF,93.5,89.6,205,,19.8,107.1,107.1,,10,12.1,21,,1,14.8,14.8,,0,0,0,4,16,0,16,144,82,,185,134,134,
TF107ER,TF10 7ER,TF,58.1,71.8,205,7.5,17.3,98.6,98.6,,10,11.4,29.32,1,1.8,16.1,16.1,,0,0,2,6,17,0,17,193,102,107,368,119,119,
TF107ES,TF10 7ES,TF,92.6,166,593,,16,90.1,179.6,418.3,17.9,19.1,39,,1,14.6,20.7,37,0,0,0,1,8,3,11,397,410,,645,307,302,288
TF107ET,TF10 7ET,TF,107,172.9,593,,,102.8,172.9,593,10,15.7,39,,,11.8,15.7,39,0,0,0,0,6,1,7,388,89,,,453,389,2
TF107EU,TF10 7EU,TF,87.2,141.9,593,,22.5,111.6,171.8,593,16.8,16.5,39,,6,16.3,19.1,39,0,0,0,2,7,1,8,219,53,,8,248,217,0
TF107EZ,TF10 7EZ,TF,63.1,61.4,158.17,,20.5,68.2,68.2,,19.5,15.2,20,,1.5,17.6,17.6,,0,0,0,2,12,0,12,424,283,,34,489,489,
TF107FB,TF10 7FB,TF,76.5,74.1,158.5,,23,86.8,86.8,,19.5,17.7,30,,1,21.8,21.8,,0,0,0,1,4,0,4,131,36,,2,163,163,
