postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
TQ109AA,TQ10 9AA,TQ,21.2,38.2,79.91,,18.7,67.5,67.5,,1.1,6.6,19.98,,1,15,15,,0,0,0,3,2,0,2,130,139,,88,193,193,
TQ109AB,TQ10 9AB,TQ,47.4,50.1,80,,21.3,60.7,60.7,,10,11.1,20,,1,14.8,14.8,,0,0,0,7,19,0,19,309,210,,172,360,360,
TQ109AG,TQ10 9AG,TQ,47.4,46.9,77.86,,21,53.4,53.4,,10,10.1,20,,1,12.4,12.4,,0,0,0,2,8,0,8,221,109,,32,241,241,
TQ109AJ,TQ10 9AJ,TQ,45.9,52.7,74,,,52.7,52.7,,10,12.4,19.96,,,12.3,12.3,,0,0,0,0,6,0,6,225,163,,,225,225,
TQ109AW,TQ10 9AW,TQ,73.7,61.4,79.67,,,61.4,61.4,,19.1,15.3,20,,,15.2,15.2,,0,0,0,0,5,0,5,109,100,,,109,109,
TQ109AY,TQ10 9AY,TQ,49.8,47.6,77.83,,20.3,57.5,57.5,,10,11.3,20,,2.5,14.5,14.5,,0,0,0,4,11,0,11,254,135,,228,263,263,
TQ109AZ,TQ10 9AZ,TQ,66.3,62.7,79.67,,22,68.6,68.6,,15,13.8,20,,1,15.7,15.7,,0,0,0,1,7,0,7,286,113,,12,325,325,
TQ109BE,TQ10 9BE,TQ,39.9,41.5,80,8,21,54.5,54.5,,10,9.5,20,1,1,14,14,,0,0,2,5,13,0,13,274,137,20,370,276,276,
TQ109BH,TQ10 9BH,TQ,65.4,52.4,79.65,8,24,66.8,66.8,,19.5,12.9,19.86,0,1,17.8,17.8,,0,0,1,1,5,0,5,451,171,0,5,630,630,
TQ109BN,TQ10 9BN,TQ,49.6,51,80,,23.2,68.4,68.4,,10,11,20,,1.2,17.3,17.3,,0,0,0,5,8,0,8,369,167,,192,479,479,
