postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
TR108AB,TR10 8AB,TR,18.5,18.1,20.48,,18,,,,1.1,1.1,1.23,,1.2,,,,0,0,0,5,0,0,0,184,76,,147,,,
TR108AE,TR10 8AE,TR,80,198.1,1000,,20.3,80,316.7,553.3,20,27.9,115,,1,20,45.8,71.7,0,0,0,4,3,3,6,476,166,,150,125,693,1261
TR108AG,TR10 8AG,TR,23.3,60.4,330,8,21.8,94.2,133.5,330,1.3,9.4,50,1,1.1,19.6,24.7,50,0,0,1,10,5,1,6,519,381,7,402,881,800,395
TR108AJ,TR10 8AJ,TR,80,128.9,330,,20,98.3,156.3,330,20,22.2,50,,1,20,27.5,50,0,0,0,1,3,1,4,374,393,,533,264,334,545
TR108AN,TR10 8AN,TR,55,87.8,330,8,17.3,95.8,129.3,330,10,15.8,50,0,1.3,20,24.3,50,0,0,1,3,6,1,7,486,452,0,30,386,473,1000
TR108AQ,TR10 8AQ,TR,20.8,20.6,24.54,,20.7,,,,1.1,1,1.17,,1,,,,0,0,0,6,0,0,0,166,62,,166,,,
TR108AT,TR10 8AT,TR,21.5,36.8,80,9,21.5,80,80,,1.2,7.4,20,1,1,20,20,,0,0,2,2,2,0,2,251,69,4,571,54,54,
TR108AU,TR10 8AU,TR,19.4,21.3,39.83,,18.2,40,40,,1.1,2.3,10,,1,10,10,,0,0,0,6,1,0,1,111,92,,92,115,115,
TR108BE,TR10 8BE,TR,21.8,48.6,160,,18.9,96,96,,1.3,9.1,30,,1.1,22,22,,0,0,0,8,5,0,5,110,69,,92,73,73,
TR108BG,TR10 8BG,TR,14.3,32.1,330,9,16.4,55,192.5,330,1.1,3.9,50,1,1.1,10,30,50,0,0,5,13,1,1,2,454,212,30,424,1017,1260,1503
TR108BH,TR10 8BH,TR,18.3,37.9,330,5.5,17.6,83.8,133,330,1,5.4,50,0.8,1.1,17.5,24,50,0,2,2,17,4,1,5,525,294,113,413,623,1025,2635
TR108BJ,TR10 8BJ,TR,21.9,34.9,80,8,20.9,80,80,,1.2,6.1,20,1,1.1,20,20,,0,0,2,9,4,0,4,249,181,98,232,362,362,
TR108BL,TR10 8BL,TR,23.7,43.6,160,8,21.9,96,96,,1.3,5.9,30,1,1.1,15.8,15.8,,0,0,2,16,8,0,8,264,234,322,173,364,364,
TR108BP,TR10 8BP,TR,160,179.7,330,,23,107.5,218.8,330,30,28.2,50,,1,20,35,50,0,0,0,1,2,2,4,602,490,,258,480,688,897
TR108BS,TR10 8BS,TR,39.8,41.8,80,4,23.7,65,65,,9,8.6,20,8,1,14.3,14.3,,0,1,0,3,4,0,4,362,142,16,54,590,590,
TR108BU,TR10 8BU,TR,19.3,43.3,330,8,18.4,75.8,139.4,330,1.1,6.3,50,1,1,18.3,26.3,50,0,0,2,28,6,2,8,651,605,139,596,838,888,1038
TR108BW,TR10 8BW,TR,18.2,47.7,160,7.5,15.6,109.2,109.2,,1.1,8.3,30,1,1,21.7,21.7,,0,0,2,9,6,0,6,311,237,655,169,306,306,
TR108BZ,TR10 8BZ,TR,24.4,82.1,330,,22.8,98.3,156.3,330,1.3,12.9,50,,1.2,20,27.5,50,0,0,0,5,3,1,4,355,296,,165,333,504,1015
TR108DA,TR10 8DA,TR,22.2,29,80,1,21.3,80,80,,1,4.6,20,0,1,20,20,,1,0,0,3,1,0,1,39,39,0,52,0,0,
TR108DB,TR10 8DB,TR,21.2,57.1,330,,20.4,67.5,155,330,1.2,8.1,50,,1.1,15,26.7,50,0,0,0,8,2,1,3,341,286,,308,244,317,463
TR108DF,TR10 8DF,TR,55,58.6,160,,21.8,89.2,89.2,,10,11.4,30,,1.2,20,20,,0,0,0,5,6,0,6,203,155,,101,254,254,
TR108DH,TR10 8DH,TR,23.4,54.9,330,10,22,55,146.7,330,1.1,7.2,50,1,1.1,10,23.3,50,0,0,1,7,2,1,3,626,249,115,456,739,1191,2094
TR108DJ,TR10 8DJ,TR,55,104.8,330,5,23,90,150,330,10,17,50,1,1,16.7,25,50,0,0,1,1,3,1,4,410,365,11,1076,294,344,492
TR108DL,TR10 8DL,TR,23.4,42.1,80,,21.7,72.5,72.5,,1.3,8.6,20,,1.3,20,20,,0,0,0,3,2,0,2,310,343,,273,211,211,
TR108DT,TR10 8DT,TR,21.5,36.8,80,,19.6,80,80,,1.2,6.5,20,,1.2,20,20,,0,0,0,5,2,0,2,153,69,,190,60,60,
TR108DX,TR10 8DX,TR,55,85.5,330,,22.5,87.5,136,330,10,13.8,50,,1.3,17.5,24,50,0,0,0,4,4,1,5,379,206,,150,551,562,605
TR108DY,TR10 8DY,TR,23.4,62.5,330,7.5,21.5,93.6,117.2,330,1.3,10.4,50,0.5,1.1,19.4,22.5,50,0,0,2,24,18,2,20,661,393,30,551,854,823,549
TR108DZ,TR10 8DZ,TR,23,52,160,,21.6,90,90,,1.3,9.5,30,,1.2,20,20,,0,0,0,5,4,0,4,351,184,,430,252,252,
TR108EA,TR10 8EA,TR,22.5,46.9,330,,21.5,93.6,123.1,330,1.2,6.8,50,,1.1,20,23.8,50,0,0,0,24,7,1,8,330,129,,298,384,427,726
TR108EB,TR10 8EB,TR,22,94.6,1000,,20.6,78,539,1000,1.2,10.5,115,,1.1,20,67.5,115,0,0,0,12,1,1,2,377,287,,356,287,317,347
TR108ED,TR10 8ED,TR,19.4,27.9,80,6,17.2,74.7,74.7,,1.1,4.8,20,1,1.1,20,20,,0,0,1,11,3,0,3,583,427,450,536,798,798,
TR108EF,TR10 8EF,TR,17.1,16.1,20.19,8,17.8,,,,1.1,1,1.17,1,1,,,,0,0,1,5,0,0,0,140,57,101,148,,,
TR108EG,TR10 8EG,TR,38.3,45.7,80,,19.7,71.7,71.7,,5.6,8.9,20,,1.3,16.7,16.7,,0,0,0,3,3,0,3,245,179,,163,246,246,
TR108EH,TR10 8EH,TR,23,76.1,330,8,20,67.5,155,330,1.3,12,50,0,1,15,26.7,50,0,0,1,3,2,1,3,921,588,0,790,577,1053,2004
