postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
TS101AB,TS10 1AB,TS,78.9,69.5,107,,20,81.9,81.9,,19.8,15.1,20,,1,18.6,18.6,,0,0,0,2,8,0,8,271,152,,109,243,243,
TS101AG,TS10 1AG,TS,79.8,99.4,327.95,,,74,99.4,328,20,17,49.97,,,13.3,17,50,0,0,0,0,9,1,10,263,51,,,256,237,67
TS101AH,TS10 1AH,TS,75.5,70.8,107,5,,81.8,81.8,,10,12.6,20,1,,14.5,14.5,,0,1,0,0,6,0,6,315,339,1,,368,368,
TS101AN,TS10 1AN,TS,78.9,77.8,80,,,77.8,77.8,,19.8,19.8,20,,,19.8,19.8,,0,0,0,0,6,0,6,514,327,,,514,514,
TS101AQ,TS10 1AQ,TS,76.8,83.2,205,3,22,107.2,107.2,,10,12.1,21,4,4,15.1,15.1,,0,1,0,3,11,0,11,674,327,35,274,780,780,
TS101AT,TS10 1AT,TS,73.7,68.5,107,,19,79.4,79.4,,10,11.3,19.94,,1,13.6,13.6,,0,0,0,2,9,0,9,574,345,,102,679,679,
TS101AU,TS10 1AU,TS,58.2,57.5,107,9,19.5,67,67,,14.1,13.3,20,1,5.5,15.4,15.4,,0,0,1,2,13,0,13,335,306,0,108,319,319,
TS101AW,TS10 1AW,TS,70.9,113.8,593,,16.5,78.1,135.3,593,10,14.5,39,,1,14.9,17.6,39,0,0,0,2,8,1,9,355,250,,119,414,368,1
TS101AX,TS10 1AX,TS,92.6,147.7,593,,,84.9,147.8,462,16.5,17.6,39,,,13.7,17.7,37.5,0,0,0,0,10,2,12,837,678,,,789,767,656
TS101AY,TS10 1AY,TS,79.9,150.3,460,,23,89.9,160.9,374,18.6,18.7,36,,1,14.9,20.2,36,0,0,0,1,9,3,12,436,446,,564,449,425,355
