postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
TW105AA,TW10 5AA,TW,107,137.1,1096,5,23,107.1,154.2,1096,10,12.5,49,1,4,12.2,13.9,49,0,0,1,2,20,1,21,593,352,275,3,638,608,0
TW105AB,TW10 5AB,TW,40,72.4,205,,17.5,88,88,,10,9.5,21,,3,11.3,11.3,,0,0,0,6,21,0,21,407,329,,383,355,355,
TW105AE,TW10 5AE,TW,107,137.8,593,,17.4,104.7,161,593,10,14.3,39,,3.4,13.4,16.4,39,0,0,0,5,23,3,26,512,430,,436,528,467,0
TW105AH,TW10 5AH,TW,205,243.3,593,,,130,243.3,526.5,21,22.4,39,,,16.4,22.4,37.5,0,0,0,0,5,2,7,222,160,,,222,158,0
TW105AL,TW10 5AL,TW,70.7,233.8,1096,,,73,233.8,716.3,19.7,21.1,49,,,14.3,21.1,41.3,0,0,0,0,9,3,12,508,219,,,443,381,195
TW105AN,TW10 5AN,TW,52,74.6,205,,20.5,87.4,87.4,,10,9,21,,2.8,10.5,10.5,,0,0,0,4,17,0,17,285,211,,29,312,312,
TW105AP,TW10 5AP,TW,107,129.8,331,,,114.3,129.8,331,19.2,18,36,,,16.7,18.1,36,0,0,0,0,13,1,14,409,448,,,410,409,399
TW105AR,TW10 5AR,TW,60.8,121.7,460,,22.5,86.8,138.3,395.5,17.2,16.9,36,,4,15.6,19,36,0,0,0,2,10,2,12,250,147,,418,154,222,564
TW105AS,TW10 5AS,TW,92.9,138.6,593,,20,95.2,178.2,593,10,13.9,39,,1,14,18.2,39,0,0,0,2,5,1,6,79,64,,4,110,92,0
TW105AT,TW10 5AT,TW,73.6,77.4,205,,17.5,83.4,83.4,,12.2,13.7,21,,1,15,15,,0,0,0,2,20,0,20,389,342,,22,406,406,
TW105AU,TW10 5AU,TW,107,121.2,331,,18,94.8,128.6,331,14.9,16.4,36,,1,14.4,17.5,36,0,0,0,1,12,2,14,322,182,,29,330,320,257
TW105AW,TW10 5AW,TW,54.8,100.6,460,,19.5,70.7,107.1,374,10,12,36,,2,9.6,12.8,36,0,0,0,2,22,3,25,475,378,,115,454,485,719
TW105AY,TW10 5AY,TW,67,83.5,331,,17.5,95.2,104.6,331,10,13,36,,1.6,15.9,16.7,36,0,0,0,8,24,1,25,388,252,,72,413,396,5
TW105AZ,TW10 5AZ,TW,73.3,85.1,331,2,17.5,77.1,91.2,331,10,13.8,36,1,1,13.6,14.8,36,0,1,0,2,34,2,36,331,236,2,97,318,326,466
TW105BB,TW10 5BB,TW,75.3,99.8,593,,21.3,89.1,109.2,593,10,12.5,39,,4,12.5,13.6,39,0,0,0,3,24,1,25,436,114,,10,452,434,0
TW105BD,TW10 5BD,TW,92.6,167.9,593,,19,94.7,179.3,461.3,17.4,18.8,39,,1,15.2,20.2,37,0,0,0,1,10,3,13,410,364,,0,362,378,431
TW105BE,TW10 5BE,TW,54.8,55.6,107,,17.7,74.7,74.7,,8.3,8.7,19.53,,3.3,11.5,11.5,,0,0,0,3,6,0,6,291,74,,33,372,372,
TW105BG,TW10 5BG,TW,76.5,95.9,331,6,18,89.9,110,331,10,13.3,36,4,1,13.2,15.1,36,0,0,1,1,11,1,12,196,186,107,5,130,138,226
TW105BN,TW10 5BN,TW,107,182.2,1096,7,24.3,119.5,229.6,587.8,10,16,49,1,4.8,13.2,19.5,40,0,0,1,4,13,4,17,339,188,0,259,316,298,242
TW105BP,TW10 5BP,TW,156,268.5,1096,,18,112.2,283.2,693.6,18.5,20.5,49,,1,13.5,21.6,41,0,0,0,1,12,5,17,432,359,,7,443,355,144
TW105BS,TW10 5BS,TW,74.1,152.4,1096,10,19.7,92.4,175,587.8,10.5,15.8,49,7,5.7,12.9,17.5,40,0,0,1,3,20,4,24,314,151,259,228,318,314,294
TW105BW,TW10 5BW,TW,79.5,136,1096,5,22,85.7,161.6,522.3,9.5,13.3,49,4,5.8,9.9,15,39.3,0,1,0,4,19,4,23,475,257,7,664,476,463,402
TW105BX,TW10 5BX,TW,156,209.9,593,,26,109.1,239,461.7,18.5,20.5,39,,9,13.5,22.3,37.3,0,0,0,3,12,7,19,650,419,,715,642,503,265
TW105BZ,TW10 5BZ,TW,120,167.3,1000,,,101.3,167.3,497.5,25,27.7,115,,,20,27.7,66.3,0,0,0,0,20,4,24,376,393,,,346,376,525
TW105DA,TW10 5DA,TW,245,457.2,1000,,,110.6,457.2,803.8,40,59.1,115,,,21.3,59.1,96.9,0,0,0,0,8,8,16,518,427,,,292,518,744
TW105DE,TW10 5DE,TW,40,45.6,158.73,4,15,50.7,50.7,,10,10.4,29.3,1,2.7,11.7,11.7,,0,1,0,3,26,0,26,332,306,55,103,343,343,
TW105DF,TW10 5DF,TW,40,44.8,70.22,8,17,50.1,50.1,,10,9.8,16.48,1,4,11,11,,0,0,2,3,30,0,30,388,290,37,29,447,447,
