postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
UB100AA,UB10 0AA,UB,107,175.4,593,0,,126.8,204.5,593,20,17.3,39,0,,16.4,20.2,39,1,0,0,0,5,1,6,520,507,0,,624,520,0
UB100AD,UB10 0AD,UB,52.9,119.5,1096,7,24.2,88.4,145.5,587.8,10,13.3,49,1,5.5,12.6,15.7,40,0,0,3,6,31,4,35,531,408,156,311,561,525,244
UB100AE,UB10 0AE,UB,54.8,60.1,107,,21,64.7,64.7,,10,11.4,20,,4.5,12.2,12.2,,0,0,0,2,17,0,17,757,497,,153,783,783,
UB100AF,UB10 0AF,UB,74.8,71.7,107,,17,74.2,74.2,,19.5,15.5,20,,8,15.9,15.9,,0,0,0,1,21,0,21,396,385,,228,404,404,
UB100AG,UB10 0AG,UB,56.3,47.5,66.11,6,,54.4,54.4,,13.2,12.7,19.99,0.5,,14.8,14.8,,0,1,1,0,12,0,12,590,420,210,,653,653,
UB100AH,UB10 0AH,UB,77,81,331,7.5,,77.3,86.1,331,10,14,36,1,,14.2,15,36,0,0,2,0,28,1,29,545,431,143,,534,535,568
UB100AJ,UB10 0AJ,UB,63.7,63.8,107,7.5,28,70.3,70.3,,15.7,14.3,20,1,12,15.5,15.5,,0,0,2,1,23,0,23,349,263,134,14,382,382,
UB100AL,UB10 0AL,UB,79.7,150.1,593,,,95.3,150.1,396.5,19.5,20,39,,,16.3,20,36.8,0,0,0,0,18,4,22,684,659,,,663,653,609
UB100AN,UB10 0AN,UB,70.6,103.1,205,4,,122.8,122.8,,19.8,18.4,21,10,,20.2,20.2,,0,1,0,0,5,0,5,728,847,75,,859,859,
UB100AP,UB10 0AP,UB,76.2,72.1,76.75,,,72,72,,20,19.6,20,,,19.6,19.6,,0,0,0,0,5,0,5,393,401,,,393,393,
UB100AQ,UB10 0AQ,UB,43.8,42.5,59.01,6,,46.1,46.1,,10,9.9,17.74,1,,10.8,10.8,,0,0,1,0,10,0,10,755,648,11,,830,830,
UB100AR,UB10 0AR,UB,92.6,96.2,205,,,96.2,96.2,,14.5,14.9,21,,,15,15,,0,0,0,0,6,0,6,323,179,,,323,323,
UB100AT,UB10 0AT,UB,107,145.7,331,,,108.7,145.8,331,19.8,20.2,36,,,17.1,20.3,36,0,0,0,0,10,2,12,755,729,,,708,692,614
UB100AU,UB10 0AU,UB,80,93.2,205,9,,105.3,105.3,,19.8,15.2,21,1,,17.3,17.3,,0,0,1,0,7,0,7,759,654,347,,710,710,
UB100AW,UB10 0AW,UB,76.3,117,205,,,117,117,,20,20.2,21,,,20.2,20.2,,0,0,0,0,6,0,6,341,143,,,341,341,
UB100AY,UB10 0AY,UB,39.8,196.3,1096,5,24,81.3,297.6,586,8.3,17.2,49,0,7.7,11.3,23.7,40.3,0,1,0,3,4,3,7,564,422,61,410,389,621,930
UB100BA,UB10 0BA,UB,28.9,51.2,205,2,22.3,85.4,85.4,,6.3,7.3,21,1,5.8,9.4,9.4,,1,0,0,9,9,0,9,717,378,117,927,494,494,
UB100BB,UB10 0BB,UB,92.6,89.2,205,,,89.3,89.3,,10,13.5,21,,,13.5,13.5,,0,0,0,0,12,0,12,248,130,,,207,207,
UB100BD,UB10 0BD,UB,39.2,101.1,460,5,19,80.8,159.5,395.5,6.8,12.1,36,2.8,4,11.7,17.8,36,0,3,1,1,6,2,8,422,381,74,971,373,476,785
UB100BE,UB10 0BE,UB,79.7,122.9,331,2,,117.1,130.4,331,19.5,18.2,36,1,,18.2,19.3,36,0,1,0,0,15,1,16,626,407,2,,675,665,504
UB100BG,UB10 0BG,UB,38.6,45,205,5,17.7,57.2,57.2,,7.2,7.5,21,1,4.3,9,9,,0,1,0,3,10,0,10,443,328,44,418,491,491,
UB100BH,UB10 0BH,UB,78,116.8,593,8,,84.6,123.6,396.5,19.8,19,39,1,,17.7,20.1,36.8,0,0,2,0,28,4,32,593,387,110,,589,530,117
UB100BJ,UB10 0BJ,UB,78.9,162,1096,,,99.7,162,1096,19.8,19.6,49,,,17.7,19.6,49,0,0,0,0,15,1,16,541,522,,,461,507,1192
UB100BN,UB10 0BN,UB,107,205,1096,,,119.8,205.1,844.5,10,17.1,49,,,13.5,17.1,44,0,0,0,0,15,2,17,587,408,,,603,553,171
UB100BP,UB10 0BP,UB,54.3,51.5,78.12,,24.3,57.8,57.8,,15.2,14.4,20,,8.3,15.8,15.8,,0,0,0,3,13,0,13,546,549,,214,622,622,
UB100BQ,UB10 0BQ,UB,77.1,67.8,79.9,6,,71.5,71.5,,19.5,16.8,20,1,,17.8,17.8,,0,0,1,0,17,0,17,474,296,4,,502,502,
UB100BS,UB10 0BS,UB,107,134.2,460,,15,122.7,140.4,460,10,14.5,36,,7,13.8,14.9,36,0,0,0,1,18,1,19,471,390,,166,486,487,507
UB100BT,UB10 0BT,UB,23.8,85.2,331,,23.8,,331,331,6.5,11.6,36,,5.5,,36,36,0,0,0,4,0,1,1,557,410,,361,,1342,1342
UB100BU,UB10 0BU,UB,107,128.1,460,5.5,16.5,93.8,189.1,395.5,10,13.2,36,1.8,5.3,9.9,18.2,36,0,0,4,6,13,6,19,387,216,34,97,416,532,784
UB100BY,UB10 0BY,UB,78.1,129.2,1096,3.5,,84.5,144,1096,11.2,14.5,49,0.5,,14.1,16.1,49,1,0,1,0,16,1,17,587,408,45,,618,581,0
UB100DA,UB10 0DA,UB,66.5,60.4,71.33,,,60.4,60.4,,14.8,14.7,18.28,,,14.6,14.6,,0,0,0,0,5,0,5,379,210,,,379,379,
UB100DD,UB10 0DD,UB,73.2,59.4,79.66,3,,68.1,68.1,,19.5,15.3,20,1,,17.6,17.6,,1,1,0,0,13,0,13,89,24,7,,95,95,
UB100DE,UB10 0DE,UB,93.3,174.2,1096,1,,105.6,183.4,844.5,19.8,18.5,49,1,,16.5,19.4,44,1,0,0,0,17,2,19,429,276,8,,428,383,0
UB100DF,UB10 0DF,UB,91.8,112,460,2,27,89.5,116.9,363.3,10,14.6,36,1,9,12.8,15.1,36,0,1,0,1,36,4,40,718,591,166,1022,613,652,1002
UB100DG,UB10 0DG,UB,42,111.5,593,7,21.2,91.8,132.3,383.4,9.2,13,39,1,6.2,11.3,14.8,36.6,0,1,1,6,31,5,36,684,473,267,717,609,626,735
UB100DH,UB10 0DH,UB,79.9,96.5,205,2,,99.3,99.3,,19.5,15.2,21,1,,15.6,15.6,,1,0,0,0,33,0,33,692,609,0,,671,671,
UB100DJ,UB10 0DJ,UB,79.6,115.6,593,4,,95.6,119.2,462,20,18.6,39,1,,17.9,19.2,37.5,0,1,0,0,29,2,31,548,405,87,,545,545,550
UB100DL,UB10 0DL,UB,107,115.7,593,2,,97.5,121.1,593,10,14.9,39,1,,14.4,15.6,39,1,0,0,0,20,1,21,678,433,7,,669,678,862
UB100DN,UB10 0DN,UB,79.9,124.7,460,,,90.7,124.7,374,19.5,19.2,36,,,16.9,19.2,36,0,0,0,0,22,3,25,752,813,,,772,752,599
UB100DP,UB10 0DP,UB,107,113.4,460,3,28.5,101.1,124.6,395.5,10,13.7,36,1,9.5,12.7,14.6,36,0,1,0,2,23,2,25,478,409,171,650,436,457,703
UB100DQ,UB10 0DQ,UB,107,211.3,1096,,15,102.7,219.4,662.8,20,20.4,49,,8,15.6,21,41.2,0,0,0,1,19,5,24,643,434,,44,625,615,577
UB100DR,UB10 0DR,UB,65.9,123.1,593,4,28,82.5,129.2,409.2,13.9,16.4,39,1,9,13.8,17,36.6,0,1,0,1,30,5,35,646,620,25,141,644,641,626
UB100DS,UB10 0DS,UB,78.9,135.9,460,3,27,87.8,142.6,417,19.5,18.5,36,1,1,16.1,19.4,36,0,1,0,1,30,6,36,697,592,49,419,620,684,1006
UB100DT,UB10 0DT,UB,69.7,67.3,107,5,,74.6,74.6,,11.5,12.8,20,0.5,,14.2,14.2,,0,1,1,0,17,0,17,446,321,204,,474,474,
UB100DU,UB10 0DU,UB,78.1,93,205,3,,95.8,95.8,,19.5,15.6,21,1,,16.1,16.1,,0,1,0,0,32,0,32,826,640,75,,824,824,
UB100DW,UB10 0DW,UB,107,143.8,593,1,28,113.7,152.7,396.5,19.5,18.6,39,1,17,16.5,19.3,36.8,1,0,0,1,25,4,29,740,614,5,296,713,755,1019
UB100DX,UB10 0DX,UB,73.5,81.2,205,5,,92.1,92.1,,10,10,21,1,,11.4,11.4,,0,1,0,0,7,0,7,377,313,47,,424,424,
UB100DY,UB10 0DY,UB,77.2,108.7,331,4.5,,91.7,115.6,331,16.8,15.6,36,1,,14.5,16.6,36,0,2,0,0,27,3,30,455,378,506,,435,436,445
UB100DZ,UB10 0DZ,UB,76.1,132,593,,,66.3,132,526.5,18.3,17.2,39,,,13.8,17.2,37.5,0,0,0,0,12,2,14,606,627,,,597,563,358
UB100EA,UB10 0EA,UB,78.1,85.6,205,6.5,,96.9,96.9,,19.5,15.3,21,1,,17.4,17.4,,0,0,2,0,14,0,14,421,475,63,,472,472,
UB100EB,UB10 0EB,UB,78.7,125.4,1096,4,,92.5,129,713.5,19.5,17.2,49,0,,16.2,17.7,42.5,0,1,0,0,32,2,34,588,447,20,,576,571,491
UB100ED,UB10 0ED,UB,78.1,129.3,593,4.7,,90.4,149,461.3,15.7,16.1,39,0.7,,15.1,18.6,37,0,1,2,0,16,3,19,462,261,84,,418,522,1077
UB100EE,UB10 0EE,UB,76.3,118.6,331,5,24.5,112.4,132.3,331,10.4,15.5,36,1,7.5,14.9,16.9,36,0,0,1,2,20,2,22,493,256,22,197,494,542,1023
UB100EG,UB10 0EG,UB,70.3,60.9,107,4,,72.2,72.2,,10,12.2,20,0.5,,14.5,14.5,,0,1,1,0,10,0,10,336,131,87,,386,386,
UB100EH,UB10 0EH,UB,79.7,105.5,593,3,,90.7,109.3,593,17.5,15.6,39,0,,15.3,16.1,39,0,1,0,0,26,1,27,372,148,24,,385,371,0
UB100EL,UB10 0EL,UB,78.9,127.9,1096,6.5,24,95,137.9,844.5,13.6,15.7,49,1,10,15,16.7,44,0,0,2,1,33,2,35,483,283,156,71,501,472,5
UB100EN,UB10 0EN,UB,78.1,69.7,107,,,69.8,69.8,,19.5,15.7,20,,,15.8,15.8,,0,0,0,0,12,0,12,512,440,,,512,512,
UB100EQ,UB10 0EQ,UB,78.1,97.3,205,,,97.3,97.3,,19.8,17,21,,,17,17,,0,0,0,0,30,0,30,494,361,,,494,494,
UB100ER,UB10 0ER,UB,72.2,80.2,205,3.5,,95.5,95.5,,15.9,13.6,21,0.5,,16.2,16.2,,0,2,0,0,10,0,10,412,245,46,,485,485,
UB100ET,UB10 0ET,UB,77.2,124.4,1096,4,,85.9,136.4,1096,19.5,17.3,49,0.5,,17.4,19,49,0,2,0,0,19,1,20,372,147,10,,391,371,0
UB100EU,UB10 0EU,UB,78.1,104.1,205,,,104.1,104.1,,19.5,17.2,21,,,17.3,17.3,,0,0,0,0,11,0,11,816,682,,,816,816,
UB100EW,UB10 0EW,UB,76.9,92.6,331,4,,81.9,98.5,331,19.5,16.7,36,1,,16.4,17.7,36,0,1,0,0,14,1,15,447,276,1,,438,477,1014
UB100EY,UB10 0EY,UB,76.9,132.5,331,,,114.5,132.5,331,19.8,19.7,36,,,18.2,19.7,36,0,0,0,0,11,1,12,215,176,,,196,180,0
UB100EZ,UB10 0EZ,UB,60.6,93.4,593,3,,82,99.7,462,10,12.3,39,0.3,,11.9,13.1,37.5,0,3,0,0,41,2,43,614,413,73,,593,581,319
