postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
WA101AR,WA10 1AR,WA,22.1,28.5,57.75,,21.3,58,58,,1,4.2,17.46,,1,17,17,,0,0,0,4,1,0,1,50,25,,49,54,54,
WA101AW,WA10 1AW,WA,24.4,41,80,,22,66.3,66.3,,1.3,7.7,20,,1,16.7,16.7,,0,0,0,4,3,0,3,73,27,,33,101,101,
WA101AX,WA10 1AX,WA,16.7,21.8,72.73,4.5,18.6,73,73,,1,2.1,10.94,0.5,1,11,11,,1,0,1,5,1,0,1,73,58,0,73,0,0,
WA101BD,WA10 1BD,WA,19.8,23.4,66.86,8,19.4,67,67,,0.9,3.1,19.95,0,1,20,20,,0,0,1,7,1,0,1,30,7,0,19,50,50,
WA101BJ,WA10 1BJ,WA,15.1,33.9,79.67,7,15,79.5,79.5,,0.9,7.1,20,0.5,1,20,20,,0,0,2,2,2,0,2,69,54,104,37,32,32,
WA101BN,WA10 1BN,WA,24.4,33.2,79.76,8,22.1,70.4,70.4,,1.1,5.6,20,0.7,1.1,17.8,17.8,,0,0,3,10,5,0,5,40,10,6,12,93,93,
WA101DD,WA10 1DD,WA,78.1,61.8,79.67,,23,68.3,68.3,,19.5,13.3,20,,1,15.3,15.3,,0,0,0,1,6,0,6,212,69,,69,236,236,
WA101DH,WA10 1DH,WA,29.1,29.4,39.06,,23,39,39,,6.3,4.8,8.09,,2.7,8,8,,0,0,0,3,2,0,2,706,738,,560,924,924,
WA101DL,WA10 1DL,WA,57.1,50.4,80,,16.5,67.3,67.3,,15,11.9,20,,1,17.5,17.5,,0,0,0,2,4,0,4,497,50,,4,619,619,
WA101EJ,WA10 1EJ,WA,107,133.4,331,,,105.1,133.4,331,10,15.4,36,,,12.6,15.5,36,0,0,0,0,7,1,8,611,443,,,322,458,1410
WA101EN,WA10 1EN,WA,64.9,117.1,593,,18.8,83.4,138.5,505.7,16.4,15.4,39,,1,15.6,18.5,38,0,0,0,5,20,3,23,291,179,,107,335,305,110
WA101ET,WA10 1ET,WA,77.4,79.8,205,8,23,101.1,101.1,,10,10.2,21,1,3.8,12.6,12.6,,0,0,1,4,14,0,14,505,342,98,249,498,498,
