postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
WD171AA,WD17 1AA,WD,78.9,55.6,79.67,2,23,79.4,79.4,,19.8,12.7,20,0,1,20,20,,0,1,0,2,5,0,5,630,323,80,539,651,651,
WD171AH,WD17 1AH,WD,66.9,64.3,79.91,,23,66.8,66.8,,19.5,15.8,20,,1,16.7,16.7,,0,0,0,1,16,0,16,529,488,,104,555,555,
WD171AP,WD17 1AP,WD,107,96.3,331,8,16.5,121,147.3,331,10,9.4,36,1,1,11.6,14.6,36,0,0,1,4,7,1,8,239,173,0,118,256,269,361
WD171AW,WD17 1AW,WD,77.3,61.7,80,,21,68.7,68.7,,20,15.9,20,,1,18.3,18.3,,0,0,0,1,6,0,6,124,93,,27,140,140,
WD171BA,WD17 1BA,WD,50.3,51,79.91,,18.5,60.3,60.3,,19.5,13.5,20,,1,17,17,,0,0,0,2,7,0,7,562,434,,867,475,475,
WD171BH,WD17 1BH,WD,66.8,58.7,79.66,5,18,69.1,69.1,,20,16.5,20,1,1,19.9,19.9,,0,0,1,1,9,0,9,443,338,0,1008,430,430,
WD171BN,WD17 1BN,WD,77,125.5,1000,9,17.2,83.4,138.9,875,19.5,15.2,20,1,1,13.3,12.4,0,0,0,1,6,53,4,57,854,681,1,657,683,635,0
WD171BP,WD17 1BP,WD,54.8,50.8,78.13,,21.4,63.1,63.1,,10,10.7,20,,1.2,14.7,14.7,,0,0,0,5,12,0,12,516,544,,526,512,512,
WD171BQ,WD17 1BQ,WD,57.4,120.4,1000,6,16.5,77.5,143.4,1000,13.2,12.3,20,0,1,11.2,10.4,0,0,0,1,2,13,1,14,574,414,200,414,450,418,0
WD171JY,WD17 1JY,WD,78.1,55.9,80,,21.3,75.6,75.6,,19.5,12.6,20,,2.1,18.5,18.5,,0,0,0,8,14,0,14,441,304,,465,427,427,
WD171LB,WD17 1LB,WD,23.4,27.2,78.29,,22.9,78,78,,1.2,2.6,19.98,,1.2,20,20,,0,0,0,12,1,0,1,624,456,,574,605,605,
WD171LJ,WD17 1LJ,WD,21.6,31.7,80,4.5,21,80,80,,1.1,5.7,20,1,1,20,20,,1,0,1,4,2,0,2,97,122,0,35,175,175,
WD171LN,WD17 1LN,WD,59.8,57,79.67,,23,63.8,63.8,,15,13.5,20,,1,16,16,,0,0,0,1,5,0,5,135,153,,29,157,157,
WD171LQ,WD17 1LQ,WD,76.3,51.9,80,6.5,16,74,74,,19.5,12.6,20,0.5,2,18.8,18.8,,0,1,1,3,9,0,9,375,235,7,91,426,426,
WD171NA,WD17 1NA,WD,79.7,61.2,79.76,,18.7,79.4,79.4,,20,14.3,20,,1.3,20,20,,0,0,0,3,7,0,7,992,354,,118,1224,1224,
WD171NJ,WD17 1NJ,WD,73.8,56.5,80,,20.3,72,72,,19.4,13.2,20,,1,18.3,18.3,,0,0,0,3,7,0,7,405,243,,377,417,417,
WD171NP,WD17 1NP,WD,23.5,41.1,79.66,,23.2,62.6,62.6,,1.3,7.8,20,,1.2,15.8,15.8,,0,0,0,6,5,0,5,1018,522,,491,1649,1649,
WD171PA,WD17 1PA,WD,107,95.3,205,,16.5,102.8,102.8,,10,12.6,21,,1,13.7,13.7,,0,0,0,2,21,0,21,429,318,,163,393,393,
WD171PB,WD17 1PB,WD,107,131.2,460,,20,96.5,133.9,352.3,10,16.1,50,,1,12.7,16.4,38.3,0,0,0,1,35,6,41,475,438,,19,299,394,945
WD171PD,WD17 1PD,WD,75.3,75,79.07,,,75,75,,19.5,19.7,20,,,19.7,19.7,,0,0,0,0,6,0,6,947,695,,,947,947,
WD171PG,WD17 1PG,WD,76.6,98.4,205,,,98.4,98.4,,20,19,29.27,,,19,19,,0,0,0,0,10,0,10,669,545,,,669,669,
WD171PT,WD17 1PT,WD,79.9,94.3,331,2,19.3,106.3,122.4,331,10,12.8,36,1,1,15.5,17,36,0,1,0,4,13,1,14,441,306,195,479,396,416,675
WD171PY,WD17 1PY,WD,66.4,63.4,107,,22,71.8,71.8,,10,11.8,20,,1,13.8,13.8,,0,0,0,1,5,0,5,546,511,,926,469,469,
