postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
WF101AD,WF10 1AD,WF,18.7,15.9,24.38,7.5,21,,,,1.1,1.1,1.91,0.8,1.2,,,,0,0,6,10,0,0,0,43,12,4,53,,,
WF101AE,WF10 1AE,WF,23.6,23.6,24.38,,23.6,,,,1.2,1.2,1.28,,1.2,,,,0,0,0,5,0,0,0,319,187,,255,,,
WF101AR,WF10 1AR,WF,107,107.4,460,,21.5,106.9,125.5,460,10,10.2,36,,1,10.8,12.2,36,0,0,0,4,18,1,19,429,430,,296,406,434,952
WF101AS,WF10 1AS,WF,15.2,15.5,23.46,9,18.2,,,,1,0.9,1.25,0.5,1,,,,0,0,2,5,0,0,0,49,30,4,37,,,
WF101AY,WF10 1AY,WF,23.8,85.4,331,,20.9,126.6,160.7,331,1.3,8,36,,1,12.2,16.2,36,0,0,0,7,5,1,6,175,35,,107,200,196,178
WF101BL,WF10 1BL,WF,21.5,104.1,593,,19.9,205,399,593,1.2,7.5,39,,1.1,21,30,39,0,0,0,7,1,1,2,312,204,,332,178,89,0
WF101BQ,WF10 1BQ,WF,107,125.4,330,,20,126.6,160.5,330,10,14.2,50,,1,12.2,18.5,50,0,0,0,2,5,1,6,366,364,,463,181,211,362
WF101BS,WF10 1BS,WF,107,120.2,331,,22.3,146.6,156.3,331,10,12.7,36,,1.1,15.9,17,36,0,0,0,7,18,1,19,739,546,,329,884,851,274
WF101BT,WF10 1BT,WF,107,199.1,593,,19.8,126.6,250.4,559.8,10,15.5,39,,1,12.2,19.6,38.3,0,0,0,4,10,4,14,465,431,,779,386,276,1
WF101BU,WF10 1BU,WF,160,247.1,1000,,20.4,123.1,294.3,579.6,21,22.8,115,,1.2,15.9,27.3,46.4,0,0,0,5,15,9,24,503,487,,439,450,369,235
WF101BX,WF10 1BX,WF,107,182.6,593,,17.3,129.7,192.3,396,20,19.5,50,,1,15,20.6,38.8,0,0,0,3,39,12,51,586,350,,217,468,573,917
WF101DB,WF10 1DB,WF,21.9,20.1,33.52,4.5,22.4,34,34,,1,1.7,10,0.5,0.9,10,10,,0,1,1,8,1,0,1,65,14,41,12,406,406,
WF101DT,WF10 1DT,WF,107,241.4,1000,,17.3,135.8,325.4,641.3,10,24.1,115,,1,14.4,32.8,63.3,0,0,0,3,5,3,8,450,422,,324,386,441,533
WF101EB,WF10 1EB,WF,205,244.3,593,,17,185.4,272.8,418.3,21,22.9,39,,1,18.8,25.6,37,0,0,0,1,5,3,8,453,282,,145,461,435,391
WF101EE,WF10 1EE,WF,22.5,29.5,107,8,21.4,73,73,,1,2.6,10,1,1,10,10,,0,0,1,8,2,0,2,155,80,25,136,142,142,
WF101EG,WF10 1EG,WF,21.9,19.6,24.38,8,21.5,,,,1,1.1,1.26,1,1,,,,0,0,1,6,0,0,0,69,35,0,69,,,
WF101EN,WF10 1EN,WF,20.4,33.3,107,8,21.3,107,107,,1,3.9,10,1,3,10,10,,0,0,1,4,1,0,1,146,42,10,47,534,534,
WF101EX,WF10 1EX,WF,65.2,139.8,460,,22.3,156,257.3,460,5.6,11.7,36,,1,15.5,22.3,36,0,0,0,3,2,1,3,158,133,,148,98,168,310
WF101EY,WF10 1EY,WF,79.5,73.7,205,3,21.6,118.8,118.8,,7.5,6.7,21,1,1.1,11.4,11.4,,0,1,0,9,12,0,12,303,329,16,295,232,232,
WF101FB,WF10 1FB,WF,107,118.4,593,,,98.7,118.4,593,10,15.3,39,,,14.3,15.3,39,0,0,0,0,24,1,25,504,411,,,462,444,0
WF101FF,WF10 1FF,WF,93.5,114.5,331,,,101.8,114.5,331,19.5,16.7,36,,,15.6,16.7,36,0,0,0,0,17,1,18,478,420,,,448,451,502
WF101FG,WF10 1FG,WF,107,233.5,593,,,105.1,233.5,593,19.5,21.1,39,,,14.6,21.1,39,0,0,0,0,14,5,19,612,468,,,611,451,3
WF101FH,WF10 1FH,WF,92.6,129.7,331,,18,131.4,145.6,331,19.5,18,36,,1,19.3,20.5,36,0,0,0,2,13,1,14,527,617,,124,589,547,0
WF101FJ,WF10 1FJ,WF,107,174,593,,,129.7,174,462,10,17.2,39,,,14.1,17.2,37.5,0,0,0,0,13,2,15,609,639,,,587,568,443
WF101FL,WF10 1FL,WF,78.1,141.8,593,,19.5,75,182.7,505.7,10,15.1,39,,1,13.8,19.8,38,0,0,0,4,9,3,12,294,265,,79,364,316,172
WF101FP,WF10 1FP,WF,205,214.4,593,,,159.3,214.4,462,21,23.5,39,,,20.4,23.5,37.5,0,0,0,0,9,2,11,379,312,,,414,344,30
WF101HG,WF10 1HG,WF,37,61.8,205,,19.8,104,104,,3,5.6,21,,1,10.3,10.3,,0,0,0,4,4,0,4,220,210,,303,83,83,
WF101HQ,WF10 1HQ,WF,21.5,21.1,22.94,,21,,,,1.1,1.1,1.24,,1.2,,,,0,0,0,5,0,0,0,79,69,,79,,,
WF101JY,WF10 1JY,WF,70.6,69.7,205,,22.8,99,99,,10,8.7,21,,1.2,13.4,13.4,,0,0,0,5,8,0,8,437,284,,315,514,514,
WF101JZ,WF10 1JZ,WF,78.1,117.3,331,,21.7,93.7,133.3,331,10,15.2,36,,1.3,13.9,17.6,36,0,0,0,3,15,3,18,495,406,,350,456,465,507
WF101LA,WF10 1LA,WF,107,97.7,205,,21,111.6,111.6,,10,12.3,21,,1,14.4,14.4,,0,0,0,2,11,0,11,317,293,,26,369,369,
WF101LB,WF10 1LB,WF,79,171.3,593,,17,104.5,202.2,593,19.8,18.5,39,,1,17.8,22,39,0,0,0,1,4,1,5,704,992,,37,871,697,0
WF101LE,WF10 1LE,WF,78.1,123.5,593,7,18.2,100.9,148.2,439.8,19.5,15.3,39,1,1,15.7,18.7,37,0,0,1,9,37,6,43,475,345,391,166,477,498,629
WF101LF,WF10 1LF,WF,64.1,62.1,205,,18.2,81,81,,10,11.2,21,,1.1,15.5,15.5,,0,0,0,9,21,0,21,384,336,,265,417,417,
WF101LG,WF10 1LG,WF,79.7,92.1,205,,23.5,107.3,107.3,,10,12.7,21,,1,15.2,15.2,,0,0,0,2,9,0,9,394,369,,522,365,365,
WF101LH,WF10 1LH,WF,78.1,92.1,331,8,18.3,98.8,109.4,331,10,13.2,36,1,1.3,15,15.9,36,0,0,1,4,21,1,22,517,353,129,226,579,564,262
WF101LJ,WF10 1LJ,WF,72.6,91.7,205,,20.5,101.2,101.2,,13.4,13.4,21,,1,15.1,15.1,,0,0,0,2,15,0,15,380,252,,572,329,329,
WF101LL,WF10 1LL,WF,107,175.7,460,,,115.4,175.7,417,20,20,36,,,16,20,36,0,0,0,0,12,3,15,582,523,,,486,505,578
WF101LN,WF10 1LN,WF,76.9,83.4,331,8,18,84.8,98.5,331,10.4,13.2,36,1,1,14.8,15.9,36,0,0,1,3,17,1,18,517,316,200,159,604,595,435
WF101LU,WF10 1LU,WF,78.1,74.1,107,,16,82.3,82.3,,14.1,12.7,19.98,,1,14.4,14.4,,0,0,0,1,7,0,7,458,395,,15,522,522,
WF101LX,WF10 1LX,WF,78.1,71.5,80,,,71.4,71.4,,20,16.9,20,,,16.9,16.9,,0,0,0,0,9,0,9,402,44,,,402,402,
WF101NB,WF10 1NB,WF,75.9,82,205,,17,92,92,,10,12.5,21,,1,14.2,14.2,,0,0,0,2,13,0,13,402,237,,66,454,454,
WF101NF,WF10 1NF,WF,47.3,54.5,107,10,19.3,69.6,69.6,,10,9,20,1,1,12.3,12.3,,0,0,1,3,10,0,10,329,106,95,56,435,435,
WF101NG,WF10 1NG,WF,78.1,105.9,331,,15,101.5,122.4,331,10,13.8,36,,1,14.1,16.1,36,0,0,0,2,10,1,11,276,174,,110,266,306,708
WF101NJ,WF10 1NJ,WF,79.7,74.6,80,,,74.6,74.6,,20,18.7,20,,,18.6,18.6,,0,0,0,0,8,0,8,205,72,,,179,179,
WF101NL,WF10 1NL,WF,53,106.9,593,,16,63.4,129.6,593,10,14,39,,1,14,17.1,39,0,0,0,2,7,1,8,465,321,,141,491,430,0
WF101NT,WF10 1NT,WF,107,158.4,460,,19,95.1,171.2,374,11,17.4,36,,1,12.4,18.8,36,0,0,0,1,8,3,11,542,645,,816,414,468,612
WF101NU,WF10 1NU,WF,56.4,150.2,593,6,24,91.5,161.1,526.5,10,15.3,39,4,4,12,16.1,37.5,0,0,1,1,21,4,25,402,249,308,201,329,333,354
WF101NW,WF10 1NW,WF,51.2,69.2,205,7,23,121,121,,10.2,10.5,21,1,1,20,20,,0,0,1,2,3,0,3,166,64,34,66,276,276,
WF101PA,WF10 1PA,WF,77.6,56.6,80,,19.5,67.3,67.3,,20,14.6,20,,1,18.6,18.6,,0,0,0,2,7,0,7,584,263,,44,655,655,
WF101PD,WF10 1PD,WF,78.1,90.9,460,,21.3,92.7,143.2,395.5,10,11,36,,1,14.9,18.4,36,0,0,0,9,10,2,12,437,369,,158,519,609,1058
WF101PE,WF10 1PE,WF,78.1,78.2,205,,21.6,93.9,93.9,,12.1,12.7,21,,1.2,15.9,15.9,,0,0,0,5,18,0,18,669,482,,279,740,740,
WF101PF,WF10 1PF,WF,78,76.9,205,9,20.8,109.4,109.4,,19.5,12.6,21,1,1,19,19,,0,0,1,4,9,0,9,555,187,11,117,810,810,
WF101PJ,WF10 1PJ,WF,78.1,56.5,78.12,,13.5,78,78,,19.5,13.4,19.53,,1,19.5,19.5,,0,0,0,2,4,0,4,581,452,,138,802,802,
WF101PL,WF10 1PL,WF,30.8,66.6,593,9,19.1,57.9,110,526.5,4.3,6.7,39,2.5,2.6,6.9,10.3,37.5,0,0,2,14,16,2,18,189,135,22,152,224,227,250
WF101PP,WF10 1PP,WF,80,96.5,205,8,15.5,108.5,108.5,,14.8,14,21,1,1,15.8,15.8,,0,0,1,2,21,0,21,854,571,81,213,912,912,
WF101PR,WF10 1PR,WF,40,43.7,107,8,26,54.4,54.4,,9.4,7.8,10,1,9,8.8,8.8,,0,0,1,1,5,0,5,165,175,30,218,181,181,
WF101PS,WF10 1PS,WF,78.1,123.7,593,8,12.7,70.2,151.8,396.5,14.8,16.5,39,1,1,14.9,20.4,36.8,0,0,1,3,12,4,16,879,353,301,161,1066,1050,1002
WF101PT,WF10 1PT,WF,74.7,77.1,205,7.5,,83.2,83.2,,16.1,14.1,21,0.5,,15.3,15.3,,0,0,2,0,23,0,23,898,804,229,,956,956,
WF101PU,WF10 1PU,WF,54.6,82.8,593,6.7,17,70.8,96.8,526.5,15,14,39,1,6,14.7,16,37.5,0,0,3,4,33,2,35,677,571,268,554,721,707,484
WF101PW,WF10 1PW,WF,68.4,66.7,79.75,,,66.7,66.7,,19.5,16,20,,,16,16,,0,0,0,0,6,0,6,454,182,,,454,454,
WF101PX,WF10 1PX,WF,78.1,134,593,,,95.8,134,593,19.5,19,39,,,17.3,19,39,0,0,0,0,12,1,13,1023,713,,,853,787,0
WF101PY,WF10 1PY,WF,43.3,36.3,63.66,9,12,53.7,53.7,,6.3,6,12.37,1,1,9.3,9.3,,0,0,1,1,3,0,3,218,109,109,4,325,325,
WF101PZ,WF10 1PZ,WF,37.2,106,460,,23.5,56,153,395.5,6.7,12.8,36,,6.3,8.8,16.6,36,0,0,0,4,5,2,7,655,360,,1092,458,405,271
WF101QB,WF10 1QB,WF,39.9,97,331,,28,55.8,110.8,331,9.8,13.8,36,,10,9.3,14.6,36,0,0,0,1,4,1,5,1000,947,,1425,739,715,620
WF101QD,WF10 1QD,WF,38.4,88.1,593,6.3,21,67.6,113,461.3,7.9,10.5,39,1.3,4.7,9.7,12.9,37,0,1,2,6,23,3,26,638,485,182,341,724,710,609
WF101QE,WF10 1QE,WF,39.1,78.3,331,2.5,24,72.4,101.1,331,7.4,10.9,36,0.5,7,10.9,13.7,36,1,1,0,1,8,1,9,395,225,137,22,542,494,113
WF101QF,WF10 1QF,WF,36.3,46.6,107,,29,50.2,50.2,,7.5,7.8,10,,7,8,8,,0,0,0,1,5,0,5,870,993,,63,1031,1031,
WF101QG,WF10 1QG,WF,40,107.7,593,7.7,24.8,82.4,139.3,461.3,10,12.2,39,2,7,10.8,14.8,37,0,0,3,4,17,3,20,584,249,115,277,679,687,732
WF101QH,WF10 1QH,WF,38.8,68.9,205,,22,71.8,71.8,,7.4,8.9,21,,4,9.2,9.2,,0,0,0,1,16,0,16,731,549,,504,745,745,
WF101QJ,WF10 1QJ,WF,37.7,74.2,460,1,24.4,75.6,90.3,460,7.7,9.2,36,4,6.9,9,10,36,1,0,0,7,25,1,26,536,339,373,599,502,484,31
WF101QL,WF10 1QL,WF,30.2,78.1,593,5,22.3,92,138.3,462,5.6,8.4,39,0.8,3.8,10.4,13.8,37.5,0,2,2,12,14,2,16,456,328,88,246,597,591,555
WF101QN,WF10 1QN,WF,79.8,125.5,460,,12,97,132.1,395.5,14.8,16.1,36,,1,14.5,17,36,0,0,0,1,15,2,17,473,442,,151,527,492,232
