postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
WN11BA,WN1 1BA,WN,36.3,41.9,79.66,,16.6,67.2,67.2,,3.1,7.4,20,,1,13.8,13.8,,0,0,0,5,5,0,5,246,72,,68,374,374,
WN11BE,WN1 1BE,WN,59.2,51.5,80,1,,61.8,61.8,,18.8,14.7,20,0,,17.6,17.6,,1,0,0,0,5,0,5,121,120,0,,145,145,
WN11BH,WN1 1BH,WN,15,17.5,79.67,5.9,16.2,79.5,79.5,,0.9,2,20,0.9,0.9,20,20,,1,2,5,25,2,0,2,43,30,25,33,50,50,
WN11BP,WN1 1BP,WN,70.8,58.7,78.71,,18.5,67.7,67.7,,16.9,13.3,20,,1,16,16,,0,0,0,2,9,0,9,681,479,,813,652,652,
WN11BT,WN1 1BT,WN,79.7,61.6,79.76,,21.7,78.7,78.7,,20,14.1,20,,1,19.7,19.7,,0,0,0,3,7,0,7,68,50,,15,71,71,
WN11DY,WN1 1DY,WN,45.5,39.3,67,8,15,53.3,53.3,,10,10.2,20,0,1,15,15,,0,0,1,1,4,0,4,428,42,0,0,535,535,
WN11EY,WN1 1EY,WN,65.9,98.4,331,,18,91.4,135,331,10,12.5,36,,1,13.7,17.7,36,0,0,0,5,9,2,11,411,208,,244,459,375,0
WN11HA,WN1 1HA,WN,78.1,104.3,460,9,18,94.6,131.1,460,19.5,15.3,36,11,1,16.7,18.6,36,0,0,1,2,9,1,10,268,321,291,177,243,257,380
WN11HS,WN1 1HS,WN,23.7,31.6,79.66,,23,66,66,,1.1,4.4,20,,1.1,17.5,17.5,,0,0,0,8,2,0,2,626,588,,632,603,603,
WN11HX,WN1 1HX,WN,58,50.6,80,,19.5,73.9,73.9,,14.8,11.1,20,,1,18.6,18.6,,0,0,0,6,8,0,8,322,34,,34,498,498,
WN11HZ,WN1 1HZ,WN,23.4,58.5,327.55,8,19.3,72.3,104.3,328,1.3,9.9,49.93,1,1.1,15.6,19.9,50,0,0,1,8,7,1,8,484,266,94,274,758,742,631
WN11JU,WN1 1JU,WN,21.4,35.2,80,4.5,20.5,71.6,71.6,,1.1,7.5,20,1.3,0.8,18,18,,2,0,2,4,5,0,5,100,63,33,15,102,102,
WN11LD,WN1 1LD,WN,42.9,44.3,79.67,9,30,68.4,68.4,,14.5,12.1,20,1,13,18.6,18.6,,0,0,3,1,5,0,5,210,68,28,563,249,249,
WN11LR,WN1 1LR,WN,70.4,50.4,80,8,19.5,75.4,75.4,,19.4,11.1,20,0,0.9,19.2,19.2,,0,0,1,10,14,0,14,136,54,0,131,110,110,
WN11NN,WN1 1NN,WN,79.7,67,80,,23.3,78,78,,20,16.2,20,,1.3,19.9,19.9,,0,0,0,3,12,0,12,236,116,,533,143,143,
WN11PE,WN1 1PE,WN,17.8,28.8,79.66,,16.7,53,53,,1.9,5.3,20,,1.3,13.3,13.3,,0,0,0,6,3,0,3,154,116,,114,80,80,
WN11PJ,WN1 1PJ,WN,21.4,26.9,67.84,8,21.3,68,68,,1.2,4.3,20,1,1.3,20,20,,0,0,1,4,1,0,1,60,59,0,43,68,68,
WN11PL,WN1 1PL,WN,18.4,25.1,80,,17.2,51.7,51.7,,1,3.6,20,,1,12.3,12.3,,0,0,0,10,3,0,3,75,30,,29,227,227,
WN11QJ,WN1 1QJ,WN,23.3,40.8,79.76,8,18.5,79.5,79.5,,0.8,8.4,20,0,1,20,20,,0,0,1,2,2,0,2,48,48,0,0,48,48,
WN11QP,WN1 1QP,WN,21.6,32.3,79.66,0,20.5,60,60,,1,6.1,20,0,1,14.5,14.5,,1,0,0,2,2,0,2,92,79,0,72,66,66,
WN11RU,WN1 1RU,WN,64.1,60,80,,20,66.7,66.7,,15,12.8,20,,1.3,14.7,14.7,,0,0,0,3,18,0,18,421,170,,66,480,480,
WN11RY,WN1 1RY,WN,34.2,34.7,80,,19,39.9,39.9,,5.5,6.1,20,,3.5,7,7,,0,0,0,4,12,0,12,1033,813,,719,1139,1139,
WN11RZ,WN1 1RZ,WN,29.7,29.9,39.84,,25.6,37.3,37.3,,6.1,5.6,6.84,,5,6.7,6.7,,0,0,0,5,3,0,3,746,405,,968,377,377,
WN11SA,WN1 1SA,WN,29.3,27,33.97,,23.7,32,32,,4.8,4.1,5.75,,4,4,4,,0,0,0,3,2,0,2,331,177,,231,482,482,
WN11SX,WN1 1SX,WN,107,98.8,205,,,98.8,98.8,,10,14.2,21,,,14.2,14.2,,0,0,0,0,21,0,21,617,491,,,529,529,
WN11UE,WN1 1UE,WN,23.3,44.3,79.76,10,21,79.3,79.3,,1.1,9,20,1,1,20,20,,0,0,1,3,3,0,3,177,183,2,85,268,268,
WN11UP,WN1 1UP,WN,39.8,41.6,80,8,20,55.3,55.3,,10,9.5,20,1,1,13.8,13.8,,0,0,1,1,4,0,4,67,62,7,23,76,76,
WN11UW,WN1 1UW,WN,20.4,42.7,79.76,8,17,79.7,79.7,,1.1,9.1,20,1,1,19.7,19.7,,0,0,1,3,3,0,3,62,40,0,26,97,97,
WN11XD,WN1 1XD,WN,79.8,102.8,205,,,102.8,102.8,,20,18,21,,,18,18,,0,0,0,0,5,0,5,174,77,,,139,139,
WN11XF,WN1 1XF,WN,66.6,58.1,80,,14,64.3,64.3,,18.3,14.6,20,,1,16.6,16.6,,0,0,0,1,7,0,7,411,375,,127,452,452,
WN11XG,WN1 1XG,WN,54.8,47.3,72.59,,19,55.8,55.8,,11.5,12.9,20,,4.7,15.4,15.4,,0,0,0,3,10,0,10,609,366,,380,678,678,
WN11XP,WN1 1XP,WN,72.5,74.1,205,9,11,86.9,86.9,,10,12.2,21,1,1,14.5,14.5,,0,0,1,1,10,0,10,409,419,0,0,369,369,
WN11XR,WN1 1XR,WN,66.5,62.1,205,6,16.3,86.8,86.8,,14.3,11.8,21,0.5,1,17.3,17.3,,0,1,1,4,12,0,12,253,82,8,686,150,150,
WN11XT,WN1 1XT,WN,74.1,80.3,205,3.5,15,100.2,100.2,,10,12,21,0.5,1,15,15,,1,0,1,1,11,0,11,332,229,150,131,323,323,
WN11XW,WN1 1XW,WN,107,155.2,460,,,94.2,155.2,460,14.8,17.5,36,,,13.8,17.5,36,0,0,0,0,5,1,6,594,673,,,642,594,354
WN11XY,WN1 1XY,WN,92.6,101.8,331,,14.5,93.9,123.5,331,10,13.3,36,,1,13.6,16.4,36,0,0,0,2,7,1,8,499,279,,1221,356,319,62
WN11YE,WN1 1YE,WN,107,92.2,205,,19.6,119.8,119.8,,10,9.7,21,,1.1,13,13,,0,0,0,8,21,0,21,263,100,,449,142,142,
WN11YF,WN1 1YF,WN,77.8,99.5,593,,20.4,84.5,115.9,462,10,13.7,39,,2.8,14,16,37.5,0,0,0,5,22,2,24,508,210,,457,330,455,1834
WN11YP,WN1 1YP,WN,18.5,30.5,78.12,,18.5,78,78,,1.1,4.7,19.53,,1,20,20,,0,0,0,4,1,0,1,162,41,,22,557,557,
WN11ZL,WN1 1ZL,WN,40,46.3,65.45,,21,50.5,50.5,,10,12.5,20,,1,14.3,14.3,,0,0,0,1,6,0,6,477,469,,73,545,545,
