postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
WR101AA,WR10 1AA,WR,68.1,62.4,80,8,19,69,69,,20,16.5,20,1,1,18.5,18.5,,0,0,1,1,15,0,15,176,105,0,3,199,199,
WR101AJ,WR10 1AJ,WR,65.6,60.8,79.67,,13.5,65.3,65.3,,19.5,15.6,20,,0.5,17,17,,0,0,0,2,21,0,21,347,108,,131,368,368,
WR101AL,WR10 1AL,WR,66.1,61.7,79.93,,19,65.5,65.5,,11.6,13.4,20,,1,14.5,14.5,,0,0,0,1,11,0,11,269,148,,304,266,266,
WR101AT,WR10 1AT,WR,55.6,54.9,79.91,,16.8,60.3,60.3,,13.9,13.7,20,,3.8,15.1,15.1,,0,0,0,5,35,0,35,284,112,,107,309,309,
WR101AW,WR10 1AW,WR,49.8,52.3,80,,18.3,61.5,61.5,,11.7,12.3,20,,1,15.4,15.4,,0,0,0,3,11,0,11,41,10,,7,47,47,
WR101AX,WR10 1AX,WR,65.7,54.9,80,2,22.3,65.7,65.7,,11.7,12.3,20,1,3,15.1,15.1,,0,1,0,4,17,0,17,215,137,56,269,212,212,
WR101AY,WR10 1AY,WR,79.7,75,79.67,,,75,75,,20,19.1,20,,,19.1,19.1,,0,0,0,0,7,0,7,278,333,,,238,238,
WR101AZ,WR10 1AZ,WR,41.6,51,78.12,,18.7,57.9,57.9,,15.9,14.2,20,,7.3,15.6,15.6,,0,0,0,3,14,0,14,154,81,,28,170,170,
WR101BB,WR10 1BB,WR,75.9,63.2,79.91,,21,69.8,69.8,,19.5,15.1,20,,1,17.2,17.2,,0,0,0,2,13,0,13,148,83,,15,134,134,
WR101BG,WR10 1BG,WR,39.8,41.7,79.67,6,19.8,54.1,54.1,,6,7.4,19.98,0,1.3,10.6,10.6,,0,0,1,4,10,0,10,78,20,0,15,96,96,
WR101BJ,WR10 1BJ,WR,40,40.4,80,,19.6,55.1,55.1,,8.6,7.1,20,,1.2,11.4,11.4,,0,0,0,5,7,0,7,333,107,,136,474,474,
WR101BL,WR10 1BL,WR,59.6,51.4,79.67,,20.5,69,69,,8.3,10.3,20,,2,15,15,,0,0,0,4,7,0,7,265,296,,169,321,321,
WR101BN,WR10 1BN,WR,76.3,68.7,79.91,,21,76.7,76.7,,20,17.2,20,,1,20,20,,0,0,0,1,6,0,6,631,495,,44,729,729,
WR101BP,WR10 1BP,WR,40,42.1,80,8,19.4,52,52,,10,9.5,20,1,1.5,12.9,12.9,,0,0,1,17,42,0,42,298,148,4,90,382,382,
WR101BS,WR10 1BS,WR,39.8,41.5,59.02,,22.5,45.7,45.7,,10,8.2,10.88,,4,9.1,9.1,,0,0,0,2,9,0,9,64,46,,183,38,38,
WR101BT,WR10 1BT,WR,80,135,550,,,103.1,135,550,20,24.6,75,,,20.8,24.6,75,0,0,0,0,13,1,14,500,456,,,471,500,882
WR101BU,WR10 1BU,WR,80,113.9,220,,,113.9,113.9,,20,22.1,30,,,22.1,22.1,,0,0,0,0,14,0,14,721,505,,,721,721,
WR101BW,WR10 1BW,WR,50.4,48,79.67,,17.9,58,58,,10,11.6,20,,2.4,14.6,14.6,,0,0,0,7,21,0,21,379,148,,54,452,452,
WR101BY,WR10 1BY,WR,48.2,52.2,79.67,,20.3,62,62,,11.3,12.3,20,,1.3,15.7,15.7,,0,0,0,4,13,0,13,151,88,,14,194,194,
WR101BZ,WR10 1BZ,WR,46.5,46.4,78.12,,19,55.5,55.5,,10,9,19.53,,1.5,11.7,11.7,,0,0,0,2,6,0,6,420,252,,79,463,463,
WR101DA,WR10 1DA,WR,69,55.6,80,6,20.8,68.2,68.2,,19.5,13,20,1,1.1,17.1,17.1,,0,0,1,8,26,0,26,588,354,53,140,746,746,
WR101DB,WR10 1DB,WR,47.4,54.7,78.12,,,54.7,54.7,,10,12.9,19.53,,,13,13,,0,0,0,0,6,0,6,596,505,,,597,597,
WR101DE,WR10 1DE,WR,77.7,59.3,79.73,,23,65.3,65.3,,19.5,14.3,20,,1,16.5,16.5,,0,0,0,1,6,0,6,1156,905,,268,1304,1304,
WR101DG,WR10 1DG,WR,54.8,53.2,79.97,,19.7,62.9,62.9,,10,12.3,20,,1.2,15.5,15.5,,0,0,0,9,31,0,31,560,507,,168,656,656,
WR101DJ,WR10 1DJ,WR,40,47.7,79.91,,24,52,52,,10,11.7,20,,1,13.6,13.6,,0,0,0,2,11,0,11,221,78,,14,259,259,
WR101DN,WR10 1DN,WR,59.8,58.9,80,,,58.9,58.9,,15,14.3,20,,,14.4,14.4,,0,0,0,0,8,0,8,288,225,,,288,288,
WR101DP,WR10 1DP,WR,63.5,59.2,80,,16,65.4,65.4,,12.6,13.5,20,,1,15.3,15.3,,0,0,0,1,7,0,7,408,144,,0,350,350,
WR101DR,WR10 1DR,WR,54.8,57.6,79.67,,,57.6,57.6,,10,13.6,20,,,13.6,13.6,,0,0,0,0,7,0,7,935,780,,,935,935,
WR101DT,WR10 1DT,WR,48.1,43.2,78.51,8,21,53.6,53.6,,9.9,8.6,18.66,1,1,11.8,11.8,,0,0,1,4,12,0,12,153,46,2,7,215,215,
WR101DU,WR10 1DU,WR,46.8,46.8,76.56,,20,53.5,53.5,,10,10.1,20,,1,12.4,12.4,,0,0,0,5,20,0,20,339,65,,110,379,379,
WR101DW,WR10 1DW,WR,23.2,35.3,160,9,23,160,160,,1.1,3.9,30,0,1.1,30,30,,0,0,1,8,1,0,1,521,319,407,533,535,535,
WR101DX,WR10 1DX,WR,39.8,29.7,39.84,,16.3,39.8,39.8,,10,6.2,10,,1,10,10,,0,0,0,3,4,0,4,75,14,,25,113,113,
WR101EA,WR10 1EA,WR,39.8,39,79.75,6,21.6,56.1,56.1,,10,7.8,20,3,1.2,13.3,13.3,,0,0,1,5,7,0,7,190,122,64,147,239,239,
