postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
WS100AS,WS10 0AS,WS,77.7,136.7,593,,,91.1,136.7,593,20,19.9,39,,,18,19.9,39,0,0,0,0,10,1,11,496,57,,,447,406,0
WS100AT,WS10 0AT,WS,74,50.4,79.75,5,14,77.7,77.7,,20,12.3,20,0,1,20,20,,0,1,0,1,3,0,3,27,26,6,26,35,35,
WS100AW,WS10 0AW,WS,62.4,52.3,79.66,,15,71,71,,15.1,12,20,,1,17.5,17.5,,0,0,0,2,4,0,4,141,42,,12,206,206,
WS100BB,WS10 0BB,WS,60.9,80.5,205,9,16,89.7,89.7,,11.7,13.9,21,1,1,15.7,15.7,,0,0,1,1,15,0,15,432,330,65,146,446,446,
WS100BD,WS10 0BD,WS,79.5,122.2,593,,22,94.6,126.5,462,19.5,17.9,39,,1,16.8,18.6,37.5,0,0,0,1,21,2,23,687,473,,265,651,616,249
WS100BE,WS10 0BE,WS,79.9,112.2,460,,19.7,105.9,135.4,460,19.5,14.7,36,,1,16.5,18.1,36,0,0,0,3,11,1,12,605,312,,195,684,707,961
WS100BG,WS10 0BG,WS,76.6,167.6,1096,,25,72.6,179.4,713.5,17.6,18.7,49,,6,15.2,19.8,42.5,0,0,0,1,10,2,12,524,363,,267,550,458,0
WS100BH,WS10 0BH,WS,80,126.2,593,,13.8,98.8,149.7,505.7,10,14.2,39,,1,14,17,38,0,0,0,5,21,3,24,461,346,,220,447,415,193
WS100BJ,WS10 0BJ,WS,75.2,90,460,,18.4,89.6,103.3,460,10,13.2,36,,1,14.7,15.4,36,0,0,0,5,26,1,27,468,378,,353,451,472,1017
WS100BL,WS10 0BL,WS,77.9,91.6,331,,16.8,86.5,99.7,331,10,12.9,36,,1,13,14.2,36,0,0,0,4,35,2,37,406,228,,25,428,425,388
WS100BN,WS10 0BN,WS,62.5,127.3,1096,10,15,90.6,157.6,1096,17.8,14.5,49,1,1,15.9,18.1,49,0,0,1,3,14,1,15,283,139,56,143,329,307,0
WS100BP,WS10 0BP,WS,52,151.8,1096,8,29,84.1,176.1,1096,8.5,11.6,49,4,4,9.3,12.9,49,0,0,1,1,10,1,11,123,99,251,94,76,69,0
WS100BQ,WS10 0BQ,WS,78.8,123.7,593,,18.5,98,139.9,461.3,19.5,17.1,39,,4.5,16.7,19,37,0,0,0,4,23,3,26,511,530,,503,514,492,325
WS100BS,WS10 0BS,WS,68.9,95.6,593,7,16.7,85.5,122.3,526.5,10,13.3,39,1,3.3,14.8,16.7,37.5,0,0,1,7,22,2,24,370,130,111,115,390,440,990
WS100BT,WS10 0BT,WS,39.9,134.2,1096,3,20.3,86.2,180.7,716.3,7.5,11,49,1,2.9,9.6,14.4,41.3,0,1,0,7,17,3,20,284,220,50,273,264,286,411
WS100BW,WS10 0BW,WS,67.9,115.8,593,,18.5,88,136.7,428.8,15.4,15.1,39,,1.2,15,18.1,36.8,0,0,0,6,24,4,28,490,409,,143,510,529,645
WS100BX,WS10 0BX,WS,78.1,70.8,79.91,1,,78.6,78.6,,19.5,17.7,20,0,,19.7,19.7,,1,0,0,0,9,0,9,654,492,34,,723,723,
WS100BY,WS10 0BY,WS,64.1,74.9,460,10,18.3,67.4,86.1,460,10,13.3,36,1,1,14.7,15.7,36,0,0,1,3,20,1,21,219,103,9,36,235,245,435
WS100BZ,WS10 0BZ,WS,79.7,83.9,205,8,19,92.5,92.5,,11.3,13.7,21,1,1,15.3,15.3,,0,0,1,2,24,0,24,373,271,2,1,388,388,
WS100DA,WS10 0DA,WS,70.5,58.2,80,,20.3,66.9,66.9,,18.1,14.3,20,,2.5,17.1,17.1,,0,0,0,6,26,0,26,301,253,,166,320,320,
WS100DB,WS10 0DB,WS,79.7,135.2,593,0,16.5,101.8,146.8,462,19.5,17.4,39,1,1,16.3,19,37.5,1,0,0,2,28,4,32,416,285,23,644,393,388,349
WS100DD,WS10 0DD,WS,62.6,55.7,80,10,14,61.3,61.3,,18.9,14.6,20,1,1,16.4,16.4,,0,0,1,6,53,0,53,638,426,136,161,690,690,
WS100DF,WS10 0DF,WS,79.2,99.2,331,8,19.8,105.9,111.7,331,19.1,15,36,1,4.6,16.2,16.7,36,0,0,1,5,38,1,39,554,291,5,59,611,603,291
WS100DG,WS10 0DG,WS,79.7,103.1,593,,15.5,95.8,121.9,462,10,13.5,39,,1.2,14.6,16.2,37.5,0,0,0,6,26,2,28,400,252,,69,432,442,576
WS100DH,WS10 0DH,WS,107,171.5,1096,,13,96.2,178.1,587.8,19.5,18.2,49,,1,14.8,19,40,0,0,0,1,20,4,24,437,324,,103,501,433,89
WS100DJ,WS10 0DJ,WS,79.9,132.7,593,9.5,14.7,94.8,149.4,488.2,19.5,16.2,39,1,1,15.1,18.3,37.8,0,0,2,3,31,5,36,392,183,134,61,388,379,328
WS100DL,WS10 0DL,WS,107,118.3,205,,,118.3,118.3,,19.5,17.2,21,,,17.3,17.3,,0,0,0,0,11,0,11,757,629,,,757,757,
WS100DN,WS10 0DN,WS,77.2,102.9,593,,13.7,90.6,117,593,10.2,13.7,39,,1,14.4,15.7,39,0,0,0,3,18,1,19,408,192,,118,434,411,0
WS100DP,WS10 0DP,WS,79.8,158.9,593,,16,103.2,168.5,593,19.7,19.3,39,,1,17.7,20.5,39,0,0,0,1,13,2,15,546,395,,9,588,509,0
WS100DQ,WS10 0DQ,WS,78.1,117.4,593,,14,96.7,132.1,593,10,14,39,,1,14.1,15.9,39,0,0,0,4,26,2,28,449,364,,43,511,475,0
WS100DR,WS10 0DR,WS,70.6,53.4,79.67,8,13,65.7,65.7,,19.5,14.5,20,1,1,18.4,18.4,,0,0,1,1,7,0,7,406,253,0,154,442,442,
WS100DS,WS10 0DS,WS,63.4,63.6,78.12,,,63.6,63.6,,18.2,16,20,,,16,16,,0,0,0,0,29,0,29,714,579,,,714,714,
WS100DT,WS10 0DT,WS,62.3,52.3,79.67,9,14.1,64.9,64.9,,18.1,13.6,20,1,1,17.6,17.6,,0,0,1,10,34,0,34,447,262,65,83,539,539,
WS100DX,WS10 0DX,WS,72.4,77.1,331,9,11.5,74.6,85.7,331,19,14.9,36,1,1,15.8,16.7,36,0,0,1,2,22,1,23,462,293,125,10,506,516,743
WS100DY,WS10 0DY,WS,79.9,111.3,331,8,11,116.4,128.3,331,19.5,15.3,36,1,1,16.6,17.7,36,0,0,2,1,17,1,18,484,373,36,90,440,448,593
WS100DZ,WS10 0DZ,WS,78.1,115,1096,8,11,90.1,121.6,1096,19.5,16.1,49,1,1,16,17,49,0,0,1,1,31,1,32,451,294,19,0,450,436,0
WS100EA,WS10 0EA,WS,13,66.8,593,8.2,15.3,73.2,159.8,593,1,8.2,39,0.8,2,15.8,19.7,39,0,0,6,4,5,1,6,325,63,53,692,293,244,0
WS100EB,WS10 0EB,WS,78.1,83.3,331,6.8,28,89,100.5,331,10,13.6,36,0.8,17,14.9,15.9,36,0,1,3,1,20,1,21,558,380,13,529,528,611,2270
WS100ED,WS10 0ED,WS,61.2,52.8,107,6.5,24,69.2,69.2,,13.2,12.1,20,0.8,1,16.5,16.5,,0,1,3,1,13,0,13,221,112,46,60,271,271,
WS100EE,WS10 0EE,WS,79.1,131.3,460,,,84.4,131.3,460,14.8,16.6,36,,,13.9,16.6,36,0,0,0,0,14,2,16,476,319,,,496,446,102
WS100EF,WS10 0EF,WS,78.1,89.7,331,7.2,,101.1,115.5,331,19.5,14.4,36,1,,17.4,18.6,36,0,1,4,0,15,1,16,370,159,31,,423,430,532
WS100EG,WS10 0EG,WS,75,110.1,593,8,,78.3,117.9,593,19.5,16.6,39,1,,16,17.8,39,0,0,1,0,12,1,13,735,415,34,,732,675,0
WS100EJ,WS10 0EJ,WS,79.7,112.8,331,7,,99.6,123.9,331,19.5,17.3,36,1,,17.1,19.1,36,0,0,2,0,17,2,19,406,278,140,,404,434,687
WS100EL,WS10 0EL,WS,78.1,95.9,593,5.8,,83.9,106.8,462,19.5,15.2,39,1,,15.5,16.9,37.5,0,1,3,0,31,2,33,638,447,134,,678,641,79
WS100EN,WS10 0EN,WS,107,138.6,1096,5,26.5,94.6,146.6,562.2,10,14.7,49,1,6,12.4,15.4,39.2,0,1,0,2,40,5,45,476,304,19,53,461,452,377
WS100EP,WS10 0EP,WS,91.2,141.6,593,5.5,23,99.6,177.2,526.5,10.3,15.8,39,1,10,15,19.1,37.5,0,1,1,1,9,2,11,1011,582,238,220,927,1040,1548
WS100EQ,WS10 0EQ,WS,72.4,61.6,107,7,,72.5,72.5,,10,12,20,1,,14.2,14.2,,0,0,3,0,15,0,15,330,196,84,,336,336,
WS100ES,WS10 0ES,WS,75.9,121.1,460,7,,88.9,128.4,395.5,12.5,15.9,36,0.5,,14.1,16.9,36,0,1,1,0,27,4,31,722,434,83,,706,694,611
WS100ET,WS10 0ET,WS,61.7,94.7,460,5.7,,92.3,101.2,460,10,12.7,36,0.7,,13.1,13.6,36,0,1,2,0,40,1,41,421,297,25,,416,450,1800
WS100EU,WS10 0EU,WS,75.8,116.4,593,5,13,86.9,123.2,435.8,15.1,16.2,39,0.5,8,14.7,17.1,37.2,0,1,1,1,43,5,48,427,262,17,144,429,406,207
