postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
WV100AE,WV10 0AE,WV,107,155.2,331,,26,139.7,187.5,331,10,16.7,36,,7,13.7,19.3,36,0,0,0,1,3,1,4,290,268,,50,343,350,371
WV100AG,WV10 0AG,WV,39.9,36.4,78.42,6.8,24,43.1,43.1,,10,9.5,20,1.5,6,11.3,11.3,,0,1,5,2,30,0,30,426,192,272,282,466,466,
WV100AH,WV10 0AH,WV,79.9,93.6,205,,11.7,108.1,108.1,,19.7,15.6,30.07,,1,18.2,18.2,,0,0,0,3,17,0,17,675,597,,272,667,667,
WV100AJ,WV10 0AJ,WV,79,109,593,10,13.3,102.5,133.2,593,15.7,14.8,39,1,1,16.9,18.3,39,0,0,1,3,15,1,16,680,451,17,128,789,740,0
WV100AL,WV10 0AL,WV,76.8,87.8,331,4.7,17.5,97.5,112.1,331,10,12.4,36,1,3.5,14.3,15.7,36,0,2,1,2,15,1,16,616,459,177,297,673,662,491
WV100AP,WV10 0AP,WV,58.8,104,593,9.5,13,84.7,120.4,418.3,10,12,39,1,2.7,11,13.8,37,0,0,2,3,25,3,28,452,281,369,429,434,428,375
WV100AR,WV10 0AR,WV,65.2,62.9,107,10,18,70.5,70.5,,10,13.5,20,1,7,15,15,,0,0,1,1,13,0,13,389,274,79,193,428,428,
WV100AT,WV10 0AT,WV,72.9,106.2,593,,15.3,79.5,115.6,548.7,19.5,18.1,39,,5,17.9,19.5,38,0,0,0,4,36,3,39,708,658,,394,707,686,434
WV100AU,WV10 0AU,WV,38.3,40.8,107,9,13,50,50,,9.9,8.8,20,1,1,11.2,11.2,,0,0,2,1,10,0,10,499,253,102,643,564,564,
WV100AW,WV10 0AW,WV,79,82,155.77,,13,91.7,91.7,,14.8,15,30,,1,17,17,,0,0,0,1,7,0,7,489,431,,331,442,442,
WV100AX,WV10 0AX,WV,78.1,114.5,593,,14.5,94.6,123,428.8,10,15.1,39,,1,14.4,16.3,36.8,0,0,0,4,43,4,47,375,308,,39,365,379,536
WV100AZ,WV10 0AZ,WV,107,125.9,460,,14,112,129.2,395.5,19.5,16.3,36,,1,15.5,16.8,36,0,0,0,1,31,2,33,421,211,,42,420,407,216
WV100BA,WV10 0BA,WV,54.8,51.1,80,,14.8,60.8,60.8,,12.1,12.7,20,,2.3,15.5,15.5,,0,0,0,12,45,0,45,437,324,,198,481,481,
WV100BB,WV10 0BB,WV,39.9,68.8,205,8,28.5,78.5,78.5,,10,10,21,1,9,11,11,,0,0,3,2,27,0,27,417,345,190,512,420,420,
WV100BE,WV10 0BE,WV,40,41.4,60.19,9,,45.2,45.2,,10,12.6,20,1,,14,14,,0,0,3,0,25,0,25,675,650,243,,727,727,
WV100BH,WV10 0BH,WV,107,105,331,,19,100.2,119.4,331,10,11.1,36,,1,10.7,12.8,36,0,0,0,2,11,1,12,226,32,,269,198,182,0
WV100BJ,WV10 0BJ,WV,29.5,47.2,205,7,21.1,76.4,76.4,,4.8,5.5,21,0.5,3.1,8.3,8.3,,0,0,2,17,18,0,18,364,247,107,381,356,356,
WV100BL,WV10 0BL,WV,52,79.7,205,,17,85.9,85.9,,9,8.7,21,,1,9.5,9.5,,0,0,0,1,10,0,10,657,316,,196,703,703,
WV100BN,WV10 0BN,WV,39.9,89.8,460,7,22.5,82.1,120.6,382.6,8,9.8,36,0.8,3.7,9.4,12.8,36,0,1,3,13,34,5,39,501,414,161,534,418,513,1158
WV100BP,WV10 0BP,WV,14.1,11.6,17.9,5,16.3,,,,1.1,1.1,1.43,1,1.3,,,,1,0,1,3,0,0,0,118,89,79,144,,,
WV100BS,WV10 0BS,WV,27.7,46,205,,22.7,81,81,,7.2,7.3,21,,5,11,11,,0,0,0,6,4,0,4,507,424,,556,433,433,
WV100BT,WV10 0BT,WV,52,105.8,460,,19.8,81.9,113.8,356.8,8.5,11.7,36,,3.5,9.3,12.4,36,0,0,0,4,38,5,43,627,628,,316,633,627,577
