postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
YO103AA,YO10 3AA,YO,107,155.6,900,,18,123.3,234.3,900,10,88.6,900,,1,11.8,138.7,900,0,0,0,4,6,1,7,367,365,,172,418,427,479
YO103AB,YO10 3AB,YO,107,193.8,900,2,20,117.8,283.7,615.5,10,109.5,900,1,1,11.5,163.7,468,0,1,0,2,4,2,6,497,216,41,199,677,590,417
YO103AE,YO10 3AE,YO,21.3,77.8,205,,19,180.5,180.5,,1.2,7.3,21,,1.1,18.3,18.3,,0,0,0,7,4,0,4,739,855,,431,1093,1093,
YO103AF,YO10 3AF,YO,20.9,81.4,593,8,19.4,79.5,250.7,593,1.2,5.6,39,1,1,7.5,18,39,0,0,1,7,2,1,3,455,333,130,416,753,502,0
YO103AG,YO10 3AG,YO,36,36.4,57.6,,16.5,42.5,42.5,,6.2,7.1,16.56,,1,9,9,,0,0,0,4,13,0,13,332,291,,128,369,369,
YO103AH,YO10 3AH,YO,40,56.6,158.74,,17,67.9,67.9,,10,13.4,29.97,,1,16.9,16.9,,0,0,0,2,7,0,7,401,376,,79,379,379,
YO103AJ,YO10 3AJ,YO,61.9,68.6,151.01,,,68.5,68.5,,18.4,17.2,29.96,,,17.3,17.3,,0,0,0,0,11,0,11,466,271,,,424,424,
YO103AL,YO10 3AL,YO,20.2,162.7,900,7.5,17.5,128.8,321.6,900,1.2,113,900,1,1.1,12.4,234.3,900,0,0,2,11,9,3,12,420,282,147,308,618,569,424
YO103AN,YO10 3AN,YO,107,138.1,900,,19.8,131.5,216.9,900,10,67.3,900,,1.2,12.8,111.3,900,0,0,0,6,8,1,9,336,151,,103,383,416,683
YO103AP,YO10 3AP,YO,22.8,50.4,107,,21.6,86.5,86.5,,1.3,5.6,20,,1.2,11.3,11.3,,0,0,0,5,4,0,4,349,218,,450,135,135,
YO103AQ,YO10 3AQ,YO,38.2,34.9,45.1,,23.7,38.7,38.7,,7.4,6.3,10,,4,7.1,7.1,,0,0,0,3,9,0,9,352,118,,929,160,160,
YO103AR,YO10 3AR,YO,49.8,56.3,107,6,19,98,98,,5.6,7.1,20,0,1,13.3,13.3,,0,0,1,2,3,0,3,227,131,121,81,360,360,
YO103AS,YO10 3AS,YO,36.1,100.7,900,,16.4,71.4,135.4,615.5,5.3,44.8,900,,2.9,7.9,62.1,468,0,0,0,7,15,2,17,368,314,,328,241,298,727
YO103AT,YO10 3AT,YO,57,172.2,900,,19,97.6,207,900,10,108.2,900,,1.8,11.3,132.5,900,0,0,0,5,19,3,22,338,205,,230,264,331,754
YO103AU,YO10 3AU,YO,107,189.9,900,1,13,95.4,211.5,753.3,10,106.8,900,1,1,13.6,119.2,612,1,0,0,1,14,3,17,529,593,4,11,519,497,396
YO103AW,YO10 3AW,YO,31.3,136.1,900,9,18.3,110.7,254.2,900,3.1,87.2,900,1,1.1,11.8,173.3,900,0,0,1,21,18,4,22,591,515,151,482,633,661,786
YO103AX,YO10 3AX,YO,61.7,161.6,900,7,18.3,83.3,183.3,757.8,19.5,101.7,900,1,3,17.7,116.4,684,0,0,1,3,23,4,27,759,660,2,596,802,777,633
YO103AY,YO10 3AY,YO,66.6,133,900,6.5,22,76.7,144.7,604.3,19.5,43.8,900,1,1,17.5,48,253.5,0,1,1,1,27,4,31,549,327,53,2192,532,492,224
YO103BA,YO10 3BA,YO,57.8,55.3,205,3.7,13,75.6,75.6,,14.8,12.6,21,0.7,4,17,17,,1,1,1,3,14,0,14,207,100,10,13,277,277,
YO103BB,YO10 3BB,YO,70.8,71.6,107,,,71.7,71.7,,19.5,16.4,19.53,,,16.3,16.3,,0,0,0,0,6,0,6,638,634,,,638,638,
YO103BE,YO10 3BE,YO,39.9,34.4,76.37,7,14.5,55.7,55.7,,10,8.2,20,1.3,1,14.3,14.3,,0,0,4,2,7,0,7,98,75,155,93,66,66,
YO103BG,YO10 3BG,YO,40.5,84.1,593,6.7,25.1,70.2,105.8,462,10,11.4,39,1,7.6,11.3,13.7,37.5,0,1,6,7,40,4,44,328,217,72,308,364,350,206
YO103BH,YO10 3BH,YO,39.9,67.4,205,6,,77.7,77.7,,10,10,21,1,,11.5,11.5,,0,0,1,0,6,0,6,250,223,25,,287,287,
YO103BJ,YO10 3BJ,YO,40.2,78.8,460,9,17,41.4,111.2,460,10,10.8,36,1,5.5,9.8,14.2,36,0,0,1,2,5,1,6,477,292,140,293,312,515,1528
YO103BP,YO10 3BP,YO,78.5,198.4,900,,,98.1,198.4,900,20,132.1,900,,,22.4,132.1,900,0,0,0,0,7,1,8,843,700,,,827,843,957
YO103BQ,YO10 3BQ,YO,41.5,47.9,107,,,47.9,47.9,,10.9,11.4,15.14,,,11.4,11.4,,0,0,0,0,10,0,10,414,225,,,414,414,
YO103BS,YO10 3BS,YO,59.2,57.4,107,,,57.4,57.4,,19,16.2,20,,,16.2,16.2,,0,0,0,0,19,0,19,907,929,,,907,907,
YO103BW,YO10 3BW,YO,61.3,52.6,69.42,,14,56.9,56.9,,19.5,15,20,,1,16.6,16.6,,0,0,0,1,9,0,9,692,664,,553,708,708,
YO103BX,YO10 3BX,YO,79.8,225.8,900,,16,83.3,260.7,615.5,20,143.8,900,,1,17.5,167.7,468,0,0,0,1,4,2,6,314,204,,98,220,349,609
YO103BY,YO10 3BY,YO,65.7,101.6,900,6,17.3,94,144.4,900,10,48.2,900,1,2,16.1,71.4,900,0,0,1,7,15,1,16,418,298,32,245,429,439,593
YO103BZ,YO10 3BZ,YO,78.1,155.6,900,,14.3,89.1,179.2,900,16.4,97.6,900,,1,15.4,113.7,900,0,0,0,3,16,2,18,333,336,,386,295,287,222
YO103DA,YO10 3DA,YO,15.8,65.9,900,7.7,16,88.3,209.7,604.3,1.2,18.7,900,0.8,1.3,10.8,67.9,253.5,0,2,4,42,13,4,17,487,343,170,532,396,316,54
YO103DB,YO10 3DB,YO,37.5,77.9,331,6,25,54.8,94.3,331,8,10.4,36,1,5,8.3,12.3,36,0,0,1,3,12,2,14,521,375,0,266,269,464,1639
YO103DD,YO10 3DD,YO,78.1,214.8,900,9,,91.4,223.4,724.8,19.5,122.7,900,1,,15.4,127.8,555,0,0,1,0,19,5,24,443,251,73,,461,421,272
YO103DE,YO10 3DE,YO,71.3,75.1,294.7,7.5,14,87.3,87.3,,19.1,17.1,49.9,1,1,20.1,20.1,,0,0,2,1,16,0,16,577,513,326,308,590,590,
YO103DF,YO10 3DF,YO,13.3,28.3,75.54,8.5,13.7,70,70,,1.1,5.6,19.53,1,1,17,17,,0,0,2,3,2,0,2,378,404,213,397,514,514,
YO103DG,YO10 3DG,YO,64.1,65.1,159.98,4,22,73.8,73.8,,19.1,15.4,29.98,1,1,17.8,17.8,,0,1,0,1,12,0,12,371,323,24,437,394,394,
YO103DH,YO10 3DH,YO,79,75.8,107,,21,83.6,83.6,,10,11.9,20,,1,13.4,13.4,,0,0,0,1,7,0,7,301,166,,112,285,285,
YO103DJ,YO10 3DJ,YO,78.1,77.9,156.14,,17,88,88,,10,12.9,29.32,,1,14.8,14.8,,0,0,0,1,6,0,6,311,307,,39,305,305,
YO103DL,YO10 3DL,YO,63.5,70.1,153,,17,74.9,74.9,,19.1,16.5,30,,1,17.9,17.9,,0,0,0,1,11,0,11,458,368,,1275,384,384,
YO103DT,YO10 3DT,YO,13.7,24.5,54.04,10,12.4,43.5,43.5,,0.9,3.4,9.46,1,0.9,7.3,7.3,,0,0,2,7,6,0,6,748,683,560,491,1111,1111,
YO103DW,YO10 3DW,YO,67.6,62.1,154.56,8.5,16,72,72,,20,16,29.09,1,1.5,18.9,18.9,,0,0,2,2,20,0,20,230,78,14,75,244,244,
YO103DY,YO10 3DY,YO,55.6,74.2,331,7.5,20,84,93.2,331,10,12.1,36,1,2.9,14.5,15.3,36,0,0,2,7,26,1,27,465,459,103,259,440,493,1885
YO103DZ,YO10 3DZ,YO,78.1,69.4,107,,22,74.2,74.2,,10,13.4,20,,1,14.7,14.7,,0,0,0,1,10,0,10,854,924,,1558,784,784,
YO103EA,YO10 3EA,YO,107,237,900,,18,88.1,256,731.8,20,157,900,,1,14.8,170.6,612,0,0,0,2,17,6,23,405,264,,361,237,338,624
YO103EB,YO10 3EB,YO,54.8,78.7,205,10,21,90.8,90.8,,10,13.8,29.99,1,3,16.1,16.1,,0,0,1,3,20,0,20,423,292,301,112,434,434,
YO103EE,YO10 3EE,YO,23.7,35.8,70.28,,21.3,52.8,52.8,,1.3,7.1,19.37,,1.1,14.1,14.1,,0,0,0,14,12,0,12,607,599,,462,624,624,
YO103EF,YO10 3EF,YO,80,135.3,331,,14,101.6,147.5,331,19.5,19.3,36,,1,17.5,21.2,36,0,0,0,1,8,2,10,1127,961,,186,1256,1109,521
YO103EG,YO10 3EG,YO,22.4,47.9,205,5,19,91,91,,1.2,7.2,21,0,1.2,16,16,,0,0,1,6,5,0,5,709,528,64,386,1225,1225,
YO103EH,YO10 3EH,YO,78.6,105.4,331,,24,100.5,117,331,19.5,16.4,36,,4,16.8,18.2,36,0,0,0,2,13,1,14,479,414,,380,362,425,1252
YO103EJ,YO10 3EJ,YO,71.4,125.4,900,,17,74.5,138.1,615.5,10,60.3,900,,1,13.8,67.2,468,0,0,0,2,15,2,17,381,324,,389,376,380,411
YO103EL,YO10 3EL,YO,65.9,53.9,107,,16.9,77.3,77.3,,10,10.1,20,,1.2,15.7,15.7,,0,0,0,12,19,0,19,401,312,,282,434,434,
YO103EN,YO10 3EN,YO,75.1,61.4,107,,16,84.3,84.3,,14.5,11.8,20,,1,17.3,17.3,,0,0,0,2,4,0,4,394,248,,31,576,576,
YO103EP,YO10 3EP,YO,78.5,133,900,,18.7,92.1,172.6,615.5,10,63.7,900,,2.7,15.1,84.8,468,0,0,0,9,22,4,26,542,500,,609,383,414,585
YO103EQ,YO10 3EQ,YO,76.4,87.7,331,,18.4,93.4,105.9,331,10,13.3,36,,1,15.4,16.5,36,0,0,0,5,18,1,19,520,431,,579,340,341,347
YO103EU,YO10 3EU,YO,74.9,65.2,107,,19,67.4,67.4,,14,14.3,20,,1,14.9,14.9,,0,0,0,1,21,0,21,610,344,,0,639,639,
YO103EW,YO10 3EW,YO,54.8,72.2,331,8,14.3,70.2,93.9,331,10,11.9,36,1,1,13.9,15.9,36,0,0,1,3,10,1,11,470,376,161,118,502,552,1052
YO103EX,YO10 3EX,YO,80,77.6,205,,20.5,91.8,91.8,,10,11.6,21,,1.3,14.1,14.1,,0,0,0,4,16,0,16,315,282,,77,355,355,
YO103EY,YO10 3EY,YO,54.8,64.4,205,,19.2,78.9,78.9,,10,10.3,21,,1.6,13.1,13.1,,0,0,0,10,31,0,31,358,255,,125,375,375,
YO103FA,YO10 3FA,YO,65.5,59.1,77.49,,,59.1,59.1,,18.5,15.9,20,,,15.9,15.9,,0,0,0,0,8,0,8,325,324,,,325,325,
YO103FD,YO10 3FD,YO,54.8,66.8,158.51,,15,79.8,79.8,,10,13.8,29.12,,1,17,17,,0,0,0,1,4,0,4,965,686,,252,1144,1144,
YO103FF,YO10 3FF,YO,66.1,58,77.17,8,,65,65,,18.4,15.4,19.53,1,,17.6,17.6,,0,0,1,0,7,0,7,881,758,420,,947,947,
YO103FH,YO10 3FH,YO,40,39.6,66.76,,12.5,50.4,50.4,,10,10,19.53,,1,13.4,13.4,,0,0,0,2,5,0,5,684,684,,9,818,818,
YO103FJ,YO10 3FJ,YO,41.1,43.4,72.94,,14.7,52.9,52.9,,10.6,11.3,20,,1,14.7,14.7,,0,0,0,3,9,0,9,478,394,,352,414,414,
YO103FL,YO10 3FL,YO,56.1,54.1,68.04,,,54.2,54.2,,14.1,14.6,20,,,14.5,14.5,,0,0,0,0,6,0,6,517,355,,,517,517,
YO103HA,YO10 3HA,YO,107,170.4,331,,21.5,139.7,203.4,331,10,17.5,36,,1,13.7,21.1,36,0,0,0,2,6,3,9,734,876,,515,509,457,352
YO103HB,YO10 3HB,YO,107,227.7,900,8,21.5,156,385.8,615.5,10,138.6,900,1,1,15.5,241.8,468,0,0,1,2,2,2,4,276,58,52,31,231,317,403
YO103HD,YO10 3HD,YO,21.8,82.8,331,,17.8,107,256.3,331,1.2,8.2,36,,1,10,27.3,36,0,0,0,8,1,2,3,442,417,,348,517,692,780
YO103HE,YO10 3HE,YO,23.4,136.6,900,8,20.5,122.1,277.9,615.5,1.3,71.6,900,1,1.2,13.3,156.9,468,0,0,1,22,13,6,19,611,373,158,531,657,631,573
YO103HF,YO10 3HF,YO,107,148.5,900,,20.3,141.4,232.1,558.6,10,57.3,900,,1.1,14.1,94,381.6,0,0,0,15,18,5,23,461,448,,388,377,389,432
YO103HG,YO10 3HG,YO,24.2,398.9,900,,23.3,,900,900,1.3,386.4,900,,1.3,,900,900,0,0,0,4,0,3,3,1052,608,,1318,,697,697
YO103HL,YO10 3HL,YO,67.3,57.7,79.76,,18,67.5,67.5,,16.4,12.4,20,,1,15.3,15.3,,0,0,0,1,4,0,4,406,202,,111,480,480,
YO103HN,YO10 3HN,YO,74,191.2,900,,22,77.7,204.2,900,19.8,142.6,900,,1,17.8,153.5,900,0,0,0,1,11,2,13,741,221,,300,453,490,690
YO103HP,YO10 3HP,YO,63.7,158,900,,17.8,79.3,177.5,786.2,14.7,100,900,,2.4,14.5,113.5,727.2,0,0,0,5,31,5,36,468,366,,92,390,468,954
YO103HQ,YO10 3HQ,YO,107,238.3,900,,21.1,126.6,407.1,757.8,10,175.3,900,,1.1,12.2,310.8,684,0,0,0,7,5,4,9,542,465,,284,412,623,886
YO103HR,YO10 3HR,YO,69.5,256.8,900,,14.5,84.4,274.8,818.7,19.5,199.2,900,,3,16.7,213.7,776.6,0,0,0,2,20,7,27,632,623,,9,618,608,578
YO103HS,YO10 3HS,YO,31.4,132,900,,19.7,113.2,244.3,900,5.6,80.6,900,,1.2,12.2,160.2,900,0,0,0,6,5,1,6,486,425,,216,567,675,1214
YO103HT,YO10 3HT,YO,107,239.8,900,,21.5,121.9,285.7,900,19.5,168.1,900,,1.3,17.4,203.2,900,0,0,0,4,15,4,19,701,676,,449,661,717,930
YO103HU,YO10 3HU,YO,76.5,189.6,900,,19.7,80.3,209.2,750.6,14.6,106.7,900,,1,15,118.8,555,0,0,0,3,21,5,26,582,407,,4,464,560,961
