postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
ZE10AB,ZE1 0AB,ZE,51.3,49.9,79.67,,22,53.9,53.9,,10,10.6,20,,1,12,12,,0,0,0,1,7,0,7,382,180,,0,382,382,
ZE10AE,ZE1 0AE,ZE,41.5,46.2,76.33,,23.3,69,69,,10.7,10.3,20,,4,16.7,16.7,,0,0,0,3,3,0,3,550,388,,551,549,549,
ZE10AF,ZE1 0AF,ZE,52.3,56.4,79.41,,23,65.9,65.9,,10,12.3,20,,1,15.4,15.4,,0,0,0,2,7,0,7,252,73,,113,292,292,
ZE10AG,ZE1 0AG,ZE,73.1,68.7,79.91,,,68.7,68.7,,19.5,17.2,20,,,17.2,17.2,,0,0,0,0,11,0,11,534,256,,,534,534,
ZE10AH,ZE1 0AH,ZE,68.5,56.4,79.67,,22.5,65,65,,19.5,13.8,20,,1,17,17,,0,0,0,2,8,0,8,223,141,,44,267,267,
ZE10AL,ZE1 0AL,ZE,62.5,56.6,79.91,,24,63,63,,15,13.1,20,,1,15.4,15.4,,0,0,0,1,5,0,5,217,170,,13,258,258,
ZE10AN,ZE1 0AN,ZE,68.1,55.4,80,8,23,64.8,64.8,,19.5,13.2,20,1,1,16.2,16.2,,0,0,1,2,12,0,12,192,129,32,158,195,195,
ZE10AP,ZE1 0AP,ZE,48.4,50.9,80,,21.6,64.3,64.3,,10,11.3,20,,1.2,16,16,,0,0,0,5,11,0,11,148,114,,56,176,176,
ZE10AQ,ZE1 0AQ,ZE,73.9,63.7,79.67,8,,69.2,69.2,,20,16.5,20,0,,18.1,18.1,,0,0,1,0,10,0,10,217,157,0,,239,239,
ZE10AR,ZE1 0AR,ZE,76.3,63.7,79.67,,21,74.5,74.5,,20,15.9,20,,1,19.5,19.5,,0,0,0,1,4,0,4,709,304,,159,846,846,
ZE10AS,ZE1 0AS,ZE,61.4,59.7,73.43,,,59.7,59.7,,13.6,14.2,20,,,14.2,14.2,,0,0,0,0,6,0,6,302,303,,,302,302,
ZE10AT,ZE1 0AT,ZE,40,45,79.91,8,20.6,59.6,59.6,,10,9.8,20,1,1.3,14.6,14.6,,0,0,1,8,16,0,16,344,280,0,102,465,465,
ZE10AU,ZE1 0AU,ZE,75.9,53.7,79.67,,21.7,77.8,77.8,,19.5,11.8,20,,1,19.8,19.8,,0,0,0,3,4,0,4,389,342,,46,549,549,
ZE10AX,ZE1 0AX,ZE,39.8,41.9,72.52,4,18,54.1,54.1,,10,10.2,19.53,1,4,13.3,13.3,,0,1,0,2,7,0,7,388,231,33,514,347,347,
ZE10AZ,ZE1 0AZ,ZE,54.8,59.9,78.12,,,59.9,59.9,,10,14.2,20,,,14.3,14.3,,0,0,0,0,7,0,7,468,553,,,468,468,
ZE10BA,ZE1 0BA,ZE,48.7,50.9,76.33,,21,59.4,59.4,,10,12,20,,1,15,15,,0,0,0,2,7,0,7,411,165,,188,475,475,
ZE10BB,ZE1 0BB,ZE,33.7,33.9,79.66,,20.4,40.4,40.4,,6.5,6.1,20,,2.8,7.6,7.6,,0,0,0,12,25,0,25,242,148,,115,302,302,
ZE10BE,ZE1 0BE,ZE,72,55.4,79.67,8,21,75.8,75.8,,20,13.6,20,0,1,20,20,,0,0,1,1,4,0,4,429,470,63,0,521,521,
ZE10BG,ZE1 0BG,ZE,47.1,48.3,68.31,,,48.3,48.3,,12,13.4,20,,,13.3,13.3,,0,0,0,0,6,0,6,198,125,,,165,165,
ZE10BJ,ZE1 0BJ,ZE,75.9,65.9,80,,21.5,71.8,71.8,,19.5,15.9,20,,1,17.9,17.9,,0,0,0,2,15,0,15,311,218,,75,322,322,
ZE10BL,ZE1 0BL,ZE,23.8,36.5,78.23,2,19.3,58.7,58.7,,8.5,7.4,20,1,2.1,13.6,13.6,,0,1,0,7,7,0,7,256,141,26,102,406,406,
ZE10BN,ZE1 0BN,ZE,39.1,47.9,79.91,,19.7,69.3,69.3,,9.8,10.4,20,,1,17.3,17.3,,0,0,0,3,4,0,4,365,360,,259,445,445,
ZE10BQ,ZE1 0BQ,ZE,43.8,41.9,79.8,0,19.3,57.9,57.9,,10,8.6,20,0,1.4,13.3,13.3,,1,0,0,8,14,0,14,424,151,4,62,570,570,
