postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines,Latitude,Longitude
AB101AU,AB10 1AU,AB,17.2,15.9,33.38,6.0,17.7,33.0,33.0,,1.1,1.5,10.0,0.8,1.1,10.0,10.0,,1,0,3,12,1,0,1,246.0,198.0,145.0,238.0,2.0,2.0,,57.1474642,-2.0967992
AB101BA,AB10 1BA,AB,18.7,16.2,22.57,3.3,18.9,,,,1.0,1.0,1.28,0.7,1.1,,,,0,3,0,15,0,0,0,164.0,40.0,8.0,140.0,,,,57.14887941666666,-2.0983598333333333
AB101FG,AB10 1FG,AB,16.7,16.3,18.38,,16.3,,,,1.1,1.1,1.24,,1.1,,,,0,0,0,19,0,0,0,253.0,210.0,,226.0,,,,57.14986,-2.09763
AB101FL,AB10 1FL,AB,19.3,23.9,79.13,,18.6,77.0,77.0,,1.1,2.8,20.0,,1.1,20.0,20.0,,0,0,0,20,2,0,2,302.0,211.0,,219.0,524.0,524.0,,57.15019,-2.09687
AB101HF,AB10 1HF,AB,16.6,20.0,62.69,,15.8,63.0,63.0,,1.1,2.5,15.76,,1.1,16.0,16.0,,0,0,0,10,1,0,1,239.0,107.0,,167.0,718.0,718.0,,57.14694315,-2.0979991
AB101HP,AB10 1HP,AB,16.4,17.7,39.87,5.0,16.2,40.0,40.0,,1.0,2.1,9.99,1.0,1.0,10.0,10.0,,0,1,0,6,1,0,1,191.0,145.0,432.0,101.0,488.0,488.0,,57.14705046666666,-2.098899455555556
AB101HW,AB10 1HW,AB,14.0,13.7,19.55,8.0,16.1,,,,0.8,0.8,1.16,1.0,0.7,,,,0,0,3,7,0,0,0,58.0,55.0,5.0,39.0,,,,57.147835560000004,-2.09860031
AB101JE,AB10 1JE,AB,16.4,15.1,18.08,,15.1,,,,1.0,1.1,1.25,,1.0,,,,0,0,0,7,0,0,0,195.0,85.0,,167.0,,,,57.14637762,-2.1006541
AB101JS,AB10 1JS,AB,15.2,17.5,41.77,,14.8,42.0,42.0,,1.1,2.2,12.1,,1.1,12.0,12.0,,0,0,0,9,1,0,1,225.0,78.0,,76.0,892.0,892.0,,57.147161991666664,-2.1020361833333334
AB101JT,AB10 1JT,AB,15.8,17.2,20.82,,17.1,,,,1.1,1.2,1.25,,1.1,,,,0,0,0,7,0,0,0,149.0,65.0,,149.0,,,,57.1477052625,-2.101247925
AB101JX,AB10 1JX,AB,16.8,16.5,20.11,,16.5,,,,1.1,1.1,1.24,,1.0,,,,0,0,0,6,0,0,0,74.0,12.0,,62.0,,,,57.1482004,-2.099749533333333
AB101NN,AB10 1NN,AB,66.9,64.7,156.04,8.0,17.0,79.6,79.6,,19.5,15.4,29.35,1.0,1.0,19.6,19.6,,0,0,1,1,7,0,7,368.0,329.0,154.0,63.0,442.0,442.0,,57.1471611,-2.1052742
AB101NP,AB10 1NP,AB,71.6,118.6,328.7,,,66.0,118.6,329.0,20.0,25.2,49.9,,,19.0,25.2,50.0,0,0,0,0,4,1,5,451.0,309.0,,,486.0,451.0,309.0,57.14732245,-2.1055159
AB101PE,AB10 1PE,AB,59.4,56.2,62.6,,,56.1,56.1,,17.9,15.2,20.0,,,15.3,15.3,,0,0,0,0,7,0,7,199.0,126.0,,,199.0,199.0,,57.14664,-2.11271
AB101PF,AB10 1PF,AB,52.2,52.3,59.16,,,52.3,52.3,,14.2,14.4,20.0,,,14.3,14.3,,0,0,0,0,6,0,6,293.0,165.0,,,293.0,293.0,,57.14721,-2.11208
AB101PR,AB10 1PR,AB,20.5,20.0,21.62,,20.0,,,,1.2,1.1,1.25,,1.0,,,,0,0,0,5,0,0,0,462.0,228.0,,462.0,,,,57.1453817,-2.1042639
AB101QE,AB10 1QE,AB,39.7,39.5,74.96,4.0,22.5,49.6,49.6,,11.2,10.8,20.0,1.0,6.5,13.4,13.4,,0,1,0,2,7,0,7,255.0,147.0,132.0,291.0,226.0,226.0,,57.14774,-2.10826
AB101QH,AB10 1QH,AB,66.1,57.5,80.0,,13.8,65.9,65.9,,19.5,14.6,20.0,,1.0,17.2,17.2,,0,0,0,4,21,0,21,496.0,325.0,,328.0,504.0,504.0,,57.14643,-2.11109
AB101QJ,AB10 1QJ,AB,73.6,73.6,80.0,,,73.6,73.6,,19.5,19.4,20.0,,,19.4,19.4,,0,0,0,0,7,0,7,453.0,364.0,,,453.0,453.0,,57.14646,-2.1116799
AB101QL,AB10 1QL,AB,54.8,46.3,79.76,,15.0,58.0,58.0,,10.0,10.2,20.0,,1.0,13.6,13.6,,0,0,0,3,8,0,8,216.0,95.0,,27.0,287.0,287.0,,57.14624145,-2.112613
AB101QN,AB10 1QN,AB,51.4,53.3,100.0,,16.0,58.6,58.6,,10.0,11.6,19.98,,1.0,12.3,12.3,,0,0,0,2,14,0,14,343.0,174.0,,101.0,378.0,378.0,,57.1458251625,-2.1141219375
AB101RB,AB10 1RB,AB,16.6,19.0,39.89,5.0,17.4,40.0,40.0,,1.2,2.4,9.99,1.0,1.2,10.0,10.0,,0,0,1,5,1,0,1,194.0,26.0,8.0,173.0,483.0,483.0,,57.14633413333334,-2.1048074166666666
AB101RJ,AB10 1RJ,AB,46.2,75.9,327.72,5.0,14.7,77.0,139.8,328.0,10.6,14.2,49.93,0.0,1.0,20.0,27.5,50.0,0,1,0,3,3,1,4,218.0,165.0,50.0,132.0,316.0,270.0,131.0,57.146923825,-2.10630035
AB101RP,AB10 1RP,AB,54.0,63.0,277.91,,14.0,76.4,76.4,,18.2,16.3,49.91,,1.0,20.5,20.5,,0,0,0,3,11,0,11,313.0,158.0,,65.0,352.0,352.0,,57.1472416,-2.1082022
AB101RR,AB10 1RR,AB,66.6,48.7,74.43,,14.0,71.7,71.7,,15.0,11.2,19.53,,1.0,18.0,18.0,,0,0,0,2,3,0,3,516.0,152.0,,6.0,856.0,856.0,,57.146684825,-2.109081925
AB101RT,AB10 1RT,AB,43.5,43.4,78.11,7.0,13.0,75.7,75.7,,10.3,10.4,20.0,1.0,1.0,20.0,20.0,,0,0,1,2,3,0,3,270.0,117.0,30.0,80.0,476.0,476.0,,57.14657,-2.1105299
AB101RX,AB10 1RX,AB,52.0,52.9,143.76,8.0,20.0,62.1,62.1,,19.3,14.7,23.42,1.0,1.5,18.2,18.2,,0,0,1,2,12,0,12,439.0,434.0,71.0,12.0,467.0,467.0,,57.14651,-2.10765
AB101RY,AB10 1RY,AB,16.3,26.3,62.14,9.0,15.8,59.5,59.5,,1.2,5.1,19.53,1.0,1.1,17.3,17.3,,0,0,1,11,4,0,4,358.0,301.0,0.0,230.0,531.0,531.0,,57.14603,-2.10654
AB101SB,AB10 1SB,AB,69.1,54.5,79.94,9.0,13.0,63.7,63.7,,19.2,13.5,20.0,1.0,1.0,16.1,16.1,,0,0,2,2,19,0,19,353.0,236.0,59.0,218.0,379.0,379.0,,57.14452033333334,-2.109335933333333
AB101SE,AB10 1SE,AB,40.0,41.4,74.79,9.0,13.7,45.5,45.5,,10.0,11.2,20.0,3.0,1.0,12.6,12.6,,0,0,1,3,28,0,28,393.0,208.0,5.0,143.0,433.0,433.0,,57.14551,-2.11166
AB101SL,AB10 1SL,AB,25.2,36.1,77.79,8.0,10.5,62.3,62.3,,5.6,7.9,20.0,1.0,1.0,14.7,14.7,,0,0,1,2,3,0,3,179.0,118.0,0.0,1.0,299.0,299.0,,57.14522975,-2.10871205
AB101SN,AB10 1SN,AB,73.9,60.7,140.9,7.7,17.0,76.2,76.2,,19.5,14.4,26.25,1.0,1.0,18.5,18.5,,0,0,3,1,13,0,13,328.0,231.0,246.0,96.0,339.0,339.0,,57.14529145,-2.10996132
AB101SP,AB10 1SP,AB,40.0,38.1,79.2,7.3,12.0,62.2,62.2,,10.0,9.7,20.0,1.0,1.0,16.8,16.8,,0,1,2,2,6,0,6,159.0,113.0,38.0,62.0,200.0,200.0,,57.14424116,-2.109723386666667
AB101SQ,AB10 1SQ,AB,57.0,50.7,69.4,,12.0,60.3,60.3,,17.6,14.2,20.0,,1.0,17.5,17.5,,0,0,0,1,4,0,4,461.0,62.0,,0.0,461.0,461.0,,57.14398240909091,-2.1100752454545453
AB101SS,AB10 1SS,AB,66.8,61.7,80.0,,15.0,65.6,65.6,,19.5,15.4,20.0,,1.0,16.5,16.5,,0,0,0,2,24,0,24,471.0,475.0,,11.0,490.0,490.0,,57.14491155,-2.110252625
